shirtNumber,jerseyNumber,position,substitute,captain,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.totalCross,statistics.accurateCross,statistics.duelLost,statistics.duelWon,statistics.totalContest,statistics.totalClearance,statistics.totalTackle,statistics.wasFouled,statistics.possessionLostCtrl,statistics.keyPass,player.firstName,player.lastName,statistics.aerialLost,statistics.challengeLost,statistics.outfielderBlock,statistics.interceptionWon,statistics.aerialWon,statistics.shotOffTarget,statistics.fouls,statistics.dispossessed,statistics.wonContest,statistics.onTargetScoringAttempt,statistics.bigChanceCreated,statistics.blockedScoringAttempt,statistics.goals,statistics.bigChanceMissed,statistics.hitWoodwork,team,player_type,statistics.errorLeadToAGoal,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.totalOffside
18,18,D,True,,Juan Cruz Guasone,juan-cruz-guasone,J. C. Guasone,D,30,1087028,AR,Argentina,EUR,985651200.0,,,,,,,,,,,,,,,,,,,,Juan Cruz Guasone,,,,,,,,,,,,,,,,,home,substitute,,,,
3,3,D,True,,Emmanuel Más,emmanuel-mas,E. Más,D,78,249271,AR,Argentina,EUR,600825600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,
14,14,D,True,,Eros Mancuso,eros-mancuso,E. Mancuso,D,57,1116624,AR,Argentina,EUR,924307200.0,,,,,,,,,,,,,,,,,,,,Eros Mancuso,,,,,,,,,,,,,,,,,home,substitute,,,,
6,6,D,True,,Ezequiel Muñoz,ezequiel-munoz,E. Muñoz,D,20,42450,AR,Argentina,EUR,655344000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,
40,40,M,True,,Axel Atum,atum-axel,A. Atum,M,22,1485373,AR,Argentina,EUR,1136160000.0,,,,,,,,,,,,,,,,,,,,Axel Atum,,,,,,,,,,,,,,,,,home,substitute,,,,
11,11,M,True,,Deian Verón,deian-veron,D. Verón,M,38,1086956,AR,Argentina,EUR,969840000.0,,,,,,,,,,,,,,,,,,,,Deian Veron,,,,,,,,,,,,,,,,,home,substitute,,,,
19,19,M,True,,Mateo Pellegrino,pellegrino-mateo,M. Pellegrino,F,63,1099296,AR,Argentina,EUR,983404800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,
25,25,G,False,,Nahuel Hernan Losada,nahuel-hernan-losada,N. H. Losada,G,28,384552,AR,Argentina,EUR,735004800.0,14.0,13.0,4.0,3.0,90.0,27.0,6.5,6.5,6.7,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,away,main,1.0,5.0,6.0,
4,4,D,False,,Juan Barinaga,juan-barinaga,J. Barinaga,D,17,974729,AR,Argentina,EUR,971136000.0,18.0,12.0,4.0,1.0,66.0,55.0,5.7,5.7,5.8,3.0,1.0,9.0,5.0,7.0,3.0,2.0,1.0,20.0,,,,1.0,,,1.0,,,2.0,2.0,2.0,,,,,,,away,main,,,,
40,40,D,False,,Matias Moreno,matias-moreno,M. Moreno,M,4,1496360,AR,Argentina,EUR,1064361600.0,22.0,15.0,8.0,4.0,45.0,31.0,6.4,6.4,6.4,,,2.0,4.0,1.0,3.0,1.0,2.0,8.0,,Matias Moreno,,1.0,,,,1.0,,,,,,,,,,,away,main,,,,
