customId,winnerCode,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,awayRedCards,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,homeRedCards,roundInfo.name,roundInfo.cupRoundType,homeScore.overtime,homeScore.penalties,awayScore.overtime,awayScore.penalties,coverage,choice_1,choice_X,choice_2
QkbsKGn,2,True,,,,False,11041322,,1689075900,brunei-dpmm-fc-lion-city-sailors,False,Premier League,premier-league,Singapore,singapore,Football,football,1,45,singapore,SG,Premier League,premier-league,Singapore,singapore,Football,football,1,45,singapore,SG,0,634,False,False,False,False,0,58,,100,Ended,finished,Lion City Sailors,lion-city-sailors,Lion City Sailors,Football,football,1,0,LIO,False,0,3041,SG,Singapore,[],#52b030,#52b030,#ffffff,Brunei DPMM FC,brunei-dpmm-fc,DPMM,Football,football,1,0,BRU,False,0,34085,SG,Singapore,[],#52b030,#52b030,#ffffff,1.0,1.0,0.0,1.0,1.0,3.0,3.0,2.0,1.0,3.0,,,1689082973.0,"['homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.injuryTime1', 'time.injuryTime2']",1689082988,1.0,,,,,,,,1.14,7.5,13.0
NkbsTkb,1,True,,,,False,11041334,,1689075900,tampines-rovers-tanjong-pagar-united,False,Premier League,premier-league,Singapore,singapore,Football,football,1,45,singapore,SG,Premier League,premier-league,Singapore,singapore,Football,football,1,45,singapore,SG,0,634,False,False,False,False,0,58,,100,Ended,finished,Tampines Rovers,tampines-rovers,Tampines Rovers,Football,football,1,0,TAM,,0,3043,SG,Singapore,[],#52b030,#52b030,#ffffff,Tanjong Pagar United,tanjong-pagar-united,Tanjong Pagar Utd.,Football,football,1,0,TPU,,0,3038,SG,Singapore,[],#52b030,#52b030,#ffffff,2.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,4.0,1689082701.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1689082704,,,,,,,,,1.17,6.0,12.0
cPDsOLEb,3,True,,,,False,11349112,,1688940000,boca-juniors-u20-palmeiras-u20,False,"U20 CONMEBOL Libertadores, Group C",u20-conmebol-libertadores-group-c,South America,south-america,Football,football,1,1470,south-america,,U20 CONMEBOL Libertadores,u20-conmebol-libertadores,South America,south-america,Football,football,1,1470,south-america,,0,1074,False,False,False,False,0,16098,3.0,100,Ended,finished,Boca Juniors U20,boca-juniors-u20,Boca Juniors,Football,football,1,0,BOC,,0,72002,BR,Brazil,[],#52b030,#52b030,#ffffff,Palmeiras U20,palmeiras-u20,Palmeiras,Football,football,1,0,PAL,False,0,199339,BR,Brazil,[],#52b030,#52b030,#ffffff,2.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,5.0,1688946908.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1688946911,,,,,,,,,2.9,3.3,2.15
qKsCK,1,True,,,,False,10926606,,1688907600,ik-brage-orgryte-is,False,Superettan,superettan,Sweden,sweden,Football,football,1,9,sweden,SE,Superettan,superettan,Sweden,sweden,Football,football,1,9,sweden,SE,0,46,False,False,False,False,0,27,13.0,100,Ended,finished,IK Brage,ik-brage,Brage,Football,football,1,0,IKB,,0,1777,SE,Sweden,[],#52b030,#52b030,#ffffff,Örgryte IS,orgryte-is,Örgryte,Football,football,1,0,ORG,False,0,1766,SE,Sweden,[],#52b030,#52b030,#ffffff,4.0,4.0,2.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,6.0,4.0,1688914654.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688914658,1.0,,,,,,,,2.2,3.25,3.0
LKsnQc,3,False,,,,False,10926614,,1688914800,skovde-aik-gais-goteborg,False,Superettan,superettan,Sweden,sweden,Football,football,1,9,sweden,SE,Superettan,superettan,Sweden,sweden,Football,football,1,9,sweden,SE,0,46,False,False,False,False,0,27,13.0,100,Ended,finished,Skövde AIK,skovde-aik,Skövde,Football,football,1,0,SKO,,0,7063,SE,Sweden,[],#52b030,#52b030,#ffffff,GAIS Göteborg,gais-goteborg,GAIS,Football,football,1,0,GAIS,,0,1786,SE,Sweden,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,1688921616.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart', 'time.currentPeriodStart']",1688921618,,,,,,,,,5.0,4.0,1.53
LLsPM,1,True,,,,False,10926611,,1689008400,helsingborgs-if-ostersunds-fk,False,Superettan,superettan,Sweden,sweden,Football,football,1,9,sweden,SE,Superettan,superettan,Sweden,sweden,Football,football,1,9,sweden,SE,0,46,False,False,False,False,0,27,13.0,100,Ended,finished,Helsingborgs IF,helsingborgs-if,Helsingborg,Football,football,1,0,HEL,False,0,1890,SE,Sweden,[],#52b030,#52b030,#ffffff,Östersunds FK,ostersunds-fk,Östersund,Football,football,1,0,OST,,0,1836,SE,Sweden,[],#52b030,#52b030,#ffffff,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,5.0,1689015064.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1689015066,,,,,,,,,2.1,3.4,3.1
wKsLad,2,True,,,,False,10926607,,1689008400,utsiktens-bk-trelleborgs-ff,False,Superettan,superettan,Sweden,sweden,Football,football,1,9,sweden,SE,Superettan,superettan,Sweden,sweden,Football,football,1,9,sweden,SE,0,46,False,False,False,False,0,27,13.0,100,Ended,finished,Trelleborgs FF,trelleborgs-ff,Trelleborg,Football,football,1,0,TRE,False,0,1771,SE,Sweden,[],#52b030,#52b030,#ffffff,Utsiktens BK,utsiktens-bk,Utsikten,Football,football,1,0,UTS,False,0,7536,SE,Sweden,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,2.0,3.0,3.0,7.0,1689015377.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1689015380,1.0,,,,,,,,2.4,3.4,2.6
NUCsPBHb,3,True,,,,False,10973166,,1688907600,ifk-kalmar-vaxjo-dff,False,Damallsvenskan,damallsvenskan,Sweden,sweden,Football,football,1,9,sweden,SE,Damallsvenskan,damallsvenskan,Sweden,sweden,Football,football,1,9,sweden,SE,0,214,False,False,False,False,0,426,17.0,100,Ended,finished,Växjö DFF,vaxjo-dff,Växjö,Football,football,1,0,VAX,,0,206340,SE,Sweden,[],#52b030,#52b030,#ffffff,IFK Kalmar,ifk-kalmar,Kalmar,Football,football,1,0,KAL,,0,69738,SE,Sweden,[],#52b030,#52b030,#ffffff,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,,,1688911500.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2', 'awayScore.normaltime']",1688914605,,,,,,,,,1.29,4.75,8.5
EobsvZub,2,True,True,,,False,11367864,,1688925600,defensor-sporting-boston-river,False,"Primera División, Intermedio, Serie A",primera-division-intermedio-serie-a,Uruguay,uruguay,Football,football,1,57,uruguay,UY,Primera División,primera-division,Uruguay,uruguay,Football,football,1,57,uruguay,UY,0,278,False,False,False,False,0,59574,5.0,100,Ended,finished,Boston River,boston-river,Boston River,Football,football,1,0,BRI,,0,174970,UY,Uruguay,[],#52b030,#52b030,#ffffff,Defensor Sporting,defensor-sporting,Defensor,Football,football,1,0,DEF,,0,3229,UY,Uruguay,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,4.0,1688932962.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688932964,,,,,,,,,3.2,3.3,2.1
MobsxZub,2,True,True,,,False,11384625,,1689026400,river-plate-uy-montevideo-city-torque,False,"Primera División, Intermedio, Serie A",primera-division-intermedio-serie-a,Uruguay,uruguay,Football,football,1,57,uruguay,UY,Primera División,primera-division,Uruguay,uruguay,Football,football,1,57,uruguay,UY,0,278,False,False,False,False,0,59574,5.0,100,Ended,finished,Montevideo City Torque,montevideo-city-torque,Torque,Football,football,1,0,TOR,False,0,174972,UY,Uruguay,[],#52b030,#52b030,#ffffff,River Plate UY,river-plate-uy,River,Football,football,1,0,RIV,False,0,3237,UY,Uruguay,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,1689033833.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1689033835,,,,,,,,,2.15,3.2,3.2
