shirtNumber,jerseyNumber,position,substitute,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.totalClearance,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.expectedGoals,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.goalsPrevented,statistics.aerialLost,statistics.aerialWon,statistics.duelLost,statistics.duelWon,statistics.challengeLost,statistics.outfielderBlock,statistics.interceptionWon,statistics.totalTackle,statistics.fouls,captain,statistics.wasFouled,statistics.keyPass,statistics.totalCross,statistics.dispossessed,statistics.totalContest,statistics.wonContest,statistics.blockedScoringAttempt,statistics.expectedAssists,statistics.onTargetScoringAttempt,statistics.goals,statistics.shotOffTarget,statistics.goalAssist,statistics.accurateCross,statistics.bigChanceCreated,statistics.bigChanceMissed,team,player_type,statistics.punches,statistics.totalOffside
21,21,M,False,Rodrigo Battaglia,,,rodrigo-battaglia,R. Battaglia,M,441,158257,AR,Argentina,EUR,679276800,69.0,65.0,2.0,2.0,1.0,,,90.0,85.0,7.4,8.0,0.2792,7.4,7.8,,1.0,2.0,6.0,7.0,2.0,,1.0,2.0,1.0,,1.0,2.0,2.0,2.0,2.0,2.0,1.0,0.184595,1.0,,3.0,,,,,away,main,,
10,10,M,False,Paulinho,,,paulinho,Paulinho,F,3217,885179,BR,Brazil,EUR,963619200,37.0,31.0,3.0,2.0,,,,90.0,56.0,6.4,15.0,0.2985,6.4,6.7,,,2.0,5.0,4.0,1.0,,1.0,1.0,,,,1.0,2.0,1.0,4.0,1.0,3.0,0.0431737,1.0,,1.0,,,,1.0,away,main,,
17,17,F,False,Igor Gomes,,,igor-gomes,I. Gomes,M,691,913598,BR,Brazil,EUR,921628800,37.0,32.0,3.0,3.0,,,,76.0,53.0,7.0,15.0,0.0784,7.0,7.1,,,,6.0,3.0,,,,,3.0,,,2.0,5.0,3.0,3.0,3.0,1.0,0.108618,,,,,1.0,,,away,main,,
7,7,F,False,Hulk,,,hulk,Hulk,F,9252,34705,BR,Brazil,EUR,522633600,31.0,22.0,,,,,,90.0,64.0,6.9,27.0,0.0302,6.9,7.0,,2.0,1.0,13.0,9.0,,,,,2.0,,4.0,3.0,5.0,9.0,5.0,4.0,1.0,0.146101,,,1.0,,2.0,,,away,main,,
26,26,D,True,Renzo Saravia,,,renzo-saravia,R. Saravia,D,558,315916,AR,Argentina,EUR,740188800,16.0,14.0,1.0,1.0,,,,23.0,31.0,7.0,4.0,0.0,7.0,7.0,,1.0,,3.0,6.0,1.0,,,3.0,1.0,,,,2.0,,3.0,3.0,,0.023822,,,,,,,,away,substitute,,
45,45,F,True,Alisson Santana,Alisson Santana,,alisson-santana,Alisson Santana,M,29,1471221,BR,Brazil,EUR,1127260800,7.0,6.0,,,1.0,,,23.0,21.0,6.7,6.0,0.0,6.7,6.6,,1.0,,4.0,2.0,,,,1.0,1.0,,,1.0,2.0,,3.0,1.0,,0.134748,,,,,2.0,,,away,substitute,,
14,14,F,True,Alan Kardec,,,alan-kardec,Alan Kardec,F,433,39656,BR,Brazil,EUR,600566400,2.0,1.0,,,,,,14.0,5.0,6.5,3.0,0.0627,6.5,6.5,,1.0,,3.0,,,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,away,substitute,,1.0
38,38,M,True,Pedrinho,,,pedrinho,Pedrinho,M,1479,874030,BR,Brazil,EUR,892425600,4.0,3.0,1.0,1.0,,,,8.0,10.0,7.0,5.0,0.0,7.0,6.9,,,,,2.0,,,,2.0,,,,1.0,3.0,,,,,,,,,,,,,away,substitute,,
31,31,G,True,Matheus Mendes,,,matheus-mendes,M. Mendes,G,115,1018555,BR,Brazil,EUR,921024000,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,
47,47,D,True,Rômulo,Rômulo,,romulo,Rômulo,D,21,1117102,BR,Brazil,EUR,1075507200,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,
4,4,D,True,Réver,,,rever,Réver,D,341,39421,BR,Brazil,EUR,473644800,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,
27,27,M,True,Paulo Vitor,Paulo Vitor,,vitor-paulo,P. Vitor,D,20,1488136,BR,Brazil,EUR,1093478400,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,
8,8,M,True,Edenilson,,,edenilson,Edenilson,M,737,221636,BR,Brazil,EUR,629942400,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,
23,23,M,True,Alan Franco,,,alan-franco,Alan Franco,M,550,822729,EC,Ecuador,EUR,903657600,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,
49,49,M,True,Patrick,,,patrick,Patrick,M,653,594428,BR,Brazil,EUR,712368000,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,
42,42,F,True,Carlos Eduardo,Carlos Eduardo,,eduardo-carlos,C. Eduardo,F,49,1199473,BR,Brazil,EUR,1085356800,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,
