customId,winnerCode,hasGlobalHighlights,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,homeRedCards,homeTeam.disabled,awayRedCards,time.injuryTime1,time.injuryTime2,aggregatedWinnerCode,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,homeScore.extra1,homeScore.extra2,homeScore.overtime,homeScore.penalties,awayScore.extra1,awayScore.extra2,awayScore.overtime,awayScore.penalties,time.injuryTime4,hasEventPlayerStatistics,detailId,previousLegEventId,homeScore.aggregated,awayScore.aggregated
mYbspYb,0,False,False,10993491,1674321300,haverfordwest-county-afc-connahs-quay-nomads,False,Cymru Premier,cymru-premier,Wales,wales,Football,football,1,131,wales,WA,Cymru Premier,cymru-premier,#efe96b,#e7bb25,Wales,wales,Football,football,1,131,wales,WA,5416,False,False,254,False,False,0,904,22,60,Postponed,postponed,Haverfordwest County AFC,haverfordwest-county-afc,Haverfordwest,M,Football,football,1,2062,HFW,False,0,4915,WA,Wales,[],#0000ff,#ffffff,#ffffff,Connah's Quay Nomads,connahs-quay-nomads,Connah's Quay,M,Football,football,1,8339,CQN,False,False,0,4912,WA,Wales,[],#ff0000,#ffffff,#ffffff,,,,,,,,,,,,"['status.code', 'status.description', 'status.type']",1674299590,,,,,,,,,,,,,,,,,,,,,,,
mYbspYb,1,False,False,11009982,1675196100,haverfordwest-county-afc-connahs-quay-nomads,False,Cymru Premier,cymru-premier,Wales,wales,Football,football,1,131,wales,WA,Cymru Premier,cymru-premier,#efe96b,#e7bb25,Wales,wales,Football,football,1,131,wales,WA,5416,False,False,254,False,False,0,904,22,100,Ended,finished,Haverfordwest County AFC,haverfordwest-county-afc,Haverfordwest,M,Football,football,1,2062,HFW,False,0,4915,WA,Wales,[],#0000ff,#ffffff,#ffffff,Connah's Quay Nomads,connahs-quay-nomads,Connah's Quay,M,Football,football,1,8339,CQN,False,False,0,4912,WA,Wales,[],#ff0000,#ffffff,#ffffff,2.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1675199819.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1675202870,,,,,,,,,,,,,,,,,,,,,,,
jYbspYb,1,True,False,11033005,1676125800,haverfordwest-county-afc-caernarfon-town,False,"Cymru Premier, Relegation Round",cymru-premier-relegation-round,Wales,wales,Football,football,1,131,wales,WA,Cymru Premier,cymru-premier,#efe96b,#e7bb25,Wales,wales,Football,football,1,131,wales,WA,5416,False,False,254,False,False,0,64355,23,100,Ended,finished,Caernarfon Town,caernarfon-town,Caernarfon,M,Football,football,1,1936,CAT,False,0,4909,WA,Wales,[],#ffff00,#13aa83,#13aa83,Haverfordwest County AFC,haverfordwest-county-afc,Haverfordwest,M,Football,football,1,2062,HFW,,False,0,4915,WA,Wales,[],#0000ff,#ffffff,#ffffff,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1676132757.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1676132760,,,,,,,,,,,,,,,,,,,,,,,
pYbsPQo,1,True,False,11033008,1676730600,haverfordwest-county-afc-flint-town-united,False,"Cymru Premier, Relegation Round",cymru-premier-relegation-round,Wales,wales,Football,football,1,131,wales,WA,Cymru Premier,cymru-premier,#efe96b,#e7bb25,Wales,wales,Football,football,1,131,wales,WA,5416,False,False,254,False,False,0,64355,24,100,Ended,finished,Haverfordwest County AFC,haverfordwest-county-afc,Haverfordwest,M,Football,football,1,2062,HFW,False,0,4915,WA,Wales,[],#0000ff,#ffffff,#ffffff,Flint Town United,flint-town-united,Flint Town Utd,M,Football,football,1,1531,FTU,False,False,0,37090,WA,Wales,[],#000000,#ffffff,#ffffff,3.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,1676737663.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1676737666,,,1.0,,,,,,,,,,,,,,,,,,,,
pYbsMip,1,True,False,11033018,1677335400,haverfordwest-county-afc-pontypridd-united,False,"Cymru Premier, Relegation Round",cymru-premier-relegation-round,Wales,wales,Football,football,1,131,wales,WA,Cymru Premier,cymru-premier,#efe96b,#e7bb25,Wales,wales,Football,football,1,131,wales,WA,5416,False,False,254,False,False,0,64355,25,100,Ended,finished,Pontypridd United,pontypridd-united,Pontypridd United,M,Football,football,1,894,PPT,False,0,37937,WA,Wales,[],#ffffff,#000000,#000000,Haverfordwest County AFC,haverfordwest-county-afc,Haverfordwest,M,Football,football,1,2062,HFW,,False,0,4915,WA,Wales,[],#0000ff,#ffffff,#ffffff,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1677339193.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.injuryTime2']",1677342280,,False,1.0,,,,,,,,,,,,,,,,,,,,
fYbspYb,2,True,False,11033006,1678545000,haverfordwest-county-afc-aberystwyth-town,False,"Cymru Premier, Relegation Round",cymru-premier-relegation-round,Wales,wales,Football,football,1,131,wales,WA,Cymru Premier,cymru-premier,#efe96b,#e7bb25,Wales,wales,Football,football,1,131,wales,WA,5416,False,False,254,False,False,0,64355,26,100,Ended,finished,Aberystwyth Town,aberystwyth-town,Aberystwyth,M,Football,football,1,1736,ABE,False,0,4905,WA,Wales,[],#ffffff,#008000,#008000,Haverfordwest County AFC,haverfordwest-county-afc,Haverfordwest,M,Football,football,1,2062,HFW,,False,0,4915,WA,Wales,[],#0000ff,#ffffff,#ffffff,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1678548900.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2', 'awayScore.normaltime']",1678551876,,,,,,,,,,,,,,,,,,,,,,,
hYbspYb,1,True,False,11033003,1679149800,haverfordwest-county-afc-airbus-uk-broughton,False,"Cymru Premier, Relegation Round",cymru-premier-relegation-round,Wales,wales,Football,football,1,131,wales,WA,Cymru Premier,cymru-premier,#efe96b,#e7bb25,Wales,wales,Football,football,1,131,wales,WA,5416,False,False,254,False,False,0,64355,27,100,Ended,finished,Haverfordwest County AFC,haverfordwest-county-afc,Haverfordwest,M,Football,football,1,2062,HFW,False,0,4915,WA,Wales,[],#0000ff,#ffffff,#ffffff,Airbus UK Broughton,airbus-uk-broughton,Airbus UK,M,Football,football,1,2087,AUK,,False,0,4907,WA,Wales,[],#0000ff,#ffffff,#ffffff,4.0,4.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1679153760.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2']",1679156501,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
jYbspYb,3,True,False,11032988,1679754600,haverfordwest-county-afc-caernarfon-town,False,"Cymru Premier, Relegation Round",cymru-premier-relegation-round,Wales,wales,Football,football,1,131,wales,WA,Cymru Premier,cymru-premier,#efe96b,#e7bb25,Wales,wales,Football,football,1,131,wales,WA,5416,False,False,254,False,False,0,64355,28,100,Ended,finished,Haverfordwest County AFC,haverfordwest-county-afc,Haverfordwest,M,Football,football,1,2062,HFW,False,0,4915,WA,Wales,[],#0000ff,#ffffff,#ffffff,Caernarfon Town,caernarfon-town,Caernarfon,M,Football,football,1,1936,CAT,,False,0,4909,WA,Wales,[],#ffff00,#13aa83,#13aa83,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1679761801.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1679761804,,,1.0,,,,,,,,,,,,,,,,,,,,
pYbsPQo,2,True,False,11032982,1680355800,haverfordwest-county-afc-flint-town-united,False,"Cymru Premier, Relegation Round",cymru-premier-relegation-round,Wales,wales,Football,football,1,131,wales,WA,Cymru Premier,cymru-premier,#efe96b,#e7bb25,Wales,wales,Football,football,1,131,wales,WA,5416,False,False,254,False,False,0,64355,29,100,Ended,finished,Flint Town United,flint-town-united,Flint Town Utd,M,Football,football,1,1531,FTU,False,0,37090,WA,Wales,[],#000000,#ffffff,#ffffff,Haverfordwest County AFC,haverfordwest-county-afc,Haverfordwest,M,Football,football,1,2062,HFW,,False,0,4915,WA,Wales,[],#0000ff,#ffffff,#ffffff,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,1680362803.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680362806,1.0,False,,1.0,8.0,,,,,,,,,,,,,,,,,,
pYbsMip,1,True,False,11033007,1680874200,haverfordwest-county-afc-pontypridd-united,False,"Cymru Premier, Relegation Round",cymru-premier-relegation-round,Wales,wales,Football,football,1,131,wales,WA,Cymru Premier,cymru-premier,#efe96b,#e7bb25,Wales,wales,Football,football,1,131,wales,WA,5416,False,False,254,False,False,0,64355,30,100,Ended,finished,Haverfordwest County AFC,haverfordwest-county-afc,Haverfordwest,M,Football,football,1,2062,HFW,False,0,4915,WA,Wales,[],#0000ff,#ffffff,#ffffff,Pontypridd United,pontypridd-united,Pontypridd United,M,Football,football,1,894,PPT,False,False,0,37937,WA,Wales,[],#ffffff,#000000,#000000,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1680881200.0,['cardsCode'],1680881348,,,,,,,,,,,,,,,,,,,,,,,
