shirtNumber,jerseyNumber,position,substitute,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.duelWon,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.expectedGoals,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.goalsPrevented,player.firstName,player.lastName,statistics.duelLost,statistics.challengeLost,statistics.totalTackle,statistics.penaltyConceded,statistics.wasFouled,statistics.fouls,statistics.expectedAssists,captain,statistics.aerialLost,statistics.aerialWon,statistics.totalClearance,statistics.outfielderBlock,statistics.interceptionWon,statistics.keyPass,statistics.totalCross,statistics.accurateCross,statistics.shotOffTarget,statistics.totalContest,statistics.wonContest,statistics.onTargetScoringAttempt,statistics.goals,statistics.dispossessed,statistics.totalOffside,statistics.goalAssist,statistics.bigChanceCreated,statistics.blockedScoringAttempt,statistics.hitWoodwork,statistics.bigChanceMissed,team,player_type,statistics.goodHighClaim
6,6,D,True,Vanderlan,vanderlan,Vanderlan,D,531,1067640,BR,Brazil,EUR,1031356800,,,,,,,,,,,,0.0,,,,Vanderlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,
35,35,M,True,Fabinho,fabinho,Fabinho,M,256,1117513,BR,Brazil,EUR,1018310400,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,
18,18,M,True,José López,jose-lopez,José López,F,1101,1094179,AR,Argentina,EUR,976060800,,,,,,,,,,,,0.0,,,,José López,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,
37,37,F,True,Kevin Macedo,kevin-macedo,K. Macedo,F,191,1160025,BR,Brazil,EUR,1041638400,,,,,,,,,,,,0.0,,,,Kevin Macedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,
9,9,F,True,Endrick,endrick,Endrick,F,25084,1174937,BR,Brazil,EUR,1153440000,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,
1,1,G,False,João Ricardo,joao-ricardo,J. Ricardo,G,184,839761,BR,Brazil,EUR,589507200,21.0,6.0,19.0,4.0,,3.0,4.0,90.0,32.0,6.2,16.0,0.0,6.2,6.4,-1.8421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,main,2.0
19,19,D,False,Emanuel Brítez,emanuel-britez,Emanuel Brítez,D,157,789395,AR,Argentina,EUR,701568000,18.0,8.0,4.0,1.0,7.0,,,90.0,41.0,6.3,17.0,0.0,6.3,6.4,,,,7.0,,1.0,,1.0,3.0,,,4.0,5.0,4.0,,3.0,,,,,,,,,,,,,,,,away,main,
5,5,D,False,Marcelo Benevenuto,marcelo-benevenuto,Marcelo,D,211,841808,BR,Brazil,EUR,820972800,18.0,14.0,7.0,4.0,2.0,,,90.0,28.0,6.3,5.0,0.0,6.3,6.4,,,,3.0,,1.0,,,1.0,0.223632,,1.0,1.0,5.0,,2.0,,,,,,,,,1.0,,,,,,,away,main,
4,4,D,False,Titi,titi,Titi,D,220,243435,BR,Brazil,EUR,574128000,19.0,17.0,5.0,3.0,1.0,,,89.0,24.0,6.0,2.0,0.0,6.0,6.2,,,,2.0,2.0,,,,,0.0213747,True,,1.0,3.0,,1.0,,,,,,,,,,,,,,,,away,main,
6,6,D,False,Bruno Pacheco,bruno-pacheco,Bruno Pacheco,D,194,870691,BR,Brazil,EUR,692150400,17.0,14.0,3.0,,5.0,,,90.0,40.0,6.4,9.0,0.0,6.4,6.4,,,,5.0,1.0,2.0,,2.0,3.0,,,1.0,1.0,4.0,,1.0,,1.0,,,,,,,,,,,,1.0,,away,main,
88,88,M,False,Lucas Sasha,lucas-sasha,L. Sasha,M,161,123225,BR,Brazil,EUR,636249600,19.0,15.0,,,7.0,,,82.0,38.0,7.1,7.0,0.0,7.1,7.0,,,,5.0,1.0,5.0,,1.0,4.0,,,,,1.0,,6.0,1.0,,,,2.0,1.0,,,,,,,,,,away,main,
22,22,M,False,Yago Pikachu,yago-pikachu,Y. Pikachu,M,845,363688,BR,Brazil,EUR,707702400,19.0,15.0,1.0,1.0,2.0,,,82.0,31.0,6.6,8.0,0.0,6.6,6.9,,,,3.0,1.0,1.0,,1.0,1.0,0.0101098,,,,1.0,,1.0,2.0,1.0,,,1.0,,,,1.0,,,1.0,,,,away,main,
17,17,M,False,Zé Welison,ze-welison,Zé Welison,M,173,551422,BR,Brazil,EUR,794880000,27.0,23.0,3.0,2.0,6.0,,,90.0,43.0,6.4,8.0,0.0276,6.4,6.5,,,,8.0,,1.0,,2.0,4.0,0.0118611,,2.0,2.0,1.0,,,1.0,,,1.0,1.0,1.0,,,2.0,,,,1.0,,,away,main,
7,7,M,False,Tomás Pochettino,tomas-pochettino,T. Pochettino,M,359,824626,AR,Argentina,EUR,823132800,26.0,19.0,3.0,2.0,3.0,,,67.0,38.0,6.7,11.0,0.0339,6.7,6.9,,,,3.0,1.0,1.0,,1.0,,0.0184366,,,,1.0,,,,,,1.0,2.0,1.0,1.0,,1.0,,,,,,,away,main,
15,15,M,False,Marinho,marinho,Marinho,F,2840,798127,BR,Brazil,EUR,643939200,11.0,10.0,,,3.0,,,67.0,26.0,6.1,8.0,0.1058,6.1,6.3,,,,7.0,,,,3.0,4.0,0.0128642,,1.0,,1.0,,,,3.0,,1.0,1.0,,1.0,,1.0,,,,,,1.0,away,main,
9,9,F,False,Juan Martín Lucero,juan-martin-lucero,Juan Martín Lucero,F,575,359024,AR,Argentina,EUR,691459200,18.0,15.0,,,6.0,,,90.0,28.0,7.5,5.0,0.7884,7.5,7.6,,,,8.0,1.0,1.0,,2.0,4.0,0.333767,,4.0,1.0,,,1.0,2.0,1.0,,,2.0,2.0,1.0,1.0,,1.0,,,,,,away,main,
27,27,M,True,Calebe,calebe,Calebe,M,251,1046796,BR,Brazil,EUR,957052800,6.0,6.0,,,2.0,,,23.0,14.0,6.1,5.0,0.0,6.1,6.2,,Calebe,,4.0,,1.0,,,1.0,0.00658376,,,,,,,,1.0,,,3.0,1.0,,,1.0,,,,,,,away,substitute,
29,29,F,True,Guilherme,guilherme,Guilherme,M,214,844605,BR,Brazil,EUR,797731200,7.0,3.0,,,3.0,,,23.0,15.0,6.7,7.0,0.0312,6.7,6.7,,,,4.0,,,,2.0,2.0,,,1.0,1.0,,,,,2.0,,,,,1.0,,1.0,,,,,,,away,substitute,
10,10,M,True,Lucas Crispim,lucas-crispim,L. Crispim,M,265,795178,BR,Brazil,EUR,766713600,5.0,5.0,1.0,1.0,,,,8.0,6.0,6.4,,0.0329,6.4,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,away,substitute,
18,18,F,True,Silvio Romero,silvio-romero,S. Romero,F,293,174937,AR,Argentina,EUR,585532800,1.0,1.0,,,1.0,,,8.0,5.0,6.4,1.0,0.0,6.4,6.5,,,,2.0,,,,1.0,1.0,0.00525448,,,,,,,,,,,1.0,,,,,,,,,,,away,substitute,
11,11,F,True,Romarinho,romarinho,Romarinho,F,161,870578,BR,Brazil,EUR,762480000,3.0,3.0,,,,,,1.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,
16,16,G,True,Fernando Miguel,fernando-miguel,F. Miguel,G,207,358418,BR,Brazil,EUR,476150400,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,
20,20,D,True,Dudu,dudu,Dudu,D,143,859083,BR,Brazil,EUR,864950400,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,
33,33,D,True,Gonzalo Escobar,gonzalo-escobar,G. Escobar,D,60,840500,AR,Argentina,EUR,858470400,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,
14,14,D,True,Bernardo Schappo,schappo-bernardo,B. Schappo,D,80,1017590,BR,Brazil,EUR,922060800,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,
25,25,M,True,Vinicius Zanocelo,vinicius-zanocelo,Vinicius Zanocelo,M,364,973841,BR,Brazil,EUR,980812800,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,
21,21,M,True,Pedro Augusto,pedro-augusto,P. Augusto,M,83,922556,BR,Brazil,EUR,857347200,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,
37,37,M,True,Kauan,kauan,Kauan,M,11,1469769,BR,Brazil,EUR,1113609600,,,,,,,,,,,,0.0,,,,Kauan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,
