descriptions,position,matches,wins,scoresFor,scoresAgainst,id,losses,draws,points,team.name,team.slug,team.shortName,team.gender,team.sport.name,team.sport.slug,team.sport.id,team.userCount,team.nameCode,team.disabled,team.national,team.type,team.id,team.teamColors.primary,team.teamColors.secondary,team.teamColors.text,promotion.text,promotion.id
[],1,19,12,29,15,838038,6,1,37,Vitória,vitoria,Vitória,M,Football,football,1,23493,VIT,False,False,0,1962,#ff0000,#000000,#000000,Promotion,11.0
[],2,19,11,24,11,838039,5,3,36,Novorizontino,novorizontino,Novorizontino,M,Football,football,1,11367,GRN,False,False,0,135514,#b4982d,#1d2329,#1d2329,Promotion,11.0
[],3,19,10,22,8,838047,4,5,35,Vila Nova,vila-nova,Vila Nova,M,Football,football,1,17647,VIN,False,False,0,2021,#ff0000,#ffffff,#ffffff,Promotion,11.0
[],4,19,10,29,17,838045,4,5,35,Sport Recife,sport-recife,Sport Recife,M,Football,football,1,43095,REC,False,False,0,1959,#cc0000,#000000,#000000,Promotion,11.0
[],5,19,10,21,12,838036,5,4,34,Criciúma,criciuma,Criciúma,M,Football,football,1,16249,CRI,False,False,0,1984,#ffff00,#000000,#000000,,
[],6,19,9,24,15,838040,5,5,32,Guarani,guarani,Guarani,M,Football,football,1,16007,GUA,False,False,0,1972,#006214,#006214,#006214,,
[],7,19,9,21,17,838043,6,4,31,Mirassol,mirassol,Mirassol,M,Football,football,1,11292,MIR,False,False,0,21982,#e8c728,#174c30,#174c30,,
[],8,19,9,21,18,838037,7,3,30,Juventude,juventude,Juventude,M,Football,football,1,20055,JUV,False,False,0,1980,#006600,#ffffff,#ffffff,,
[],9,18,9,15,21,838032,6,3,30,Botafogo-SP,botafogo-sp,Botafogo-SP,M,Football,football,1,11548,BOT,False,False,0,1979,#ffffff,#ff0000,#ff0000,,
[],10,19,8,21,21,838033,7,4,28,Ceará,ceara,Ceará,M,Football,football,1,44224,CEA,False,False,0,2001,#000000,#ffffff,#ffffff,,
[],11,19,6,25,28,838030,4,9,27,Atlético Goianiense,atletico-goianiense,Atlético-GO,M,Football,football,1,26671,GOI,False,False,0,7314,#ff0000,#000000,#000000,,
[],12,18,7,20,21,838035,8,3,24,CRB,crb,CRB,M,Football,football,1,16598,BRA,,False,0,22032,#f20000,#f20000,#f20000,,
[],13,19,5,10,15,838028,7,7,22,Ponte Preta,ponte-preta,Ponte Preta,M,Football,football,1,16226,PON,False,False,0,1969,#ffffff,#000000,#000000,,
[],14,19,5,17,21,838041,9,5,20,Ituano,ituano,Ituano,M,Football,football,1,14035,ITU,False,False,0,2025,#c1394e,#181d25,#181d25,,
[],15,19,5,14,23,838044,9,5,20,Sampaio Corrêa,sampaio-correa,Sampaio Corrêa,M,Football,football,1,16092,SCO,False,False,0,2005,#008000,#ff0000,#ff0000,,
[],16,19,5,18,25,838046,11,3,18,Tombense,tombense,Tombense,M,Football,football,1,9339,TOM,False,False,0,87202,#ffffff,#ff0000,#ff0000,,
[],17,18,4,21,24,838034,8,6,18,Chapecoense,chapecoense,Chapecoense,M,Football,football,1,18737,CHA,False,False,0,21845,#009966,#ffffff,#ffffff,Relegation,3.0
[],18,18,4,12,24,838031,9,5,17,Avaí,avai,Avaí,M,Football,football,1,17276,AVA,False,False,0,7315,#0066ff,#ffffff,#ffffff,Relegation,3.0
[],19,19,4,17,31,838042,13,2,14,Londrina,londrina,Londrina,M,Football,football,1,12787,LON,False,False,0,2022,#77bbff,#ffffff,#ffffff,Relegation,3.0
[],20,19,2,13,27,838029,11,6,12,ABC,abc,ABC,M,Football,football,1,11737,ABC,False,False,0,21838,#f6f4fa,#f6f4fa,#f6f4fa,Relegation,3.0
