customId,winnerCode,aggregatedWinnerCode,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,roundInfo.name,roundInfo.slug,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,homeRedCards,hasXg,awayRedCards,previousLegEventId,homeScore.aggregated,awayScore.aggregated,roundInfo.cupRoundType,homeScore.penalties,awayScore.penalties
qOstO,3,,True,True,True,1,False,11067520,1685836800,santos-internacional,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,251366,325,True,False,True,False,390,83,9,,,100,Ended,finished,Santos,santos,Santos,M,Football,football,1,80387,SAN,False,False,0,1968,BR,Brazil,[],#ffffff,#ffffff,#ffffff,Internacional,internacional,Internacional,M,Football,football,1,80902,INT,False,False,0,1966,BR,Brazil,[],#cc0000,#cc0000,#cc0000,1,1,1,0,1,1,1,1,0,1,5.0,9.0,1685844210,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1685844213,,True,,,,,,,
tOsmob,2,,True,True,True,1,False,11174299,1686097800,newells-old-boys-santos,False,"CONMEBOL Sudamericana, Group E",conmebol-sudamericana-group-e,South America,south-america,Football,football,1,1470,south-america,,CONMEBOL Sudamericana,conmebol-sudamericana,#e3c000,#13489c,South America,south-america,Football,football,1,1470,south-america,,105090,480,True,False,False,False,402,91440,5,,,100,Ended,finished,Santos,santos,Santos,M,Football,football,1,80387,SAN,False,False,0,1968,BR,Brazil,[],#ffffff,#ffffff,#ffffff,Newell's Old Boys,newells-old-boys,Newell's,M,Football,football,1,14796,NOB,False,False,0,3212,AR,Argentina,[],#ff0000,#000000,#000000,1,1,0,1,1,2,2,1,1,2,,14.0,1686105121,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1686105123,,,,,,,,,
tOsHO,3,,True,True,True,1,False,11067547,1686423600,coritiba-santos,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,251366,325,True,False,True,False,390,83,10,,,100,Ended,finished,Coritiba,coritiba,Coritiba,M,Football,football,1,32452,COR,False,False,0,1982,BR,Brazil,[],#ffffff,#009966,#009966,Santos,santos,Santos,M,Football,football,1,80387,SAN,False,False,0,1968,BR,Brazil,[],#ffffff,#ffffff,#ffffff,0,0,0,0,0,0,0,0,0,0,5.0,8.0,1686430913,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1686430917,,True,1.0,,,,,,
hOstO,2,,True,True,True,1,False,11067289,1687388400,santos-corinthians,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,251366,325,True,False,True,False,390,83,11,,,100,Ended,finished,Santos,santos,Santos,M,Football,football,1,80387,SAN,False,False,0,1968,BR,Brazil,[],#ffffff,#ffffff,#ffffff,Corinthians,corinthians,Corinthians,M,Football,football,1,161531,COR,False,False,0,1957,BR,Brazil,[],#ffffff,#000000,#000000,0,0,0,0,0,2,2,2,0,2,5.0,,1687392487,['time.injuryTime1'],1687440705,,True,,,,,,,
tOsGuc,2,,True,True,True,1,False,11067370,1687728600,flamengo-santos,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,251366,325,True,False,True,False,390,83,12,,,100,Ended,finished,Santos,santos,Santos,M,Football,football,1,80387,SAN,False,False,0,1968,BR,Brazil,[],#ffffff,#ffffff,#ffffff,Flamengo,flamengo,Flamengo,M,Football,football,1,284779,FLA,False,False,0,5981,BR,Brazil,[],#ff0000,#000000,#000000,2,2,1,1,2,3,3,1,2,3,4.0,7.0,1687735664,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1687735668,,True,,,,,,,
tOstOc,3,,True,True,True,1,False,11174349,1688076000,blooming-santos,False,"CONMEBOL Sudamericana, Group E",conmebol-sudamericana-group-e,South America,south-america,Football,football,1,1470,south-america,,CONMEBOL Sudamericana,conmebol-sudamericana,#e3c000,#13489c,South America,south-america,Football,football,1,1470,south-america,,105090,480,True,False,False,False,402,91440,6,,,100,Ended,finished,Santos,santos,Santos,M,Football,football,1,80387,SAN,False,False,0,1968,BR,Brazil,[],#ffffff,#ffffff,#ffffff,Blooming,blooming,Blooming,M,Football,football,1,6573,BLO,False,False,0,6968,BO,Bolivia,[],#0099ff,#ff0000,#ff0000,0,0,0,0,0,0,0,0,0,0,2.0,4.0,1688083219,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688083223,,,1.0,,,,,,
tOscJu,1,,True,True,True,1,False,11067497,1688333400,cuiaba-santos,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,251366,325,True,False,True,False,390,83,13,,,100,Ended,finished,Cuiabá,cuiaba,Cuiabá,M,Football,football,1,26115,CUI,False,False,0,49202,BR,Brazil,[],#ffffff,#006600,#006600,Santos,santos,Santos,M,Football,football,1,80387,SAN,False,False,0,1968,BR,Brazil,[],#ffffff,#ffffff,#ffffff,3,3,0,3,3,0,0,0,0,0,4.0,6.0,1688340651,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688340653,,True,,,,,,,
kOstO,1,,True,True,True,1,False,11067525,1688911200,santos-goias,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,251366,325,True,False,True,False,390,83,14,,,100,Ended,finished,Santos,santos,Santos,M,Football,football,1,80387,SAN,False,False,0,1968,BR,Brazil,[],#ffffff,#ffffff,#ffffff,Goiás,goias,Goiás,M,Football,football,1,33455,GGO,False,False,0,1960,BR,Brazil,[],#006633,#ffffff,#ffffff,4,4,3,1,4,3,3,1,2,3,8.0,12.0,1688918946,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688918948,,True,1.0,,,,,,
tOsGO,1,,True,True,True,1,False,11067557,1689534000,sao-paulo-santos,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,251366,325,True,False,True,False,390,83,15,,,100,Ended,finished,São Paulo,sao-paulo,São Paulo,M,Football,football,1,144593,SPA,False,False,0,1981,BR,Brazil,[],#ffffff,#000000,#000000,Santos,santos,Santos,M,Football,football,1,80387,SAN,False,False,0,1968,BR,Brazil,[],#ffffff,#ffffff,#ffffff,4,4,2,2,4,1,1,0,1,1,6.0,3.0,1689541084,"['homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1689541207,,True,,,,,,,
iOstO,3,,True,True,True,1,False,11067579,1690138800,santos-botafogo,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,251366,325,True,False,True,False,390,83,16,,,100,Ended,finished,Santos,santos,Santos,M,Football,football,1,80387,SAN,False,False,0,1968,BR,Brazil,[],#ffffff,#ffffff,#ffffff,Botafogo,botafogo,Botafogo,M,Football,football,1,75496,BOT,False,False,0,1958,BR,Brazil,[],#000000,#ffffff,#ffffff,2,2,1,1,2,2,2,0,2,2,6.0,11.0,1690146366,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1690146368,,True,,,,,,,
