shirtNumber,jerseyNumber,position,substitute,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.ratingVersions.original,statistics.ratingVersions.alternative,player.firstName,player.lastName,statistics.totalCross,statistics.accurateCross,statistics.aerialLost,statistics.duelLost,statistics.dispossessed,statistics.keyPass,statistics.aerialWon,statistics.duelWon,statistics.shotOffTarget,statistics.onTargetScoringAttempt,statistics.blockedScoringAttempt,statistics.goals,statistics.totalClearance,statistics.totalTackle,statistics.wasFouled,statistics.interceptionWon,statistics.goalAssist,statistics.totalContest,statistics.wonContest,statistics.bigChanceCreated,statistics.fouls,statistics.totalOffside,statistics.challengeLost,captain,statistics.outfielderBlock,team,player_type,statistics.punches
13,13,D,False,Bambanani Mbane,bambanani-mbane,B. Mbane,D,21,845414,ZA,South Africa,EUR,637200000.0,19.0,7.0,10.0,1.0,,,90.0,32.0,6.6,13.0,6.6,6.5,,,,,3.0,3.0,,,1.0,4.0,,1.0,,,4.0,2.0,1.0,2.0,,,,,,,,,,away,main,
3,3,D,False,Bongeka Gamede,bongeka-gamede,B. Gamede,D,8,985563,ZA,South Africa,EUR,927331200.0,18.0,7.0,7.0,1.0,,,90.0,38.0,6.6,14.0,6.6,6.5,,,,,,3.0,,,1.0,6.0,,,,,7.0,4.0,1.0,1.0,,,,,1.0,,2.0,,,away,main,
18,18,D,False,Sibulele Holweni,sibulele-holweni,S. Holweni,M,10,985565,ZA,South Africa,EUR,988416000.0,16.0,10.0,2.0,1.0,,,90.0,42.0,6.6,11.0,6.6,6.5,,,,,,4.0,,,1.0,4.0,,,,,6.0,3.0,,4.0,,,,,1.0,,3.0,,,away,main,
12,12,M,False,Jermaine Seoposenwe,jermaine-seoposenwe,J. Seoposenwe,F,52,130932,ZA,South Africa,EUR,750384000.0,23.0,11.0,3.0,1.0,,,90.0,46.0,6.8,18.0,6.8,6.8,,,1.0,,5.0,9.0,1.0,1.0,2.0,7.0,,1.0,,,6.0,2.0,2.0,2.0,,3.0,1.0,,,1.0,1.0,,1.0,away,main,
15,15,M,False,Refiloe Jane,refiloe-jane,R. Jane,M,138,244681,ZA,South Africa,EUR,712886400.0,34.0,21.0,11.0,2.0,,,90.0,42.0,6.7,16.0,6.7,6.6,,,,,2.0,4.0,,2.0,,1.0,1.0,,,,,1.0,,2.0,,,,,1.0,,1.0,True,,away,main,
19,19,M,False,Kholosa Biyana,kholosa-biyana,K. Biyana,M,7,973776,ZA,South Africa,EUR,778809600.0,28.0,14.0,6.0,1.0,,,90.0,37.0,6.6,15.0,6.6,6.5,,,1.0,,3.0,5.0,,,1.0,3.0,1.0,,,,2.0,2.0,,1.0,,,,,2.0,,,,,away,main,
8,8,M,False,Hildah Magaia,hildah-magaia,H. Magaia,M,31,973775,ZA,South Africa,EUR,,13.0,10.0,,,,,56.0,25.0,7.6,6.0,7.6,7.5,,,,,,2.0,1.0,,1.0,4.0,,1.0,,1.0,2.0,1.0,1.0,2.0,,2.0,1.0,,,,,,1.0,away,main,
10,10,F,False,Linda Motlhalo,linda-motlhalo,L. Motlhalo,M,110,845412,ZA,South Africa,EUR,899251200.0,16.0,12.0,2.0,1.0,,,67.0,25.0,6.7,7.0,6.7,6.7,,,1.0,,1.0,2.0,,1.0,1.0,3.0,,,,,,,2.0,,,,,,,,1.0,,,away,main,
11,11,F,False,Thembi Kgatlana,thembi-kgatlana,T. Kgatlana,F,83,846090,ZA,South Africa,EUR,830995200.0,10.0,7.0,,,,,90.0,25.0,6.8,10.0,6.8,6.7,,,1.0,,,4.0,1.0,1.0,,2.0,2.0,1.0,1.0,,,1.0,,,,2.0,1.0,,2.0,3.0,,,,away,main,
9,9,M,True,Gabriela Salgado,gabriela-salgado,G. Salgado,M,7,1115154,ZA,South Africa,EUR,,9.0,6.0,2.0,,,,34.0,18.0,6.5,6.0,6.5,6.4,,,1.0,,,1.0,,,,1.0,,,,,,,1.0,2.0,,,,,,,1.0,,1.0,away,substitute,
22,22,M,True,Nomvula Kgoale,nomvula-kgoale,N. Kgoale,M,6,1115153,ZA,South Africa,EUR,,12.0,6.0,1.0,,,,23.0,22.0,6.8,6.0,6.8,6.9,,,1.0,1.0,,,,1.0,2.0,2.0,1.0,,,,3.0,,,,,,,,,,,,1.0,away,substitute,
21,21,G,True,Kebotseng Moletsane,moletsane-kebotseng,K. Moletsane,G,1,1501011,ZA,South Africa,EUR,794188800.0,,,,,,,,,,,,,Kebotseng Moletsane,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,
16,16,G,True,Andile Dlamini,andile-dlamini,A. Dlamini,G,11,244695,ZA,South Africa,EUR,715392000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,
14,14,D,True,Tiisetso Makhubela,makhubela-tiisetso,T. Makhubela,D,5,973780,ZA,South Africa,EUR,861840000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,
4,4,D,True,Noko Matlou,noko-matlou,N. Matlou,D,13,244675,ZA,South Africa,EUR,496886400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,
5,5,D,True,Fikile Magama,fikile-magama,F. Magama,M,3,1415987,ZA,South Africa,EUR,1011398400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,
6,6,M,True,Noxolo Cesane,noxolo-cesane,N. Cesane,M,39,1210271,ZA,South Africa,EUR,971222400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,
20,20,M,True,Robyn Moodaly,robyn-moodaly,R. Moodaly,M,11,130928,ZA,South Africa,EUR,771724800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,
7,7,M,True,Karabo Dhlamini,karabo-dhlamini,K. Dhlamini,M,3,973774,ZA,South Africa,EUR,1000771200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,
23,23,F,True,Wendy Shongwe,wendy-shongwe,W. Shongwe,F,3,1487095,ZA,South Africa,EUR,1042848000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,
17,17,F,True,Melinda Kgadiete,melinda-kgadiete,M. Kgadiete,F,10,1210272,ZA,South Africa,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,
