customId,winnerCode,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.userCount,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,roundInfo.name,roundInfo.cupRoundType,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,homeScore.extra1,homeScore.extra2,homeScore.overtime,homeScore.penalties,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,awayScore.extra1,awayScore.extra2,awayScore.overtime,awayScore.penalties,time.injuryTime1,time.injuryTime2,time.injuryTime3,time.injuryTime4,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,awayRedCards,tournament.category.alpha2,tournament.uniqueTournament.category.alpha2,homeRedCards,aggregatedWinnerCode,coverage,choice_1,choice_X,choice_2
qobsuob,1,True,True,True,1.0,False,10981648,1688337000,banfield-argentinos-juniors,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,0,False,False,155,True,False,351,68,22.0,,,100,Ended,finished,Banfield,banfield,Banfield,Football,football,1,0,BAN,False,0,3219,AR,Argentina,[],#52b030,#52b030,#ffffff,Argentinos Juniors,argentinos-juniors,Argentinos Jrs.,Football,football,1,0,ARG,False,0,3216,AR,Argentina,[],#52b030,#52b030,#ffffff,1.0,1.0,0.0,1.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,1.0,5.0,,,1688343880.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688343884,,AR,AR,,,,3.1,3.0,2.45
DcdsOLo,1,True,True,True,1.0,False,10981654,1688337000,tigre-defensa-y-justicia,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,0,False,False,155,True,False,351,68,22.0,,,100,Ended,finished,Defensa y Justicia,defensa-y-justicia,Def y Justicia,Football,football,1,0,DYJ,,0,36839,AR,Argentina,[],#52b030,#52b030,#ffffff,Tigre,tigre,Tigre,Football,football,1,0,TIG,False,0,7628,AR,Argentina,[],#52b030,#52b030,#ffffff,1.0,1.0,0.0,1.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,4.0,4.0,,,1688343841.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688343844,,AR,AR,,,,2.2,3.2,3.5
cobsNWq,1,True,True,True,1.0,False,10981611,1688344200,sarmiento-boca-juniors,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,0,False,False,155,True,False,351,68,22.0,,,100,Ended,finished,Boca Juniors,boca-juniors,Boca Juniors,Football,football,1,0,BOC,False,0,3202,AR,Argentina,[],#52b030,#52b030,#ffffff,Sarmiento,sarmiento,Sarmiento,Football,football,1,0,CAS,False,0,42338,AR,Argentina,[],#52b030,#52b030,#ffffff,2.0,2.0,0.0,2.0,2.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,3.0,6.0,,,1688351337.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688351338,,AR,AR,,,,1.7,3.3,6.0
HNsaO,3,True,True,True,1.0,False,11341757,1688252400,atletico-de-san-luis-monterrey,False,"Liga MX, Apertura",liga-mx-apertura,Mexico,mexico,Football,football,1,12,mexico,"Liga MX, Apertura",liga-mx-apertura,Mexico,mexico,Football,football,1,12,mexico,0,False,False,11621,True,False,349,28,1.0,,,100,Ended,finished,Atlético de San Luis,atletico-de-san-luis,Atlético de San Luis,Football,football,1,0,ASL,False,0,1950,MX,Mexico,[],#52b030,#52b030,#ffffff,Monterrey,monterrey,Monterrey,Football,football,1,0,MON,,0,1932,MX,Mexico,[],#52b030,#52b030,#ffffff,1.0,1.0,0.0,1.0,1.0,,,,,1.0,1.0,1.0,0.0,1.0,,,,,,5.0,,,1688259491.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688259494,,MX,MX,,,,3.8,3.4,2.05
PNsQN,3,True,True,True,1.0,False,11341758,1688259600,puebla-tigres-uanl,False,"Liga MX, Apertura",liga-mx-apertura,Mexico,mexico,Football,football,1,12,mexico,"Liga MX, Apertura",liga-mx-apertura,Mexico,mexico,Football,football,1,12,mexico,0,False,False,11621,True,False,349,28,1.0,,,100,Ended,finished,Tigres UANL,tigres-uanl,Tigres,Football,football,1,0,TIG,False,0,1940,MX,Mexico,[],#52b030,#52b030,#ffffff,Puebla,puebla,Puebla,Football,football,1,0,PUE,,0,1941,MX,Mexico,[],#52b030,#52b030,#ffffff,1.0,1.0,0.0,1.0,1.0,,,,,1.0,1.0,0.0,1.0,1.0,,,,,3.0,8.0,,,1688267083.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688267087,,MX,MX,,,,1.5,4.33,6.5
XNsZN,1,True,True,True,1.0,False,11341759,1688267400,atlas-cruz-azul,False,"Liga MX, Apertura",liga-mx-apertura,Mexico,mexico,Football,football,1,12,mexico,"Liga MX, Apertura",liga-mx-apertura,Mexico,mexico,Football,football,1,12,mexico,0,False,False,11621,True,False,349,28,1.0,,,100,Ended,finished,Atlas,atlas,Atlas,Football,football,1,0,ATL,False,0,1949,MX,Mexico,[],#52b030,#52b030,#ffffff,Cruz Azul,cruz-azul,Cruz Azul,Football,football,1,0,CAZ,False,0,1947,MX,Mexico,[],#52b030,#52b030,#ffffff,2.0,2.0,1.0,1.0,2.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,2.0,8.0,,,1688274577.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart', 'time.currentPeriodStart']",1688274581,,MX,MX,1.0,,,1.95,3.4,4.0
GNsUN,3,True,True,True,1.0,False,11341760,1688320800,club-necaxa-toluca,False,"Liga MX, Apertura",liga-mx-apertura,Mexico,mexico,Football,football,1,12,mexico,"Liga MX, Apertura",liga-mx-apertura,Mexico,mexico,Football,football,1,12,mexico,0,False,False,11621,True,False,349,28,1.0,,,100,Ended,finished,Toluca,toluca,Toluca,Football,football,1,0,TOL,,0,1931,MX,Mexico,[],#52b030,#52b030,#ffffff,Club Necaxa,club-necaxa,Necaxa,Football,football,1,0,NCX,False,0,1944,MX,Mexico,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,5.0,6.0,,,1688328029.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688328032,,MX,MX,,,,1.57,4.2,5.75
YNsbO,2,True,True,True,1.0,False,11341761,1688346300,queretaro-santos-laguna,False,"Liga MX, Apertura",liga-mx-apertura,Mexico,mexico,Football,football,1,12,mexico,"Liga MX, Apertura",liga-mx-apertura,Mexico,mexico,Football,football,1,12,mexico,0,False,False,11621,True,False,349,28,1.0,,,100,Ended,finished,Santos Laguna,santos-laguna,Santos,Football,football,1,0,SLA,False,0,1948,MX,Mexico,[],#52b030,#52b030,#ffffff,Querétaro,queretaro,Querétaro,Football,football,1,0,QUE,,0,1951,MX,Mexico,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,,,,,2.0,2.0,0.0,2.0,2.0,,,,,4.0,6.0,,,1688353567.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688353571,,MX,MX,,,,1.67,4.0,4.75
gPisTcAb,2,True,True,True,1.0,False,10952222,1688254200,cf-montreal-new-york-city-fc,False,Major League Soccer,major-league-soccer,USA,usa,Football,football,1,26,usa,MLS,mls,USA,usa,Football,football,1,26,usa,0,False,False,242,True,False,326,18,,,,100,Ended,finished,CF Montreal,cf-montreal,Montréal,Football,football,1,0,MON,False,0,22006,US,USA,[],#52b030,#52b030,#ffffff,New York City FC,new-york-city-fc,NY City,Football,football,1,0,NYC,False,0,187643,US,USA,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0,1.0,0.0,1.0,,,,,1.0,4.0,,,1688266651.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688266655,,US,US,,,,2.45,3.5,2.8
eabsgab,1,True,True,True,1.0,False,10952224,1688254200,new-york-red-bulls-columbus-crew,False,Major League Soccer,major-league-soccer,USA,usa,Football,football,1,26,usa,MLS,mls,USA,usa,Football,football,1,26,usa,0,False,False,242,True,False,326,18,,,,100,Ended,finished,Columbus Crew,columbus-crew,Columbus,Football,football,1,0,CLB,False,0,2504,US,USA,[],#52b030,#52b030,#ffffff,New York Red Bulls,new-york-red-bulls,NY Red Bulls,Football,football,1,0,NY,,0,2506,US,USA,[],#52b030,#52b030,#ffffff,2.0,2.0,1.0,1.0,2.0,,,,,1.0,1.0,1.0,0.0,1.0,,,,,,7.0,,,1688261555.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart', 'time.currentPeriodStart']",1688261558,,US,US,,,,1.95,3.6,3.75
