name,home,away,compareCode,groupName
Expected goals,3.05,0.29,1,Expected
Ball possession,72%,28%,1,Possession
Total shots,20,4,1,Shots
Shots on target,5,0,1,Shots
Shots off target,8,3,1,Shots
Blocked shots,7,1,1,Shots
Corner kicks,7,1,1,TVData
Offsides,4,2,1,TVData
Fouls,5,13,2,TVData
Yellow cards,0,2,2,TVData
Red cards,0,1,2,TVData
Free kicks,13,5,1,TVData
Throw-ins,18,11,1,TVData
Goal kicks,5,18,2,TVData
Big chances,3,0,1,Shots extra
Big chances missed,2,0,1,Shots extra
Hit woodwork,1,0,1,Shots extra
Shots inside box,11,2,1,Shots extra
Shots outside box,9,2,1,Shots extra
Goalkeeper saves,0,3,2,Shots extra
Passes,506,201,1,Passes
Accurate passes,447 (88%),142 (71%),1,Passes
Long balls,41/53 (77%),19/52 (37%),1,Passes
Crosses,6/28 (21%),1/2 (50%),2,Passes
Dribbles,10/17 (59%),4/8 (50%),1,Duels
Possession lost,107,95,1,Duels
Duels won,48,23,1,Duels
Aerials won,11,4,1,Duels
Tackles,14,10,1,Defending
Interceptions,3,7,2,Defending
Clearances,4,30,2,Defending
Ball possession,74%,26%,1,Possession
Total shots,11,2,1,Shots
Shots on target,4,0,1,Shots
Shots off target,2,2,3,Shots
Blocked shots,5,0,1,Shots
Corner kicks,4,0,1,TVData
Offsides,3,1,1,TVData
Yellow cards,0,2,2,TVData
Red cards,0,1,2,TVData
Free kicks,11,2,1,TVData
Throw-ins,8,3,1,TVData
Goal kicks,3,5,2,TVData
Big chances,3,0,1,Shots extra
Big chances missed,2,0,1,Shots extra
Hit woodwork,0,0,3,Shots extra
Shots inside box,8,1,1,Shots extra
Shots outside box,3,1,1,Shots extra
Goalkeeper saves,0,3,2,Shots extra
Passes,228,81,1,Passes
Accurate passes,199 (87%),57 (70%),2,Passes
Long balls,17/22 (77%),8/26 (31%),1,Passes
Crosses,2/9 (22%),0/0 (0%),1,Passes
Dribbles,4/7 (57%),1/3 (33%),1,Duels
Possession lost,49,39,1,Duels
Duels won,32,10,1,Duels
Aerials won,8,2,1,Duels
Tackles,9,5,1,Defending
Interceptions,0,3,2,Defending
Clearances,1,11,2,Defending
Ball possession,71%,29%,1,Possession
Total shots,9,2,1,Shots
Shots on target,1,0,1,Shots
Shots off target,6,1,1,Shots
Blocked shots,2,1,1,Shots
Corner kicks,3,1,1,TVData
Offsides,1,1,3,TVData
Yellow cards,0,0,3,TVData
Red cards,0,0,3,TVData
Free kicks,2,3,2,TVData
Throw-ins,10,8,1,TVData
Goal kicks,2,13,2,TVData
Big chances,0,0,3,Shots extra
Big chances missed,0,0,3,Shots extra
Hit woodwork,1,0,1,Shots extra
Shots inside box,3,1,1,Shots extra
Shots outside box,6,1,1,Shots extra
Goalkeeper saves,0,0,3,Shots extra
Passes,278,120,1,Passes
Accurate passes,248 (89%),85 (71%),2,Passes
Long balls,24/31 (77%),11/26 (42%),1,Passes
Crosses,4/19 (21%),1/2 (50%),2,Passes
Dribbles,6/10 (60%),3/5 (60%),1,Duels
Possession lost,58,56,1,Duels
Duels won,16,13,1,Duels
Aerials won,3,2,1,Duels
Tackles,5,5,3,Defending
Interceptions,3,4,2,Defending
Clearances,3,19,2,Defending
