customId,winnerCode,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.userCount,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,roundInfo.name,roundInfo.cupRoundType,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,time.injuryTime1,awayRedCards,tournament.category.alpha2,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.alpha2,homeRedCards,aggregatedWinnerCode,previousLegEventId,homeTeam.gender,homeTeam.national,awayTeam.gender,awayTeam.national,homeScore.aggregated,awayScore.aggregated,homeScore.extra1,homeScore.extra2,homeScore.overtime,awayScore.extra1,awayScore.extra2,awayScore.overtime,homeScore.penalties,awayScore.penalties,choice_1,choice_X,choice_2
BFoswmw,2,True,,,6.0,False,10912555,1681355100,celaya-fc-correcaminos-uat,False,"Liga de Expansión MX, Clausura",liga-de-expansion-mx-clausura,Mexico,mexico,Football,football,1,12,mexico,"Liga de Expansión MX, Clausura",liga-de-expansion-mx-clausura,Mexico,mexico,Football,football,1,12,mexico,0,False,False,11612,False,False,0,90492,16.0,,,100,Ended,finished,Correcaminos UAT,correcaminos-uat,Correcaminos,Football,football,1,0,COR,,0,36526,MX,Mexico,[],#52b030,#52b030,#ffffff,Celaya FC,celaya-fc,Celaya,Football,football,1,0,CEL,,0,53121,MX,Mexico,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0,1681361915.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681361917,2.0,,MX,,,MX,,,,,,,,,,,,,,,,,,2.6,3.3,2.7
hWcsvWc,3,False,,,,False,10950706,1681225200,grorud-aalesund-fk-ii,False,"2nd Division, Group 1",2nd-division-group-1,Norway,norway,Football,football,1,5,norway,"2nd Division, Group 1",2nd-division-group-1,Norway,norway,Football,football,1,5,norway,0,False,False,11085,False,False,0,396,1.0,,,100,Ended,finished,Grorud,grorud,Grorud,Football,football,1,0,GIL,,0,7320,NO,Norway,[],#52b030,#52b030,#ffffff,Aalesund FK II,aalesund-fk-ii,Aalesund II,Football,football,1,0,AA2,,0,7307,NO,Norway,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1681232077.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681232080,,,NO,,,NO,,,,,,,,,,,,,,,,,,1.4,4.33,6.0
GpsVwc,1,False,,,,False,10950708,1681225200,flekkeroy-valerenga-if-ii,False,"2nd Division, Group 1",2nd-division-group-1,Norway,norway,Football,football,1,5,norway,"2nd Division, Group 1",2nd-division-group-1,Norway,norway,Football,football,1,5,norway,0,False,False,11085,False,False,0,396,1.0,,,100,Ended,finished,Vålerenga IF II,valerenga-if-ii,Vålerenga II,Football,football,1,0,VA2,,0,6095,NO,Norway,[],#52b030,#52b030,#ffffff,Flekkerøy,flekkeroy,Flekkerøy,Football,football,1,0,FLE,,0,781,NO,Norway,[],#52b030,#52b030,#ffffff,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1681231691.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1681231694,,,NO,,,NO,,,,,,,,,,,,,,,,,,3.6,4.5,1.62
xrsKr,2,False,,,,False,10950468,1681223400,strommen-if-sk-brann-ii,False,"2nd Division, Group 2",2nd-division-group-2,Norway,norway,Football,football,1,5,norway,"2nd Division, Group 2",2nd-division-group-2,Norway,norway,Football,football,1,5,norway,0,False,False,11090,False,False,0,395,1.0,,,100,Ended,finished,Strømmen IF,strommen-if,Strømmen,Football,football,1,0,STR,,0,885,NO,Norway,[],#52b030,#52b030,#ffffff,SK Brann II,sk-brann-ii,Brann II,Football,football,1,0,BRA,,0,872,NO,Norway,[],#52b030,#52b030,#ffffff,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,2.0,2.0,,1681227120.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2', 'awayScore.normaltime']",1681230145,,,NO,,,NO,,,,,,,,,,,,,,,,,,1.5,4.2,4.8
insTn,2,False,,,,False,10950471,1681228800,baerum-sk-stromsgodset-ii,False,"2nd Division, Group 2",2nd-division-group-2,Norway,norway,Football,football,1,5,norway,"2nd Division, Group 2",2nd-division-group-2,Norway,norway,Football,football,1,5,norway,0,False,False,11090,False,False,0,395,1.0,,,100,Ended,finished,Strømsgodset II,stromsgodset-ii,Strømsgodset II,Football,football,1,0,SIF2,,0,658,NO,Norway,[],#52b030,#52b030,#ffffff,Bærum SK,baerum-sk,Bærum,Football,football,1,0,BAE,,0,693,NO,Norway,[],#52b030,#52b030,#ffffff,2.0,2.0,0.0,2.0,2.0,4.0,4.0,2.0,2.0,4.0,,1681232400.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1681235403,,,NO,,,NO,,,,,,,,,,,,,,,,,,2.15,4.75,2.3
bknsUIZb,3,False,False,,4.0,False,11188000,1681255800,nacional-asuncion-guairena,False,"Primera Division, Apertura",primera-division-apertura,Paraguay,paraguay,Football,football,1,280,paraguay,"Primera Division, Apertura",primera-division-apertura,Paraguay,paraguay,Football,football,1,280,paraguay,0,False,False,11540,False,False,0,3133,12.0,,,100,Ended,finished,Nacional Asunción,nacional-asuncion,Nacional,Football,football,1,0,NAC,,0,33001,PY,Paraguay,[],#52b030,#52b030,#ffffff,Guaireña,guairena,Guaireña,Football,football,1,0,GUA,False,0,249194,PY,Paraguay,[],#52b030,#52b030,#ffffff,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,1681262514.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681262515,1.0,,PY,,,PY,,,,,,,,,,,,,,,,,,2.0,3.2,3.6
XucsYuc,1,False,False,,4.0,False,11188001,1681336800,sportivo-luqueno-olimpia,False,"Primera Division, Apertura",primera-division-apertura,Paraguay,paraguay,Football,football,1,280,paraguay,"Primera Division, Apertura",primera-division-apertura,Paraguay,paraguay,Football,football,1,280,paraguay,0,False,False,11540,False,False,0,3133,12.0,,,100,Ended,finished,Sportivo Luqueño,sportivo-luqueno,Sportivo Luqueño,Football,football,1,0,LUQ,False,0,5998,PY,Paraguay,[],#52b030,#52b030,#ffffff,Olimpia,olimpia,Olimpia,Football,football,1,0,OLI,False,0,5997,PY,Paraguay,[],#52b030,#52b030,#ffffff,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1681343649.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681343650,1.0,,PY,,,PY,,,,,,,,,,,,,,,,,,4.0,3.6,1.75
ZucsxUp,2,False,False,,4.0,False,11188002,1681345800,tacuary-sportivo-trinidense,False,"Primera Division, Apertura",primera-division-apertura,Paraguay,paraguay,Football,football,1,280,paraguay,"Primera Division, Apertura",primera-division-apertura,Paraguay,paraguay,Football,football,1,280,paraguay,0,False,False,11540,False,False,0,3133,12.0,,,100,Ended,finished,Tacuary,tacuary,Tacuary,Football,football,1,0,TAC,False,0,5999,PY,Paraguay,[],#52b030,#52b030,#ffffff,Sportivo Trinidense,sportivo-trinidense,Trinidense,Football,football,1,0,TRI,,0,39722,PY,Paraguay,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,6.0,1681352672.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681352674,2.0,,PY,,,PY,,,,,,,,,,,,,,,,,,3.3,3.4,2.0
mmbsqid,2,False,,,,False,11101400,1681228800,oks-odra-opole-gks-katowice,False,I Liga,i-liga,Poland,poland,Football,football,1,47,poland,I Liga,i-liga,Poland,poland,Football,football,1,47,poland,0,False,False,229,False,False,0,1427,26.0,,,100,Ended,finished,GKS Katowice,gks-katowice,GKS Katowice,Football,football,1,0,KAT,,0,3112,PL,Poland,[],#52b030,#52b030,#ffffff,OKS Odra Opole,oks-odra-opole,Odra Opole,Football,football,1,0,ODR,,0,7916,PL,Poland,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,3.0,1681235754.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681235755,4.0,,PL,,,PL,,,,,,,,,,,,,,,,,,1.95,3.3,3.6
ymbsAmb,3,False,,,,False,11101402,1681237800,gornik-leczna-lks-lodz,False,I Liga,i-liga,Poland,poland,Football,football,1,47,poland,I Liga,i-liga,Poland,poland,Football,football,1,47,poland,0,False,False,229,False,False,0,1427,26.0,,,100,Ended,finished,Górnik Łęczna,gornik-leczna,Górnik Łęczna,Football,football,1,0,GOR,False,0,3125,PL,Poland,[],#52b030,#52b030,#ffffff,ŁKS Łódź,lks-lodz,ŁKS Łódź,Football,football,1,0,LKS,,0,3123,PL,Poland,[],#52b030,#52b030,#ffffff,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,8.0,1681244993.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681244995,,,PL,,,PL,,,,,,,,,,,,,,,,,,2.88,2.9,2.38
