shirtNumber,jerseyNumber,position,substitute,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.totalKeeperSweeper,statistics.accurateKeeperSweeper,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.totalCross,statistics.accurateCross,statistics.aerialLost,statistics.aerialWon,statistics.duelLost,statistics.duelWon,statistics.totalContest,statistics.wonContest,statistics.shotOffTarget,statistics.interceptionWon,statistics.wasFouled,statistics.possessionLostCtrl,statistics.keyPass,statistics.totalClearance,captain,statistics.challengeLost,statistics.outfielderBlock,statistics.totalTackle,statistics.fouls,statistics.dispossessed,statistics.bigChanceCreated,statistics.totalOffside,statistics.goalAssist,statistics.bigChanceMissed,statistics.onTargetScoringAttempt,statistics.goals,statistics.blockedScoringAttempt,statistics.errorLeadToAShot,team,player_type,statistics.goodHighClaim,statistics.punches
23,23,D,False,Carina Baltrip-Reyes,Carina Baltrip-Reyes,,carina-baltrip-reyes,C. Baltrip-Reyes,D,9,1131693,PA,Panama,EUR,899251200.0,23.0,15.0,2.0,,,,,,90.0,39.0,6.0,6.0,5.8,,,,1.0,3.0,1.0,1.0,,,1.0,,11.0,,4.0,,2.0,2.0,,,,,,,,1.0,,,1.0,away,main,,
5,5,D,False,Yomira Pinzón,,,yomira-pinzon,Y. Pinzón,D,3,1388379,PA,Panama,EUR,,21.0,11.0,7.0,1.0,,,,,90.0,38.0,6.3,6.3,6.5,,,2.0,,2.0,7.0,,,,2.0,1.0,11.0,,6.0,,,1.0,6.0,,,,,,,,,,1.0,away,main,,
15,15,D,False,Rosi,Rosi,,rosi,Rosi,D,4,1497570,,,EUR,1028851200.0,13.0,6.0,1.0,,,,,,83.0,28.0,5.6,5.6,5.6,,,2.0,1.0,8.0,4.0,1.0,,,1.0,,12.0,,4.0,,3.0,,3.0,1.0,1.0,,,,,,,,,away,main,,
2,2,D,False,Hilary Jaen,,,jaen-hilary,H. Jaen,D,3,1387549,PA,Panama,EUR,1030579200.0,11.0,4.0,1.0,,,,,,45.0,23.0,6.0,6.0,5.9,,,2.0,,4.0,,,,,1.0,,11.0,,2.0,,1.0,,,,1.0,,,,,,,,,away,main,,
11,11,M,False,Natalia Mills,,,mills-natalia,N. Mills,M,7,1417186,PA,Panama,EUR,732758400.0,5.0,3.0,,,,,,,54.0,10.0,6.2,6.2,6.3,,,,1.0,2.0,2.0,,,,1.0,,4.0,,,True,1.0,,1.0,1.0,,,,,,,,,,away,main,,
8,8,M,False,Schiandra Gonzalez,,,gonzalez-schiandra,S. Gonzalez,D,8,1387548,PA,Panama,EUR,804816000.0,22.0,13.0,3.0,,,,,,90.0,31.0,6.2,6.2,6.2,,,2.0,,3.0,2.0,,,1.0,,1.0,10.0,,2.0,,,,1.0,,1.0,,,,,,,,,away,main,,
20,20,M,False,Aldrith Quintero,,,quintero-aldrith,A. Quintero,M,8,1417351,PA,Panama,EUR,1009843200.0,17.0,12.0,1.0,1.0,,,,,65.0,32.0,6.3,6.3,6.3,,,,,7.0,5.0,1.0,1.0,,3.0,2.0,8.0,,1.0,,3.0,,2.0,2.0,2.0,,,,,,,,,away,main,,
10,10,M,False,Marta Cox Villarreal,,,marta-cox-villarreal,M. C. Villarreal,M,12,1387538,PA,Panama,EUR,869356800.0,14.0,6.0,1.0,,,,,,79.0,30.0,6.7,6.7,6.7,,,2.0,2.0,7.0,10.0,4.0,3.0,,1.0,1.0,11.0,1.0,1.0,,1.0,,4.0,3.0,,,,,,,,,,away,main,,
9,9,F,False,Karla Riley,,,riley-karla,K. Riley,F,6,1387550,PA,Panama,EUR,871862400.0,11.0,7.0,2.0,,,,,,53.0,18.0,6.2,6.2,6.2,,,3.0,,5.0,1.0,1.0,,,1.0,,8.0,,,,,,1.0,1.0,1.0,,,,,,,,,away,main,,
3,3,D,True,Wendy Natis,,,natis-wendy,W. Natis,D,1,1388378,PA,Panama,EUR,1029715200.0,14.0,7.0,6.0,,,,,,45.0,23.0,6.2,6.2,6.2,,,,,3.0,,,,,2.0,,7.0,,4.0,,1.0,1.0,,2.0,,,,,,,,,,away,substitute,,
