shirtNumber,jerseyNumber,position,substitute,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.totalKeeperSweeper,statistics.accurateKeeperSweeper,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.expectedGoals,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.goalsPrevented,statistics.totalCross,statistics.accurateCross,statistics.aerialLost,statistics.aerialWon,statistics.duelLost,statistics.duelWon,statistics.totalContest,statistics.wonContest,statistics.bigChanceCreated,statistics.onTargetScoringAttempt,statistics.blockedScoringAttempt,statistics.totalClearance,statistics.interceptionWon,statistics.totalTackle,statistics.fouls,statistics.keyPass,statistics.expectedAssists,player.firstName,player.lastName,statistics.penaltyConceded,statistics.challengeLost,statistics.wasFouled,statistics.shotOffTarget,captain,statistics.dispossessed,statistics.outfielderBlock,statistics.bigChanceMissed,statistics.totalOffside,team,player_type,statistics.goodHighClaim,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.goals,statistics.goalAssist,statistics.penaltyWon
9,9,F,False,Vitor Roque,vitor-roque,Vitor Roque,F,12479,1150391,BR,Brazil,EUR,1109548800,10.0,8.0,,,,,89.0,20.0,7.8,3.0,0.0,7.8,8.0,,,,1.0,,1.0,7.0,,,1.0,,,,,2.0,,1.0,0.0995727,Vitor Roque,,,,5.0,,,,1.0,,1.0,away,main,,,,,1.0,1.0
8,8,M,True,Vitor Bueno,vitor-bueno,Vitor Bueno,M,467,808785,BR,Brazil,EUR,778723200,5.0,1.0,,,,,24.0,8.0,7.2,4.0,0.7884,7.2,7.2,,1.0,1.0,2.0,1.0,2.0,2.0,,,,1.0,,,,,,1.0,0.0442009,,,,,1.0,,,,,,,away,substitute,,,,1.0,,
28,28,F,True,Tomás Cuello,tomas-cuello,Tomás Cuello,M,375,871273,AR,Argentina,EUR,952214400,3.0,2.0,,,,,23.0,7.0,6.7,1.0,0.0,6.7,6.6,,,,1.0,,5.0,3.0,,,,,,,1.0,3.0,2.0,,,,,,2.0,,,,,,,,away,substitute,,,,,,
92,92,F,True,Pablo,pablo,Pablo,F,559,374486,BR,Brazil,EUR,709257600,6.0,4.0,1.0,,,,17.0,7.0,6.3,2.0,0.0,6.3,6.3,,,,2.0,,4.0,,,,,,,1.0,,,,,0.00870724,,,,2.0,,,,,,,,away,substitute,,,,,,
22,22,D,True,Madson,madson,Madson,D,238,243439,BR,Brazil,EUR,695260800,1.0,1.0,,,,,8.0,4.0,6.5,,0.0,6.5,6.6,,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,away,substitute,,,,,,
17,17,M,True,Hugo Moura,hugo-moura,Hugo Moura,M,355,973293,BR,Brazil,EUR,883785600,,,,,,,8.0,,6.4,,0.0,6.4,6.4,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,away,substitute,,,,,,
24,24,G,True,Léo Linck,leo-linck,L. Linck,G,53,1119887,BR,Brazil,EUR,983577600,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,,,
43,43,G,True,Gabriel Pereira,gabriel-pereira,G. Pereira,G,36,1064298,BR,Brazil,EUR,1025568000,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,Gabriel Pereira,,,,,,,,,,,away,substitute,,,,,,
42,42,D,True,Matheus Felipe,matheus-felipe,M. Felipe,D,61,1110173,BR,Brazil,EUR,910569600,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,,,
19,19,F,True,Thiago Andrade,thiago-andrade,T. Andrade,M,182,1106509,BR,Brazil,EUR,972950400,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,,,
32,32,F,True,Luciano Arriagada,luciano-arriagada,Luciano Arriagada,F,443,1014798,CL,Chile,EUR,1020124800,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,,,
7,7,F,True,Marcelo Cirino,marcelo-cirino,Marcelo Cirino,F,117,329027,BR,Brazil,EUR,696038400,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,,,
