shirtNumber,jerseyNumber,position,substitute,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.totalClearance,statistics.goodHighClaim,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.punches,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.expectedGoals,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.goalsPrevented,statistics.totalCross,statistics.accurateCross,statistics.aerialWon,statistics.duelLost,statistics.duelWon,statistics.challengeLost,statistics.dispossessed,statistics.totalContest,statistics.wonContest,statistics.shotOffTarget,statistics.onTargetScoringAttempt,statistics.interceptionWon,statistics.totalTackle,statistics.wasFouled,statistics.keyPass,statistics.expectedAssists,statistics.aerialLost,statistics.outfielderBlock,statistics.fouls,captain,statistics.totalOffside,statistics.blockedScoringAttempt,team,player_type,statistics.clearanceOffLine
17,17,M,True,Diego Rosa,,,diego-rosa,D. Rosa,M,368,1002415,BR,Brazil,EUR,1034380800,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,
19,19,M,True,Lucas Mugni,,,lucas-mugni,L. Mugni,M,120,249881,AR,Argentina,EUR,695174400,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,
23,23,M,True,Patrick Verhon,Patrick Verhon,,patrick-verhon,Patrick Verhon,M,30,1392679,BR,Brazil,EUR,1094601600,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,
14,14,F,True,Arthur Sales,Arthur,,arthur-sales,A. Sales,F,217,1105780,BR,Brazil,EUR,1025654400,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,
12,12,G,False,Cássio,,,cassio,Cássio,G,1842,27756,BR,Brazil,EUR,549936000,25.0,17.0,13.0,5.0,,,2.0,4.0,,90.0,34.0,7.6,8.0,0.0,7.6,7.7,0.762,,,1.0,,1.0,,,,,,,,,1.0,,,,,,True,,,away,main,
25,25,D,False,Bruno Méndez,,,bruno-mendez,Bruno Méndez,D,806,923000,UY,Uruguay,EUR,936921600,24.0,17.0,,,11.0,,,,,90.0,52.0,7.8,13.0,0.0,7.8,7.6,,1.0,,3.0,1.0,7.0,,1.0,,,,,1.0,4.0,,1.0,0.0245567,,,,,,,away,main,
4,4,D,False,Gil,,,gil,Gil,D,835,106402,BR,Brazil,EUR,550454400,27.0,22.0,5.0,1.0,6.0,,,,,90.0,41.0,7.1,6.0,0.0,7.1,7.3,,,,3.0,4.0,4.0,2.0,,,,,,1.0,1.0,,,,2.0,2.0,,,1.0,,away,main,
34,34,D,False,Murillo,Murillo,,murillo,Murillo,D,327,1199282,BR,Brazil,EUR,1025740800,34.0,23.0,9.0,4.0,8.0,,,,,90.0,56.0,6.8,14.0,0.0,6.8,7.1,,,,3.0,10.0,5.0,2.0,,2.0,1.0,,,2.0,1.0,,,,3.0,1.0,4.0,,,,away,main,
23,23,M,False,Fagner,,,fagner,Fagner,D,1573,25554,BR,Brazil,EUR,613526400,15.0,11.0,2.0,1.0,2.0,,,,,45.0,32.0,6.6,8.0,0.0,6.6,6.7,,,,,5.0,5.0,2.0,1.0,2.0,1.0,,,,2.0,2.0,,0.00766541,,,1.0,,,,away,main,
5,5,M,False,Fausto Vera,,,fausto-vera,Fausto Vera,M,1687,930690,AR,Argentina,EUR,954028800,35.0,30.0,2.0,2.0,1.0,,,,,90.0,48.0,6.9,10.0,0.0,6.9,7.1,,,,1.0,9.0,6.0,4.0,3.0,2.0,2.0,,,,2.0,1.0,,,,1.0,2.0,,1.0,,away,main,1.0
20,20,M,False,Giuliano,,,giuliano,Giuliano,M,1200,90862,BR,Brazil,EUR,644112000,25.0,23.0,,,3.0,,,,,45.0,33.0,6.3,4.0,0.0,6.3,6.4,,,,1.0,5.0,1.0,2.0,2.0,,,,,,,,,,1.0,,,,,,away,main,
6,6,M,False,Fábio Santos,,,fabio-santos,Fábio Santos,D,735,35519,BR,Brazil,EUR,495676800,32.0,20.0,2.0,,,,,,,75.0,54.0,6.8,17.0,0.0,6.8,6.8,,3.0,1.0,1.0,4.0,5.0,,1.0,,,,,1.0,3.0,1.0,,0.0257412,1.0,,2.0,,,,away,main,
18,18,F,False,Matías Rojas,,,matias-rojas,Matías Rojas,F,1764,846280,PY,Paraguay,EUR,815356800,24.0,19.0,2.0,2.0,,,,,,63.0,37.0,6.3,15.0,0.0352,6.3,6.3,,2.0,,,7.0,1.0,1.0,3.0,1.0,,,,,,1.0,,0.0181516,2.0,,,,,1.0,away,main,
8,8,F,False,Renato Augusto,,,renato-augusto,Renato Augusto,M,2493,34152,BR,Brazil,EUR,571276800,25.0,17.0,1.0,1.0,1.0,,,,,71.0,38.0,6.8,14.0,0.0362,6.8,6.9,,3.0,,3.0,3.0,6.0,1.0,2.0,1.0,1.0,,,,,2.0,1.0,0.0159478,,,,,1.0,1.0,away,main,
9,9,F,False,Yuri Alberto,,,yuri-alberto,Yuri Alberto,F,5096,905463,BR,Brazil,EUR,984873600,20.0,12.0,,,3.0,,,,,90.0,37.0,7.1,11.0,0.0191,7.1,7.2,,1.0,,7.0,15.0,11.0,,,1.0,,,1.0,,1.0,3.0,1.0,0.0248264,7.0,1.0,9.0,,1.0,,away,main,
28,28,F,True,Adson,Adson,,adson,Adson,M,813,1105970,BR,Brazil,EUR,970790400,23.0,16.0,,,,,,,,45.0,40.0,6.9,9.0,0.0,6.9,6.9,,1.0,,,5.0,6.0,2.0,,1.0,1.0,,,,3.0,2.0,,0.0186756,2.0,,1.0,,,,away,substitute,
33,33,M,True,Ruan Oliveira,Ruan Oliveira,,ruan-oliveira,Ruan Oliveira,M,162,1047656,BR,Brazil,EUR,953769600,11.0,7.0,1.0,,1.0,,,,,45.0,26.0,6.9,8.0,0.0272,6.9,6.8,,4.0,2.0,,3.0,4.0,2.0,,1.0,1.0,,,,3.0,,,0.0602156,1.0,,,,,1.0,away,substitute,
26,26,D,True,Guilherme Biro,,,guilherme-biro,Guilherme Biro,M,744,1106667,BR,Brazil,EUR,1074556800,6.0,6.0,,,,,,,,27.0,11.0,6.4,2.0,0.0186,6.4,6.6,,,,1.0,3.0,2.0,1.0,,2.0,1.0,1.0,,,,,,0.0097564,,,1.0,,,,away,substitute,
7,7,M,True,Maycon,,,maycon,Maycon,M,774,831778,BR,Brazil,EUR,868924800,5.0,3.0,,,,,,,,19.0,9.0,6.6,2.0,0.0,6.6,6.7,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,away,substitute,
14,14,D,True,Caetano,,,caetano,Caetano,D,312,959006,BR,Brazil,EUR,930182400,2.0,2.0,,,1.0,,,,,15.0,8.0,6.7,1.0,0.0,6.7,6.7,,,,,,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,,away,substitute,
22,22,G,True,Carlos Miguel,,,carlos-miguel,C. Miguel,G,504,973738,BR,Brazil,EUR,907891200,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,
13,13,D,True,Léo Mana,,,leo-mana,L. Mana,D,101,1170769,BR,Brazil,EUR,1081209600,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,
21,21,D,True,Matheus Bidú,,,matheus-bidu,Matheus Bidú,M,496,981703,BR,Brazil,EUR,925776000,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,
29,29,M,True,Roni,Roni,,roni,Roni,M,472,1046440,BR,Brazil,EUR,924134400,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,
30,30,M,True,Matheus Araújo,,,matheus-araujo,Matheus Araújo,M,354,1002617,BR,Brazil,EUR,1022025600,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,
36,36,M,True,Wesley,,,wesley,Wesley,F,243,1211632,BR,Brazil,EUR,1109980800,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,
41,41,F,True,Felipe Augusto,Felipe Augusto,,felipe-augusto,Felipe Augusto,F,275,1106681,BR,Brazil,EUR,1077062400,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,
