shirtNumber,jerseyNumber,position,substitute,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.duelLost,statistics.fouls,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.ratingVersions.original,statistics.ratingVersions.alternative,player.firstName,player.lastName,statistics.totalCross,statistics.duelWon,statistics.onTargetScoringAttempt,statistics.outfielderBlock,statistics.totalTackle,statistics.wasFouled,statistics.aerialWon,statistics.dispossessed,statistics.totalContest,statistics.wonContest,statistics.totalClearance,statistics.aerialLost,statistics.challengeLost,statistics.interceptionWon,statistics.keyPass,statistics.goals,statistics.bigChanceMissed,statistics.shotOffTarget,statistics.blockedScoringAttempt,statistics.hitWoodwork,statistics.accurateCross,statistics.goalAssist,statistics.bigChanceCreated,statistics.totalOffside,statistics.penaltyWon,team,player_type,statistics.goodHighClaim,statistics.punches,statistics.clearanceOffLine,statistics.penaltyConceded
26,26,D,True,Stjepan Radeljić,stjepan-radeljic,S. Radeljić,D,104,843746,BA,Bosnia & Herzegovina,EUR,873417600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,
28,28,D,True,Ivan Smolčić,ivan-smolcic,I. Smolčić,D,103,974581,HR,Croatia,EUR,966470400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,
32,32,D,True,Marijan Čabraja,marijan-cabraja,M. Čabraja,D,146,843249,HR,Croatia,EUR,856828800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,
18,18,M,True,Lindon Selahi,lindon-selahi,L. Selahi,M,248,922945,AL,Albania,EUR,919987200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,
27,27,M,True,Silvio Ilinković,silvio-ilinkovic,S. Ilinković,M,76,1005793,BA,Bosnia & Herzegovina,EUR,1033776000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,
30,30,F,True,Bruno Bogojević,bruno-bogojevic,B. Bogojević,M,60,852471,HR,Croatia,EUR,899078400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,
99,99,G,False,Mario Marić,mario-maric,M. Marić,G,23,925978,HR,Croatia,EUR,927590400.0,29.0,19.0,14.0,4.0,,,2.0,2.0,90.0,44.0,6.4,11.0,6.4,5.9,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,away,main,2.0,1.0,,
13,13,D,False,Vanja Šare,vanja-sare,V. Šare,D,39,1407948,HR,Croatia,EUR,1081382400.0,26.0,16.0,3.0,1.0,7.0,1.0,,,77.0,52.0,7.2,19.0,7.2,7.0,,,1.0,4.0,,1.0,2.0,,,,4.0,2.0,5.0,1.0,3.0,2.0,1.0,,,,,,1.0,,1.0,,,away,main,,,1.0,
26,26,D,False,Miguel Campos,miguel-campos,Miguel,D,13,587554,PT,Portugal,EUR,840412800.0,58.0,49.0,9.0,3.0,4.0,1.0,,,90.0,75.0,6.7,10.0,6.7,6.7,,,,5.0,1.0,1.0,2.0,2.0,1.0,1.0,,,7.0,2.0,,1.0,,,,,,,,,,,,away,main,,,,
16,16,D,False,Mislav Matić,mislav-matic,M. Matić,D,63,985411,HR,Croatia,EUR,947116800.0,52.0,43.0,13.0,7.0,3.0,2.0,,,90.0,59.0,5.8,10.0,5.8,5.8,,,,2.0,,1.0,1.0,,1.0,1.0,,,4.0,,,,,,,,,,,,,,,away,main,,,,1.0
5,5,D,False,Dominik Pavlek,dominik-pavlek,D. Pavlek,D,22,1047633,HR,Croatia,EUR,965174400.0,38.0,31.0,5.0,2.0,1.0,1.0,,,77.0,48.0,6.7,7.0,6.7,6.7,,,,4.0,,1.0,1.0,,3.0,,,,5.0,,,1.0,,,,1.0,1.0,,,,,,,away,main,,,,
24,24,D,False,Dominik Rešetar,dominik-resetar,D. Rešetar,F,41,904483,HR,Croatia,EUR,959385600.0,23.0,14.0,2.0,,2.0,,,,69.0,37.0,6.3,14.0,6.3,6.4,,,2.0,3.0,,1.0,1.0,1.0,1.0,2.0,,,1.0,,,1.0,,,,,,,,,,,,away,main,,,,
30,30,F,False,Brian Oddei,oddei-brian,B. Oddei,F,184,1001770,IT,Italy,EUR,1032307200.0,20.0,15.0,,,7.0,1.0,,,90.0,45.0,7.4,11.0,7.4,7.2,,,3.0,12.0,,,,4.0,1.0,2.0,9.0,7.0,,1.0,1.0,,1.0,,,2.0,,,2.0,,,1.0,,away,main,,,,
29,29,M,False,Vanja Vukmanović,vanja-vukmanovic,V. Vukmanović,M,27,1163336,HR,Croatia,EUR,1085011200.0,54.0,47.0,4.0,3.0,3.0,2.0,,,90.0,60.0,6.7,7.0,6.7,6.6,Vanja Vukmanovic,,,2.0,,,2.0,,,,,,1.0,1.0,,2.0,1.0,,,,,,,,,,,away,main,,,,
6,6,M,False,Tomislav Srbljinović,tomislav-srbljinovic,T. Srbljinović,M,13,901210,HR,Croatia,EUR,946252800.0,49.0,44.0,4.0,2.0,10.0,5.0,,,90.0,57.0,6.2,8.0,6.2,5.9,,,,4.0,,,3.0,1.0,,1.0,,,,,4.0,,,,,,,,,,,,,away,main,,,,
14,14,F,False,Andrej Lazarov,andrej-lazarov,A. Lazarov,M,4,902228,MK,North Macedonia,EUR,936748800.0,23.0,16.0,,,,,,,70.0,30.0,6.6,7.0,6.6,6.6,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,away,main,,,,
9,9,F,False,Ivor Ljubanović,ivor-ljubanovic,I. Ljubanović,F,27,843675,HR,Croatia,EUR,914889600.0,23.0,18.0,2.0,1.0,3.0,1.0,,,90.0,33.0,6.2,7.0,6.2,6.1,,,,5.0,,,1.0,3.0,1.0,,,,,2.0,,,2.0,,2.0,2.0,,,,,,,,away,main,,,,
11,11,D,True,Ivan Tomečak,ivan-tomecak,I. Tomečak,D,71,50577,HR,Croatia,EUR,628992000.0,9.0,8.0,,,5.0,,,,21.0,20.0,5.6,8.0,5.6,5.4,,,3.0,,,,,,,,4.0,,,,1.0,,,,,,,,1.0,,,,,away,substitute,,,,
10,10,M,True,Aleksa Latković,aleksa-latkovic,A. Latković,F,36,895620,ME,Montenegro,EUR,972864000.0,8.0,7.0,,,3.0,,,,20.0,16.0,6.1,6.0,6.1,6.0,,,,,,,,,,,3.0,,,,,1.0,,,,,1.0,,,,,,,away,substitute,,,,
17,17,D,True,Bruno Brajković,bruno-brajkovic,B. Brajković,D,41,1063092,HR,Croatia,EUR,987379200.0,8.0,4.0,1.0,,,,,,13.0,10.0,6.2,4.0,6.2,6.1,Bruno Brajković,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,away,substitute,,,,
23,23,M,True,Riad Masala,riad-masala,R. Masala,M,12,1163333,BA,Bosnia & Herzegovina,EUR,1073174400.0,11.0,9.0,,,,,,,13.0,12.0,6.4,3.0,6.4,6.4,Riad Masala,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
1,1,G,True,Karlo Kralj,karlo-kralj,K. Kralj,G,14,1090957,HR,Croatia,EUR,1006473600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
33,33,G,True,Eugen Ciban,eugen-ciban,E. Ciban,G,20,1418197,HR,Croatia,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
18,18,D,True,Aboubacar Camara,aboubacar-camara,A. Camara,D,3,1513448,GF,French Guiana,EUR,978652800.0,,,,,,,,,,,,,,,Aboubacar Camara,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
21,21,M,True,Jakov Bašić,jakov-basic,J. Bašić,M,48,978294,HR,Croatia,EUR,848880000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
27,27,M,True,Luka Pasariček,luka-pasaricek,L. Pasariček,M,21,357590,HR,Croatia,EUR,889660800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
7,7,F,True,João Araújo,joao-araujo,J. Araújo,F,16,1091172,BR,Brazil,EUR,879811200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
8,8,F,True,Tomislav Gudelj,tomislav-gudelj,T. Gudelj,F,31,1003432,HR,Croatia,EUR,893980800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
35,35,F,True,Stjepan Plazonja,stjepan-plazonja,S. Plazonja,F,18,902347,HR,Croatia,EUR,883699200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
