descriptions,position,matches,wins,scoresFor,scoresAgainst,id,losses,draws,points,team.name,team.slug,team.shortName,team.gender,team.sport.name,team.sport.slug,team.sport.id,team.userCount,team.nameCode,team.disabled,team.national,team.type,team.id,team.teamColors.primary,team.teamColors.secondary,team.teamColors.text,promotion.text,promotion.id
[],1,8,8,16,1,834897,0,0,24,Botafogo,botafogo,Botafogo,M,Football,football,1,75496,BOT,False,False,0,1958,#000000,#ffffff,#ffffff,Copa Libertadores,19.0
[],2,8,7,18,7,834911,1,0,21,São Paulo,sao-paulo,São Paulo,M,Football,football,1,144593,SPA,False,False,0,1981,#ffffff,#000000,#000000,Copa Libertadores Qualification,20.0
[],3,9,6,18,9,834908,1,2,20,Grêmio,gremio,Grêmio,M,Football,football,1,91093,GPA,False,False,0,5926,#3399ff,#000033,#000033,Copa Libertadores,19.0
[],4,8,6,14,7,834898,1,1,19,Athletico,athletico,Athletico,M,Football,football,1,64168,CAP,False,False,0,1967,#000000,#cc0000,#cc0000,Copa Libertadores Qualification,20.0
[],5,9,5,14,6,834909,1,3,18,Red Bull Bragantino,red-bull-bragantino,RB Bragantino,M,Football,football,1,49385,BRA,False,False,0,1999,#363636,#d8d8d6,#d8d8d6,Copa Sudamericana,21.0
[],6,8,5,12,4,834905,0,3,18,Fluminense,fluminense,Fluminense,M,Football,football,1,93910,FLU,False,False,0,1961,#660000,#006633,#006633,Copa Sudamericana,21.0
[],7,8,5,15,5,834900,1,2,17,Flamengo,flamengo,Flamengo,M,Football,football,1,284779,FLA,False,False,0,5981,#ff0000,#000000,#000000,Copa Libertadores,19.0
[],8,8,5,16,8,834914,1,2,17,Palmeiras,palmeiras,Palmeiras,M,Football,football,1,193414,PAL,False,False,0,1963,#339966,#336633,#336633,Copa Libertadores,19.0
[],9,8,4,10,5,834906,1,3,15,Fortaleza,fortaleza,Fortaleza,M,Football,football,1,61987,FOR,False,False,0,2020,#0000ff,#ff0000,#ff0000,Copa Sudamericana,21.0
[],10,7,4,7,4,834913,1,2,14,Internacional,internacional,Internacional,M,Football,football,1,80902,INT,False,False,0,1966,#cc0000,#cc0000,#cc0000,Copa Sudamericana,21.0
[],11,9,3,15,13,834910,2,4,13,Santos,santos,Santos,M,Football,football,1,80387,SAN,False,False,0,1968,#ffffff,#ffffff,#ffffff,,
[],12,9,3,4,7,834902,5,1,10,Cruzeiro,cruzeiro,Cruzeiro,M,Football,football,1,73672,CRU,False,False,0,1954,#0033cc,#0033cc,#0033cc,Copa Sudamericana,21.0
[],13,6,2,7,5,834912,1,3,9,Corinthians,corinthians,Corinthians,M,Football,football,1,161531,COR,False,False,0,1957,#ffffff,#000000,#000000,,
[],14,7,2,9,8,834896,2,3,9,Atlético Mineiro,atletico-mineiro,Atlético-MG,M,Football,football,1,101789,ATL,False,False,0,1977,#000000,#ffffff,#ffffff,,
[],15,8,2,11,11,834904,3,3,9,Bahia,bahia,Bahia,M,Football,football,1,55741,BAH,False,False,0,1955,#ffffff,#333399,#333399,Relegation,3.0
[],16,8,2,8,9,834899,3,3,9,Coritiba,coritiba,Coritiba,M,Football,football,1,32452,COR,False,False,0,1982,#ffffff,#009966,#009966,Relegation,3.0
[],17,8,2,9,11,834903,3,3,9,Cuiabá,cuiaba,Cuiabá,M,Football,football,1,26115,CUI,False,False,0,49202,#ffffff,#006600,#006600,Copa Sudamericana,21.0
[],18,7,2,8,12,834907,3,2,8,Goiás,goias,Goiás,M,Football,football,1,33455,GGO,False,False,0,1960,#006633,#ffffff,#ffffff,,
[],19,7,2,8,14,834895,4,1,7,América Mineiro,america-mineiro,América-MG,M,Football,football,1,39882,AMG,False,False,0,1973,#056635,#ffffff,#ffffff,Relegation,3.0
[],20,8,1,4,12,834901,6,1,4,Vasco,vasco,Vasco,M,Football,football,1,84261,VDG,False,False,0,1974,#ffffff,#000000,#000000,Relegation,3.0
