shirtNumber,jerseyNumber,position,substitute,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.totalClearance,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.totalKeeperSweeper,statistics.accurateKeeperSweeper,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.keyPass,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.totalCross,statistics.accurateCross,statistics.duelLost,statistics.duelWon,statistics.interceptionWon,statistics.totalTackle,statistics.wasFouled,statistics.fouls,statistics.aerialWon,statistics.blockedScoringAttempt,statistics.outfielderBlock,captain,statistics.totalContest,statistics.wonContest,statistics.dispossessed,statistics.shotOffTarget,statistics.onTargetScoringAttempt,statistics.goals,statistics.challengeLost,statistics.aerialLost,statistics.goalAssist,statistics.bigChanceCreated,team,player_type,statistics.errorLeadToAGoal,statistics.totalOffside,statistics.bigChanceMissed
7,7,F,True,Vinícius Júnior,,,vinicius-junior,Vinícius,F,145260,868812,BR,Brazil,EUR,963360000,13.0,10.0,,,,,,,,45.0,33.0,6.9,14.0,,6.9,6.8,1.0,,10.0,4.0,,,1.0,1.0,,1.0,,,8.0,3.0,4.0,,2.0,1.0,,,,,home,substitute,,,
11,11,F,True,Rodrygo,,,rodrygo,Rodrygo,F,59539,910536,BR,Brazil,EUR,978998400,14.0,12.0,,,,,,,,45.0,24.0,7.2,6.0,2.0,7.2,7.1,3.0,2.0,2.0,2.0,,,,,,,,,3.0,2.0,1.0,,1.0,,,,1.0,,home,substitute,,,
27,27,M,True,Nico Paz,,,nico-paz,N. Paz,M,3527,1171451,AR,Argentina,EUR,1094601600,10.0,10.0,,,,,,,,26.0,15.0,6.5,3.0,,6.5,6.4,,,3.0,2.0,,1.0,,,,,,,3.0,1.0,1.0,,,,,,,,home,substitute,,,
26,26,G,True,Diego Piñeiro,,,diego-pineiro,D. Piñeiro,G,295,1143588,ES,Spain,EUR,1076630400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,
1,1,G,True,Thibaut Courtois,,,thibaut-courtois,T. Courtois,G,23985,70988,BE,Belgium,EUR,705542400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,
16,16,D,True,Álvaro Odriozola,,,alvaro-odriozola,Á. Odriozola,D,4003,353250,ES,Spain,EUR,818899200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,
24,24,M,True,Arda Güler,Arda Guler,,arda-guler,A. Güler,M,17917,1091116,TR,Turkey,EUR,1109289600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,
57,57,G,False,Marco Sportiello,,,marco-sportiello,M. Sportiello,G,393,176301,IT,Italy,EUR,705456000,18.0,16.0,4.0,2.0,2.0,2.0,2.0,,,70.0,26.0,6.1,2.0,,6.1,5.7,,,,,,,,,,,,,,,,,,,,,,,away,main,1.0,,
2,2,D,False,Davide Calabria,,,davide-calabria,D. Calabria,D,2124,318607,IT,Italy,EUR,849830400,41.0,35.0,4.0,2.0,3.0,,,,,70.0,53.0,6.8,7.0,1.0,6.8,6.7,,,1.0,3.0,,3.0,,,,,,True,,,,,,,1.0,,1.0,,away,main,,,
82,82,D,False,Jan-Carlo Simic,Jan-Carlo Simic,,jan-carlo-simic,J. Simic,D,339,1214992,RS,Serbia,EUR,1114992000,23.0,21.0,4.0,2.0,4.0,,,,,70.0,29.0,6.5,2.0,,6.5,6.5,,,2.0,1.0,,1.0,,1.0,,,1.0,,,,,,,,,1.0,,,away,main,,,
