customId,winnerCode,coverage,hasGlobalHighlights,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,roundInfo.round,time.injuryTime1,time.injuryTime2,awayRedCards,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,detailId,homeScore.penalties,awayScore.penalties,hasEventPlayerStatistics,hasEventPlayerHeatMap
jYcsGHt,1.0,,True,False,10507649,1658793600,argentina-colombia,False,"Copa América, Women, Knockout Stage",copa-america-women-knockout-stage,South America,south-america,Football,football,1,1470,south-america,"Copa America, Women",copa-america-women,,,South America,south-america,Football,football,1,1470,south-america,6941,18681,False,False,False,False,0,101312,100,Ended,finished,Colombia,colombia,Colombia,F,Football,football,1,9074,COL,False,True,0,46631,CO,Colombia,[],#ffd808,#000066,#000066,Argentina,argentina,Argentina,F,Football,football,1,8813,ARG,False,True,0,7409,AR,Argentina,[],#66ccff,#ffffff,#ffffff,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,['cardsCode'],1658819540,2.0,,,1.0,Semifinal,semifinal,2.0,,,,,
jYcsLAEc,1.0,,True,False,10521331,1659139200,argentina-paraguay,False,"Copa América, Women, Knockout Stage",copa-america-women-knockout-stage,South America,south-america,Football,football,1,1470,south-america,"Copa America, Women",copa-america-women,,,South America,south-america,Football,football,1,1470,south-america,6941,18681,False,False,False,False,0,101312,100,Ended,finished,Argentina,argentina,Argentina,F,Football,football,1,8813,ARG,False,True,0,7409,AR,Argentina,[],#66ccff,#ffffff,#ffffff,Paraguay,paraguay,Paraguay,F,Football,football,1,1480,PAR,,True,0,323786,PY,Paraguay,[],#ff0000,#045ca3,#045ca3,3.0,3.0,0.0,3.0,3.0,1.0,1.0,1.0,0.0,1.0,,['cardsCode'],1659163764,,,,,,,,,,,,
jYcsmYc,1.0,,True,False,10735537,1665077400,canada-argentina,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,100,Ended,finished,Canada,canada,Canada,F,Football,football,1,6637,CAN,False,True,0,7412,CA,Canada,[],#ff0000,#ffffff,#ffffff,Argentina,argentina,Argentina,F,Football,football,1,8813,ARG,False,True,0,7409,AR,Argentina,[],#66ccff,#ffffff,#ffffff,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1665080940.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2']",1665083888,1.0,,,1.0,,,,1.0,,,,
jYcsBPi,3.0,,False,False,10735545,1665325800,argentina-poland,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,100,Ended,finished,Argentina,argentina,Argentina,F,Football,football,1,8813,ARG,False,True,0,7409,AR,Argentina,[],#66ccff,#ffffff,#ffffff,Poland,poland,Poland,F,Football,football,1,3243,POL,,True,0,22026,PL,Poland,[],#ffffff,#ff0000,#ff0000,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,1665337260.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2', 'awayScore.normaltime']",1665340133,1.0,,,,,,,1.0,,,,
jYcswXo,1.0,,False,False,10861570,1668193200,argentina-spain,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,100,Ended,finished,Spain,spain,Spain,F,Football,football,1,16409,ESP,False,True,0,37371,ES,Spain,[],#cc0000,#ffffff,#ffffff,Argentina,argentina,Argentina,F,Football,football,1,8813,ARG,False,True,0,7409,AR,Argentina,[],#66ccff,#ffffff,#ffffff,7.0,7.0,4.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,1668200152.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1668200154,1.0,1.0,6.0,,,,,1.0,,,,
jYcsGKu,1.0,,False,False,11059712,1676615400,argentina-chile,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,100,Ended,finished,Argentina,argentina,Argentina,F,Football,football,1,8813,ARG,False,True,0,7409,AR,Argentina,[],#66ccff,#ffffff,#ffffff,Chile,chile,Chile,F,Football,football,1,3720,CHI,,True,0,49281,CL,Chile,[],#ff0000,#3300cc,#3300cc,4.0,4.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1676622474.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1676622477,1.0,,5.0,,,,,1.0,,,,
jYcsuYc,2.0,,False,False,10943602,1676872800,new-zealand-argentina,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,100,Ended,finished,New Zealand,new-zealand,New Zealand,F,Football,football,1,3171,NZL,False,True,0,7419,NZ,New Zealand,[],#ffffff,#000000,#000000,Argentina,argentina,Argentina,F,Football,football,1,8813,ARG,False,True,0,7409,AR,Argentina,[],#66ccff,#ffffff,#ffffff,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,1676876580.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2', 'awayScore.normaltime']",1676879759,1.0,,,,,,,1.0,,,,
jYcsuYc,2.0,,False,False,10943603,1677132000,new-zealand-argentina,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,100,Ended,finished,New Zealand,new-zealand,New Zealand,F,Football,football,1,3171,NZL,False,True,0,7419,NZ,New Zealand,[],#ffffff,#000000,#000000,Argentina,argentina,Argentina,F,Football,football,1,8813,ARG,False,True,0,7409,AR,Argentina,[],#66ccff,#ffffff,#ffffff,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1677138907.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1677138911,1.0,1.0,8.0,,,,,1.0,,,,
jYcsEucc,2.0,,False,False,11182412,1680822000,argentina-venezuela,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,120,AP,finished,Argentina,argentina,Argentina,F,Football,football,1,8813,ARG,False,True,0,7409,AR,Argentina,[],#66ccff,#ffffff,#ffffff,Venezuela,venezuela,Venezuela,F,Football,football,1,2328,VEN,,True,0,255979,VE,Venezuela,[],#aa0f39,#ffffff,#ffffff,7.0,1.0,0.0,1.0,1.0,8.0,1.0,1.0,0.0,1.0,1680831082.0,"['homeScore.normaltime', 'awayScore.normaltime']",1680831647,1.0,,,,,,,1.0,6.0,7.0,,
jYcsEucc,1.0,,False,False,11182774,1681066800,argentina-venezuela,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,100,Ended,finished,Argentina,argentina,Argentina,F,Football,football,1,8813,ARG,False,True,0,7409,AR,Argentina,[],#66ccff,#ffffff,#ffffff,Venezuela,venezuela,Venezuela,F,Football,football,1,2328,VEN,,True,0,255979,VE,Venezuela,[],#aa0f39,#ffffff,#ffffff,3.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1681074203.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681074205,1.0,2.0,4.0,,,,,1.0,,,,
jYcsMAEc,1.0,,True,False,11331925,1689377400,argentina-peru,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,100,Ended,finished,Argentina,argentina,Argentina,F,Football,football,1,8813,ARG,False,True,0,7409,AR,Argentina,[],#66ccff,#ffffff,#ffffff,Peru,peru,Peru,F,Football,football,1,1115,PER,,True,0,323787,PE,Peru,[],#ffffff,#cc0000,#cc0000,4.0,4.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1689385427.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1689385430,1.0,,,,,,,1.0,,,True,True
jYcsAPi,1.0,,True,False,10833999,1690178400,argentina-italy,False,"World Championship, Women, Group G",world-championship-women-group-g,World,world,Football,football,1,1468,international,World Championship Women,world-championship-women,#3099ff,#fcc831,World,world,Football,football,1,1468,international,89506,290,True,False,False,False,617,109143,100,Ended,finished,Italy,italy,Italy,F,Football,football,1,17409,ITA,False,True,0,22025,IT,Italy,[],#0066ff,#ffffff,#ffffff,Argentina,argentina,Argentina,F,Football,football,1,8813,ARG,False,True,0,7409,AR,Argentina,[],#66ccff,#ffffff,#ffffff,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1690185436.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1690185440,1.0,4.0,7.0,,,,,1.0,,,True,True
