name,home,away,compareCode,groupName
Ball possession,72%,28%,1,Possession
Total shots,13,7,1,Shots
Shots on target,3,4,2,Shots
Shots off target,6,2,1,Shots
Blocked shots,4,1,1,Shots
Corner kicks,2,0,1,TVData
Fouls,7,15,2,TVData
Yellow cards,2,5,2,TVData
Free kicks,14,7,1,TVData
Throw-ins,24,15,1,TVData
Goal kicks,4,13,2,TVData
Counter attacks,0,1,2,Shots extra
Counter attack shots,0,1,2,Shots extra
Shots inside box,8,2,1,Shots extra
Shots outside box,5,5,3,Shots extra
Goalkeeper saves,3,3,3,Shots extra
Passes,696,285,1,Passes
Accurate passes,612 (88%),188 (66%),1,Passes
Long balls,38/51 (75%),15/60 (25%),1,Passes
Crosses,4/36 (11%),0/2 (0%),1,Passes
Dribbles,16/25 (64%),5/13 (38%),1,Duels
Possession lost,157,137,1,Duels
Duels won,55,42,1,Duels
Aerials won,13,18,2,Duels
Tackles,12,12,3,Defending
Interceptions,5,11,2,Defending
Clearances,5,30,2,Defending
Ball possession,65%,35%,1,Possession
Total shots,0,2,2,Shots
Shots on target,0,0,3,Shots
Shots off target,0,2,2,Shots
Blocked shots,0,0,3,Shots
Corner kicks,0,0,3,TVData
Yellow cards,1,2,2,TVData
Free kicks,7,4,1,TVData
Throw-ins,10,7,1,TVData
Goal kicks,2,3,2,TVData
Counter attacks,0,0,3,Shots extra
Counter attack shots,0,0,3,Shots extra
Shots inside box,0,1,2,Shots extra
Shots outside box,0,1,2,Shots extra
Goalkeeper saves,0,0,3,Shots extra
Passes,331,184,1,Passes
Accurate passes,289 (87%),134 (73%),1,Passes
Long balls,15/25 (60%),9/26 (35%),1,Passes
Crosses,1/10 (10%),0/2 (0%),1,Passes
Dribbles,5/10 (50%),0/6 (0%),1,Duels
Possession lost,75,74,1,Duels
Duels won,28,19,1,Duels
Aerials won,6,8,2,Duels
Tackles,10,7,1,Defending
Interceptions,3,7,2,Defending
Clearances,4,10,2,Defending
Ball possession,80%,20%,1,Possession
Total shots,13,5,1,Shots
Shots on target,3,4,2,Shots
Shots off target,6,0,1,Shots
Blocked shots,4,1,1,Shots
Corner kicks,2,0,1,TVData
Yellow cards,1,3,2,TVData
Free kicks,7,3,1,TVData
Throw-ins,14,8,1,TVData
Goal kicks,2,10,2,TVData
Counter attacks,0,1,2,Shots extra
Counter attack shots,0,1,2,Shots extra
Shots inside box,8,1,1,Shots extra
Shots outside box,5,4,1,Shots extra
Goalkeeper saves,3,3,3,Shots extra
Passes,365,101,1,Passes
Accurate passes,323 (88%),54 (53%),2,Passes
Long balls,23/26 (88%),6/34 (18%),1,Passes
Crosses,3/26 (12%),0/0 (0%),1,Passes
Dribbles,11/15 (73%),5/7 (71%),1,Duels
Possession lost,82,63,1,Duels
Duels won,27,23,1,Duels
Aerials won,7,10,2,Duels
Tackles,2,5,2,Defending
Interceptions,2,4,2,Defending
Clearances,1,20,2,Defending
