name,home,away,compareCode,groupName
Ball possession,56%,44%,1,Possession
Total shots,17,19,2,Shots
Shots on target,2,5,2,Shots
Shots off target,7,9,2,Shots
Blocked shots,8,5,1,Shots
Corner kicks,6,9,2,TVData
Offsides,2,3,2,TVData
Fouls,7,9,2,TVData
Yellow cards,1,3,2,TVData
Free kicks,9,6,1,TVData
Throw-ins,21,18,1,TVData
Goal kicks,11,13,2,TVData
Big chances,0,5,2,Shots extra
Big chances missed,0,4,2,Shots extra
Shots inside box,13,13,3,Shots extra
Shots outside box,4,6,2,Shots extra
Goalkeeper saves,3,2,1,Shots extra
Passes,455,361,1,Passes
Accurate passes,365 (80%),275 (76%),1,Passes
Long balls,31/58 (53%),21/46 (46%),1,Passes
Crosses,6/21 (29%),5/18 (28%),1,Passes
Dribbles,4/10 (40%),10/21 (48%),2,Duels
Possession lost,137,139,2,Duels
Duels won,57,44,1,Duels
Aerials won,27,16,1,Duels
Tackles,17,12,1,Defending
Interceptions,12,12,3,Defending
Clearances,16,15,1,Defending
Ball possession,53%,47%,1,Possession
Total shots,8,6,1,Shots
Shots on target,1,2,2,Shots
Shots off target,4,3,1,Shots
Blocked shots,3,1,1,Shots
Corner kicks,2,4,2,TVData
Offsides,1,2,2,TVData
Yellow cards,1,1,3,TVData
Free kicks,5,3,1,TVData
Throw-ins,9,11,2,TVData
Goal kicks,3,7,2,TVData
Big chances,0,0,3,Shots extra
Big chances missed,0,0,3,Shots extra
Shots inside box,5,4,1,Shots extra
Shots outside box,3,2,1,Shots extra
Goalkeeper saves,1,1,3,Shots extra
Passes,192,174,1,Passes
Accurate passes,154 (80%),127 (73%),1,Passes
Long balls,11/25 (44%),13/26 (50%),2,Passes
Crosses,1/8 (13%),2/8 (25%),2,Passes
Dribbles,2/5 (40%),4/7 (57%),2,Duels
Possession lost,62,71,2,Duels
Duels won,20,24,2,Duels
Aerials won,9,9,3,Duels
Tackles,4,8,2,Defending
Interceptions,9,2,1,Defending
Clearances,11,5,1,Defending
Ball possession,58%,42%,1,Possession
Total shots,9,13,2,Shots
Shots on target,1,3,2,Shots
Shots off target,3,6,2,Shots
Blocked shots,5,4,1,Shots
Corner kicks,4,5,2,TVData
Offsides,1,1,3,TVData
Yellow cards,0,2,2,TVData
Free kicks,4,3,1,TVData
Throw-ins,12,7,1,TVData
Goal kicks,8,6,1,TVData
Big chances,0,5,2,Shots extra
Big chances missed,0,4,2,Shots extra
Shots inside box,8,9,2,Shots extra
Shots outside box,1,4,2,Shots extra
Goalkeeper saves,2,1,1,Shots extra
Passes,263,187,1,Passes
Accurate passes,211 (80%),148 (79%),1,Passes
Long balls,20/33 (61%),8/20 (40%),1,Passes
Crosses,5/13 (38%),3/10 (30%),1,Passes
Dribbles,2/5 (40%),6/14 (43%),2,Duels
Possession lost,75,68,1,Duels
Duels won,37,20,1,Duels
Aerials won,18,7,1,Duels
Tackles,13,4,1,Defending
Interceptions,3,10,2,Defending
Clearances,5,10,2,Defending
