customId,winnerCode,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.userCount,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,roundInfo.name,roundInfo.cupRoundType,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,time.injuryTime1,tournament.category.alpha2,tournament.uniqueTournament.category.alpha2,awayRedCards,homeRedCards,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,aggregatedWinnerCode,coverage,choice_1,choice_X,choice_2
QzrsfaV,1,True,,,,False,11000247,1688328000,patronato-csd-flandria,False,"Primera Nacional, Group A",primera-nacional-group-a,Argentina,argentina,Football,football,1,48,argentina,Primera Nacional,primera-nacional,Argentina,argentina,Football,football,1,48,argentina,0,False,False,703,False,False,0,37309,23.0,,,100,Ended,finished,Patronato,patronato,Patronato,Football,football,1,0,CAP,False,0,43741,AR,Argentina,[],#52b030,#52b030,#ffffff,CSD Flandria,csd-flandria,Flandria,Football,football,1,0,CSD,,0,112505,AR,Argentina,[],#52b030,#52b030,#ffffff,3.0,3.0,2.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,4.0,1688334889.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688334893,3.0,AR,AR,,,,,,,1.67,3.6,5.5
pUvsMpgc,1,True,,,,False,11000251,1688328600,defensores-de-belgrano-agropecuario-argentino,False,"Primera Nacional, Group A",primera-nacional-group-a,Argentina,argentina,Football,football,1,48,argentina,Primera Nacional,primera-nacional,Argentina,argentina,Football,football,1,48,argentina,0,False,False,703,False,False,0,37309,23.0,,,100,Ended,finished,Defensores de Belgrano,defensores-de-belgrano,Defensores,Football,football,1,0,DDB,,0,52215,AR,Argentina,[],#52b030,#52b030,#ffffff,Agropecuario Argentino,agropecuario-argentino,Agropecuario,Football,football,1,0,CAA,,0,265787,AR,Argentina,[],#52b030,#52b030,#ffffff,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1688335609.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688335612,2.0,AR,AR,,1.0,,,,,2.5,3.0,3.1
JLoslrKb,1,True,,,,False,11000253,1688429400,club-atletico-all-boys-club-atletico-san-telmo,False,"Primera Nacional, Group A",primera-nacional-group-a,Argentina,argentina,Football,football,1,48,argentina,Primera Nacional,primera-nacional,Argentina,argentina,Football,football,1,48,argentina,0,False,False,703,False,False,0,37309,23.0,,,100,Ended,finished,Club Atlético All Boys,club-atletico-all-boys,Club Atlético All Boys,Football,football,1,0,ABO,,0,36834,AR,Argentina,[],#52b030,#52b030,#ffffff,Club Atletico San Telmo,club-atletico-san-telmo,San Telmo,Football,football,1,0,STE,,0,213361,AR,Argentina,[],#52b030,#52b030,#ffffff,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1688436374.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1688436377,,AR,AR,,,,,,,2.8,3.1,2.63
oobsRkKb,1,True,,,,False,10997177,1688321400,club-atletico-chacarita-juniors-deportivo-maipu,False,"Primera Nacional, Group B",primera-nacional-group-b,Argentina,argentina,Football,football,1,48,argentina,Primera Nacional,primera-nacional,Argentina,argentina,Football,football,1,48,argentina,0,False,False,703,False,False,0,37310,20.0,,,100,Ended,finished,Club Atlético Chacarita Juniors,club-atletico-chacarita-juniors,Chacarita Jrs.,Football,football,1,0,CAC,,0,3214,AR,Argentina,[],#52b030,#52b030,#ffffff,Deportivo Maipú,deportivo-maipu,Deportivo Maipú,Football,football,1,0,MAi,,0,213042,AR,Argentina,[],#52b030,#52b030,#ffffff,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,5.0,1688328210.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688328212,1.0,AR,AR,,,,,,,2.15,3.1,3.75
LLosBebc,1,True,,,,False,10997178,1688322600,aldosivi-chaco-for-ever,False,"Primera Nacional, Group B",primera-nacional-group-b,Argentina,argentina,Football,football,1,48,argentina,Primera Nacional,primera-nacional,Argentina,argentina,Football,football,1,48,argentina,0,False,False,703,False,False,0,37310,20.0,,,100,Ended,finished,Chaco For Ever,chaco-for-ever,Chaco For Ever,Football,football,1,0,CHA,,0,252726,AR,Argentina,[],#52b030,#52b030,#ffffff,Aldosivi,aldosivi,Aldosivi,Football,football,1,0,CAA,,0,36836,AR,Argentina,[],#52b030,#52b030,#ffffff,3.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,,1688327160.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2']",1688330412,,AR,AR,,,,,,,2.3,3.0,3.6
RLosAicc,1,True,,,,False,10997184,1688335800,independiente-rivadavia-ca-mitre,False,"Primera Nacional, Group B",primera-nacional-group-b,Argentina,argentina,Football,football,1,48,argentina,Primera Nacional,primera-nacional,Argentina,argentina,Football,football,1,48,argentina,0,False,False,703,False,False,0,37310,20.0,,,100,Ended,finished,CA Mitre,ca-mitre,Mitre,Football,football,1,0,EST,,0,255425,AR,Argentina,[],#52b030,#52b030,#ffffff,Independiente Rivadavia,independiente-rivadavia,Ind. Rivadavia,Football,football,1,0,IRM,,0,36842,AR,Argentina,[],#52b030,#52b030,#ffffff,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,5.0,1688342857.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1688342862,1.0,AR,AR,,,,,,,2.5,3.1,3.2
hmMsyUAb,1,True,,,,False,10997181,1688407200,estudiantes-de-buenos-aires-deportivo-riestra,False,"Primera Nacional, Group B",primera-nacional-group-b,Argentina,argentina,Football,football,1,48,argentina,Primera Nacional,primera-nacional,Argentina,argentina,Football,football,1,48,argentina,0,False,False,703,False,False,0,37310,20.0,,,100,Ended,finished,Deportivo Riestra,deportivo-riestra,Dep. Riestra,Football,football,1,0,RIE,,0,189723,AR,Argentina,[],#52b030,#52b030,#ffffff,Estudiantes de Buenos Aires,estudiantes-de-buenos-aires,Estudiantes B.A.,Football,football,1,0,EST,,0,93107,AR,Argentina,[],#52b030,#52b030,#ffffff,2.0,2.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,6.0,1688414765.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688414768,3.0,AR,AR,,,,,,,2.05,3.1,4.0
ZAwsvRNb,3,True,,,,False,10997199,1688425200,club-atletico-atlanta-deportivo-madryn,False,"Primera Nacional, Group B",primera-nacional-group-b,Argentina,argentina,Football,football,1,48,argentina,Primera Nacional,primera-nacional,Argentina,argentina,Football,football,1,48,argentina,0,False,False,703,False,False,0,37310,20.0,,,100,Ended,finished,Club Atlético Atlanta,club-atletico-atlanta,Atlanta,Football,football,1,0,CAA,,0,53799,AR,Argentina,[],#52b030,#52b030,#ffffff,Deportivo Madryn,deportivo-madryn,Deportivo Madryn,Football,football,1,0,DMA,,0,222120,AR,Argentina,[],#52b030,#52b030,#ffffff,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,1688432586.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688432588,4.0,AR,AR,,,,,,,2.2,2.88,3.8
oIJcsPvMc,1,False,,,,False,11114199,1688324400,pouso-alegre-amazonas-fc,False,Brasileiro Serie C,brasileiro-serie-c,Brazil,brazil,Football,football,1,13,brazil,Brasileiro Série C,brasileiro-serie-c,Brazil,brazil,Football,football,1,13,brazil,0,False,False,1281,False,False,0,27213,11.0,,,100,Ended,finished,Amazonas FC,amazonas-fc,Amazonas,Football,football,1,0,AMA,False,0,336664,BR,Brazil,[],#52b030,#52b030,#ffffff,Pouso Alegre,pouso-alegre,Pouso Alegre,Football,football,1,0,POU,False,0,343540,BR,Brazil,[],#52b030,#52b030,#ffffff,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,6.0,1688331433.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688331437,6.0,BR,BR,,1.0,,,,,1.8,3.25,4.2
KOsJRp,3,False,,,,False,11114194,1688326200,operario-pr-figueirense,False,Brasileiro Serie C,brasileiro-serie-c,Brazil,brazil,Football,football,1,13,brazil,Brasileiro Série C,brasileiro-serie-c,Brazil,brazil,Football,football,1,13,brazil,0,False,False,1281,False,False,0,27213,11.0,,,100,Ended,finished,Figueirense,figueirense,Figueirense,Football,football,1,0,FIG,False,0,1985,BR,Brazil,[],#52b030,#52b030,#ffffff,Operário-PR,operario-pr,Operário-PR,Football,football,1,0,FER,False,0,39634,BR,Brazil,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1688330100.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2']",1688333045,,BR,BR,,,,,,,2.05,3.0,3.6
