customId,winnerCode,aggregatedWinnerCode,hasGlobalHighlights,hasEventPlayerStatistics,detailId,crowdsourcingDataDisplayEnabled,id,previousLegEventId,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport,tournament.category.id,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,roundInfo.name,roundInfo.slug,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,homeScore.extra2,homeScore.overtime,homeScore.penalties,homeScore.aggregated,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,awayScore.extra2,awayScore.overtime,awayScore.penalties,awayScore.aggregated,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,time.injuryTime1,time.injuryTime2
pYbsnic,1,1.0,True,False,4,False,11363486,11363430.0,1689878700,kf-shkendija-haverfordwest-county-afc,False,"UEFA Europa Conference League, Qualification",uefa-europa-conference-league-qualification,Europe,europe,"{'name': 'Football', 'slug': 'football', 'id': 1}",1465,europe,UEFA Europa Conference League,uefa-europa-conference-league,#04be15,"{'name': 'Europe', 'slug': 'europe', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 1465, 'flag': 'europe'}",247243,17015,True,False,False,False,513,93604,1,Qualification round 1,qualification-round-1,120,AP,finished,Haverfordwest County AFC,haverfordwest-county-afc,Haverfordwest,M,Football,football,1,2062,HFW,False,0,4915,[],#0000ff,#ffffff,#ffffff,KF Shkëndija,kf-shkendija,Shkëndija,M,Football,football,1,4503,SHK,False,0,5413,[],#ff0000,#000000,#000000,5,1,0,1,1,0.0,0.0,4.0,1.0,2,0,0,0,0,0.0,0.0,2.0,1.0,1689886809,"['homeScore.current', 'homeScore.display', 'homeScore.aggregated']",1689888778,,
pYbsnic,1,,False,False,4,False,11363430,,1689271200,kf-shkendija-haverfordwest-county-afc,False,"UEFA Europa Conference League, Qualification",uefa-europa-conference-league-qualification,Europe,europe,"{'name': 'Football', 'slug': 'football', 'id': 1}",1465,europe,UEFA Europa Conference League,uefa-europa-conference-league,#04be15,"{'name': 'Europe', 'slug': 'europe', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 1465, 'flag': 'europe'}",247243,17015,True,False,False,False,513,93604,1,Qualification round 1,qualification-round-1,100,Ended,finished,KF Shkëndija,kf-shkendija,Shkëndija,M,Football,football,1,4503,SHK,False,0,5413,[],#ff0000,#000000,#000000,Haverfordwest County AFC,haverfordwest-county-afc,Haverfordwest,M,Football,football,1,2062,HFW,False,0,4915,[],#0000ff,#ffffff,#ffffff,1,1,0,1,1,,,,,0,0,0,0,0,,,,,1689278031,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1689278033,4.0,4.0
