shirtNumber,jerseyNumber,position,substitute,captain,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.totalClearance,statistics.saves,statistics.punches,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.expectedGoals,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.goalsPrevented,statistics.totalCross,statistics.accurateCross,statistics.aerialLost,statistics.aerialWon,statistics.duelLost,statistics.duelWon,statistics.challengeLost,statistics.dispossessed,statistics.totalContest,statistics.wonContest,statistics.bigChanceCreated,statistics.shotOffTarget,statistics.interceptionWon,statistics.totalTackle,statistics.wasFouled,statistics.fouls,statistics.keyPass,statistics.expectedAssists,statistics.outfielderBlock,statistics.onTargetScoringAttempt,statistics.blockedScoringAttempt,statistics.bigChanceMissed,statistics.totalOffside,team,player_type,statistics.goodHighClaim,statistics.savedShotsFromInsideTheBox,statistics.goalAssist,statistics.goals
24,24,D,True,,Helibelton Palacios,,,helibelton-palacios,Helibelton Palacios,D,392,329597,CO,Colombia,EUR,739584000,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,
29,29,D,True,,Reynaldo,,,reynaldo,Reynaldo,D,106,877470,BR,Brazil,EUR,852249600,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,
14,14,D,True,,Kaiki,Kaiki,,kaiki,Kaiki,D,271,1112484,BR,Brazil,EUR,1047081600,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,
15,15,M,True,,Fernando Henrique,Fernando Henrique,,fernando-henrique,F. Henrique,M,109,1067634,BR,Brazil,EUR,991353600,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,
16,16,M,True,,Lucas Silva,,,lucas-silva,L. Silva,M,432,245159,BR,Brazil,EUR,729820800,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,
80,80,F,True,,Robert,Robert,,robert,Robert,F,26,1500254,BR,Brazil,EUR,1115942400,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,
23,23,G,False,True,Tadeu,,,tadeu,Tadeu,G,330,552172,BR,Brazil,EUR,697161600,32.0,16.0,29.0,13.0,2.0,1.0,1.0,90.0,41.0,7.2,16.0,0.0,7.2,7.3,0.2591,,,,,,,,,,,,,,,,,,,,,,,,away,main,2.0,1.0,,
2,2,D,False,,Maguinho,,,maguinho,Maguinho,D,116,871209,BR,Brazil,EUR,694656000,18.0,13.0,1.0,,3.0,,,90.0,33.0,7.3,7.0,0.0,7.3,7.3,,,,2.0,2.0,4.0,4.0,,,,,,,1.0,2.0,,2.0,,0.00937271,2.0,,,,,away,main,,,,
3,3,D,False,,Lucas Halter,,,lucas-halter,L. Halter,D,171,905450,BR,Brazil,EUR,957225600,20.0,16.0,5.0,2.0,11.0,,,90.0,35.0,7.1,4.0,0.0,7.1,7.2,,,,,1.0,2.0,2.0,1.0,,,,,,1.0,1.0,,1.0,,,,,,,,away,main,,,,
4,4,D,False,,Sidimar,,,sidimar,Sidimar,D,34,312072,BR,Brazil,EUR,710640000,26.0,20.0,3.0,2.0,13.0,,,90.0,45.0,7.5,6.0,0.0,7.5,7.4,,,,1.0,5.0,3.0,7.0,,,,,,,1.0,2.0,,2.0,,,,,,,,away,main,,,,
6,6,D,False,,Sander,,,sander,Sander,D,148,795014,BR,Brazil,EUR,654912000,31.0,25.0,3.0,1.0,4.0,,,90.0,78.0,7.3,18.0,0.0258,7.3,7.4,,4.0,1.0,1.0,2.0,8.0,6.0,1.0,3.0,3.0,2.0,,1.0,3.0,1.0,1.0,2.0,1.0,0.104057,1.0,,,,,away,main,,,1.0,
12,12,M,False,,Willian Oliveira,,,willian-oliveira,Willian Oliveira,M,82,295167,BR,Brazil,EUR,737510400,22.0,15.0,6.0,5.0,9.0,,,90.0,43.0,7.1,11.0,0.0074,7.1,7.2,,,,1.0,3.0,4.0,5.0,1.0,1.0,,,,1.0,2.0,1.0,1.0,1.0,1.0,0.0117211,2.0,,,,,away,main,,,,
40,40,M,False,,Everton Morelli,,,everton-morelli,E. Morelli,M,43,928137,BR,Brazil,EUR,878601600,25.0,19.0,2.0,1.0,4.0,,,90.0,42.0,6.9,10.0,0.0096,6.9,7.0,,,,1.0,1.0,7.0,5.0,,2.0,1.0,,,,1.0,2.0,2.0,3.0,1.0,0.0191261,1.0,1.0,,,,away,main,,,,
70,70,M,False,,Anderson Oliveira,,,anderson-oliveira,Anderson Oliveira,M,70,931538,BR,Brazil,EUR,900547200,16.0,11.0,,,,,,57.0,26.0,6.3,11.0,0.0,6.3,6.5,,,,1.0,1.0,6.0,4.0,1.0,2.0,2.0,1.0,,,,2.0,,1.0,,,,,,,1.0,away,main,,,,
60,60,M,False,,Guilherme,,,guilherme,Guilherme,M,280,109610,BR,Brazil,EUR,674784000,11.0,8.0,,,,,,57.0,21.0,6.5,6.0,0.1849,6.5,6.7,,1.0,,1.0,2.0,5.0,3.0,1.0,1.0,1.0,,,2.0,,1.0,,1.0,,0.0078277,1.0,,,,,away,main,,,,
7,7,M,False,,Vinícius,,,vinicius,Vinícius,M,148,124807,BR,Brazil,EUR,744336000,19.0,11.0,3.0,1.0,4.0,,,82.0,39.0,6.0,18.0,0.025,6.0,6.3,,4.0,,2.0,1.0,9.0,3.0,3.0,1.0,2.0,,,,,,2.0,2.0,1.0,0.0235421,,,1.0,,,away,main,,,,
45,45,F,False,,João Magno,,,joao-magno,João Magno,F,53,945307,BR,Brazil,EUR,855964800,14.0,7.0,,,1.0,,,75.0,27.0,7.3,12.0,0.0668,7.3,7.3,,1.0,1.0,8.0,5.0,14.0,8.0,2.0,1.0,1.0,,,,,2.0,1.0,2.0,1.0,0.103999,,1.0,,,,away,main,,,,1.0
8,8,M,True,,Higor Meritão,,,higor-meritao,H. Meritão,M,72,973845,BR,Brazil,EUR,772329600,9.0,7.0,1.0,,1.0,,,33.0,16.0,6.7,4.0,0.0,6.7,6.6,,,,1.0,,1.0,2.0,,,,,,,,2.0,,,,0.00651426,,,,,,away,substitute,,,,
