name,home,away,compareCode,groupName
Ball possession,42%,58%,2,Possession
Total shots,17,19,2,Shots
Shots on target,8,7,1,Shots
Shots off target,4,8,2,Shots
Blocked shots,5,4,1,Shots
Corner kicks,7,10,2,TVData
Fouls,9,16,2,TVData
Yellow cards,2,5,2,TVData
Red cards,2,0,1,TVData
Free kicks,15,9,1,TVData
Throw-ins,19,31,2,TVData
Goal kicks,12,5,1,TVData
Big chances,3,1,1,Shots extra
Big chances missed,1,0,1,Shots extra
Shots inside box,13,11,1,Shots extra
Shots outside box,4,8,2,Shots extra
Goalkeeper saves,6,3,1,Shots extra
Passes,308,429,2,Passes
Accurate passes,233 (76%),355 (83%),2,Passes
Long balls,35/65 (54%),48/75 (64%),2,Passes
Crosses,8/16 (50%),4/21 (19%),1,Passes
Dribbles,8/13 (62%),8/18 (44%),1,Duels
Possession lost,111,121,2,Duels
Duels won,60,45,1,Duels
Aerials won,18,16,1,Duels
Tackles,19,14,1,Defending
Interceptions,4,9,2,Defending
Clearances,24,11,1,Defending
Ball possession,48%,52%,2,Possession
Total shots,9,10,2,Shots
Shots on target,4,3,1,Shots
Shots off target,3,4,2,Shots
Blocked shots,2,3,2,Shots
Corner kicks,5,6,2,TVData
Yellow cards,2,2,3,TVData
Red cards,1,0,1,TVData
Free kicks,3,7,2,TVData
Throw-ins,12,17,2,TVData
Goal kicks,3,3,3,TVData
Big chances,1,1,3,Shots extra
Big chances missed,1,0,1,Shots extra
Shots inside box,7,5,1,Shots extra
Shots outside box,2,5,2,Shots extra
Goalkeeper saves,2,3,2,Shots extra
Passes,181,195,2,Passes
Accurate passes,143 (79%),156 (80%),2,Passes
Long balls,21/33 (64%),19/37 (51%),1,Passes
Crosses,5/11 (45%),2/9 (22%),1,Passes
Dribbles,5/9 (56%),4/7 (57%),2,Duels
Possession lost,60,64,2,Duels
Duels won,29,26,1,Duels
Aerials won,11,9,1,Duels
Tackles,10,8,1,Defending
Interceptions,2,7,2,Defending
Clearances,12,7,1,Defending
Ball possession,35%,65%,2,Possession
Total shots,8,9,2,Shots
Shots on target,4,4,3,Shots
Shots off target,1,4,2,Shots
Blocked shots,3,1,1,Shots
Corner kicks,2,4,2,TVData
Yellow cards,0,3,2,TVData
Red cards,1,0,1,TVData
Free kicks,12,2,1,TVData
Throw-ins,7,14,2,TVData
Goal kicks,9,2,1,TVData
Big chances,2,0,1,Shots extra
Big chances missed,0,0,3,Shots extra
Shots inside box,6,6,3,Shots extra
Shots outside box,2,3,2,Shots extra
Goalkeeper saves,4,0,1,Shots extra
Passes,127,234,2,Passes
Accurate passes,90 (71%),199 (85%),1,Passes
Long balls,14/32 (44%),29/38 (76%),2,Passes
Crosses,3/5 (60%),2/12 (17%),1,Passes
Dribbles,3/4 (75%),4/11 (36%),1,Duels
Possession lost,51,57,2,Duels
Duels won,31,19,1,Duels
Aerials won,7,7,3,Duels
Tackles,9,6,1,Defending
Interceptions,2,2,3,Defending
Clearances,12,4,1,Defending
