name,home,away,compareCode,groupName
Ball possession,30%,70%,2,Possession
Total shots,6,13,2,Shots
Shots on target,3,6,2,Shots
Shots off target,2,4,2,Shots
Blocked shots,1,3,2,Shots
Corner kicks,4,5,2,TVData
Offsides,3,1,1,TVData
Fouls,10,5,1,TVData
Yellow cards,1,1,3,TVData
Free kicks,5,10,2,TVData
Throw-ins,12,26,2,TVData
Goal kicks,13,6,1,TVData
Big chances,0,2,2,Shots extra
Big chances missed,0,1,2,Shots extra
Hit woodwork,1,0,1,Shots extra
Shots inside box,4,10,2,Shots extra
Shots outside box,2,3,2,Shots extra
Goalkeeper saves,4,1,1,Shots extra
Passes,279,658,2,Passes
Accurate passes,201 (72%),577 (88%),2,Passes
Long balls,26/60 (43%),35/58 (60%),2,Passes
Crosses,5/13 (38%),4/22 (18%),1,Passes
Dribbles,3/10 (30%),4/11 (36%),2,Duels
Possession lost,121,134,2,Duels
Duels won,31,32,2,Duels
Aerials won,9,9,3,Duels
Tackles,14,9,1,Defending
Interceptions,3,5,2,Defending
Clearances,28,8,1,Defending
Ball possession,33%,67%,2,Possession
Total shots,2,6,2,Shots
Shots on target,1,5,2,Shots
Shots off target,1,1,3,Shots
Blocked shots,0,0,3,Shots
Corner kicks,2,1,1,TVData
Offsides,0,0,3,TVData
Yellow cards,0,1,2,TVData
Free kicks,3,5,2,TVData
Throw-ins,3,12,2,TVData
Goal kicks,5,2,1,TVData
Big chances,0,2,2,Shots extra
Big chances missed,0,1,2,Shots extra
Hit woodwork,0,0,3,Shots extra
Shots inside box,1,5,2,Shots extra
Shots outside box,1,1,3,Shots extra
Goalkeeper saves,3,0,1,Shots extra
Passes,167,343,2,Passes
Accurate passes,131 (78%),308 (90%),2,Passes
Long balls,15/26 (58%),21/31 (68%),2,Passes
Crosses,2/8 (25%),1/7 (14%),1,Passes
Dribbles,0/2 (0%),3/8 (38%),2,Duels
Possession lost,52,59,2,Duels
Duels won,15,15,3,Duels
Aerials won,5,5,3,Duels
Tackles,7,2,1,Defending
Interceptions,0,3,2,Defending
Clearances,12,6,1,Defending
Ball possession,26%,74%,2,Possession
Total shots,4,7,2,Shots
Shots on target,2,1,1,Shots
Shots off target,1,3,2,Shots
Blocked shots,1,3,2,Shots
Corner kicks,2,4,2,TVData
Offsides,3,1,1,TVData
Yellow cards,1,0,1,TVData
Free kicks,2,5,2,TVData
Throw-ins,9,14,2,TVData
Goal kicks,8,4,1,TVData
Big chances,0,0,3,Shots extra
Big chances missed,0,0,3,Shots extra
Hit woodwork,1,0,1,Shots extra
Shots inside box,3,5,2,Shots extra
Shots outside box,1,2,2,Shots extra
Goalkeeper saves,1,1,3,Shots extra
Passes,112,315,2,Passes
Accurate passes,70 (63%),269 (85%),1,Passes
Long balls,11/34 (32%),14/27 (52%),2,Passes
Crosses,3/5 (60%),3/15 (20%),1,Passes
Dribbles,3/8 (38%),1/3 (33%),1,Duels
Possession lost,69,75,2,Duels
Duels won,16,17,2,Duels
Aerials won,4,4,3,Duels
Tackles,7,7,3,Defending
Interceptions,3,2,1,Defending
Clearances,16,2,1,Defending
