averageX,averageY,pointsCount,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_userCount,player_id,team
58.714285714286,72.278571428571,42,Fridolina Rolfö,,,fridolina-rolfo,F. Rolfö,D,719,94339,home
66.017391304348,52.182608695652,23,Stina Blackstenius,,,stina-blackstenius,S. Blackstenius,F,391,287109,home
60.610526315789,45.236842105263,19,Caroline Seger,,,caroline-seger,C. Seger,M,55,28538,home
8.26875,44.959375,32,Zećira Mušović,,,zecira-musovic,Z. Mušović,G,345,287095,home
55.263157894737,37.542105263158,19,Hanna Bennison,,,bennison-hanna,H. Bennison,M,82,982629,home
53.314285714286,84.233333333333,21,Olivia Schough,,,olivia-schough,O. Schough,F,65,68173,home
61.666666666667,26.157777777778,90,Filippa Angeldahl,,,filippa-angeldahl,F. Angeldahl,M,50,1025156,home
59.310227272727,79.204545454545,88,Jonna Andersson,,,jonna-andersson,J. Andersson,D,107,71736,home
52.583333333333,47.35,6,Lina Hurtig,,,lina-hurtig,L. Hurtig,F,202,137434,home
78.66,70.47,10,Rebecka Blomqvist,,,blomqvist-rebecka,R. Blomqvist,F,84,794378,home
50.264754098361,15.498360655738,122,Nathalie Bjorn,,,bjorn-nathalie,N. Bjorn,D,66,953785,home
73.981818181818,42.924675324675,77,Kosovare Asllani,,,kosovare-asllani,K. Asllani,F,554,71731,home
68.63375,15.745,80,Johanna Rytting Kaneryd,,,rytting-kaneryd-johanna,J. R. Kaneryd,M,219,287129,home
41.503333333333,71.382222222222,90,Magdalena Eriksson,,,magdalena-eriksson,M. Eriksson,D,432,94322,home
45.818085106383,38.052127659574,94,Amanda Ilestedt,,,amanda-ilestedt,A. Ilestedt,D,232,94320,home
48.416901408451,59.067605633803,71,Elin Rubensson,,,elin-rubensson,E. Rubensson,M,59,94328,home
38.452941176471,68.870588235294,34,Hildah Magaia,,,hildah-magaia,H. Magaia,M,31,973775,away
31.7,85.247272727273,55,Sibulele Holweni,,,sibulele-holweni,S. Holweni,M,10,985565,away
21.693333333333,41.253333333333,45,Bambanani Mbane,,,bambanani-mbane,B. Mbane,D,21,845414,away
58.648275862069,45.137931034483,29,Thembi Kgatlana,,,thembi-kgatlana,T. Kgatlana,F,83,846090,away
50.433333333333,46.833333333333,33,Linda Motlhalo,,,linda-motlhalo,L. Motlhalo,M,110,845412,away
46.804347826087,40.865217391304,23,Gabriela Salgado,,,gabriela-salgado,G. Salgado,M,7,1115154,away
37.578125,54.696875,32,Nomvula Kgoale,,,nomvula-kgoale,N. Kgoale,M,6,1115153,away
42.051851851852,53.72962962963,54,Kholosa Biyana,,,kholosa-biyana,K. Biyana,M,7,973776,away
39.586363636364,43.40303030303,66,Jermaine Seoposenwe,,,jermaine-seoposenwe,J. Seoposenwe,F,52,130932,away
38.136538461538,14.192307692308,52,Lebogang Ramalepe,,,lebogang-ramalepe,L. Ramalepe,D,11,845403,away
21.962264150943,75.722641509434,53,Bongeka Gamede,,,bongeka-gamede,B. Gamede,D,8,985563,away
37.508955223881,51.191044776119,67,Refiloe Jane,,,refiloe-jane,R. Jane,M,138,244681,away
7.1533333333333,52.426666666667,60,Kaylin Swart,,,swart-kaylin,K. Swart,G,21,973770,away
