name,home,away,compareCode,groupName
Ball possession,46%,54%,2,Possession
Total shots,18,16,1,Shots
Shots on target,6,6,3,Shots
Shots off target,9,4,1,Shots
Blocked shots,3,6,2,Shots
Corner kicks,9,5,1,TVData
Offsides,1,0,1,TVData
Fouls,24,14,1,TVData
Yellow cards,4,1,1,TVData
Free kicks,12,24,2,TVData
Throw-ins,40,45,2,TVData
Goal kicks,11,18,2,TVData
Big chances,2,1,1,Shots extra
Big chances missed,1,0,1,Shots extra
Hit woodwork,1,1,3,Shots extra
Shots inside box,15,9,1,Shots extra
Shots outside box,3,7,2,Shots extra
Goalkeeper saves,6,4,1,Shots extra
Passes,302,359,2,Passes
Accurate passes,138 (46%),211 (59%),2,Passes
Long balls,21/83 (25%),33/101 (33%),2,Passes
Crosses,7/23 (30%),4/19 (21%),1,Passes
Dribbles,6/11 (55%),6/9 (67%),2,Duels
Possession lost,245,250,2,Duels
Duels won,61,72,2,Duels
Aerials won,13,19,2,Duels
Tackles,31,23,1,Defending
Interceptions,9,7,1,Defending
Clearances,19,23,2,Defending
Ball possession,45%,55%,2,Possession
Total shots,3,1,1,Shots
Shots on target,0,0,3,Shots
Shots off target,1,0,1,Shots
Blocked shots,2,1,1,Shots
Corner kicks,4,1,1,TVData
Offsides,1,0,1,TVData
Yellow cards,2,0,1,TVData
Free kicks,6,6,3,TVData
Throw-ins,11,24,2,TVData
Goal kicks,4,7,2,TVData
Big chances,0,0,3,Shots extra
Big chances missed,0,0,3,Shots extra
Hit woodwork,0,0,3,Shots extra
Shots inside box,3,1,1,Shots extra
Shots outside box,0,0,3,Shots extra
Goalkeeper saves,0,0,3,Shots extra
Passes,111,147,2,Passes
Accurate passes,53 (48%),94 (64%),2,Passes
Long balls,8/32 (25%),13/36 (36%),2,Passes
Crosses,1/11 (9%),1/6 (17%),2,Passes
Dribbles,0/4 (0%),1/2 (50%),2,Duels
Possession lost,92,101,2,Duels
Duels won,28,24,1,Duels
Aerials won,5,8,2,Duels
Tackles,17,9,1,Defending
Interceptions,7,2,1,Defending
Clearances,6,5,1,Defending
Ball possession,51%,49%,1,Possession
Total shots,9,7,1,Shots
Shots on target,3,5,2,Shots
Shots off target,5,0,1,Shots
Blocked shots,1,2,2,Shots
Corner kicks,3,3,3,TVData
Offsides,0,0,3,TVData
Yellow cards,1,1,3,TVData
Free kicks,5,13,2,TVData
Throw-ins,16,12,1,TVData
Goal kicks,2,8,2,TVData
Big chances,1,1,3,Shots extra
Big chances missed,1,0,1,Shots extra
Hit woodwork,0,0,3,Shots extra
Shots inside box,6,5,1,Shots extra
Shots outside box,3,2,1,Shots extra
Goalkeeper saves,5,2,1,Shots extra
Passes,125,125,3,Passes
Accurate passes,55 (44%),64 (51%),2,Passes
Long balls,12/36 (33%),11/42 (26%),1,Passes
Crosses,4/10 (40%),2/8 (25%),1,Passes
Dribbles,4/5 (80%),2/4 (50%),1,Duels
Possession lost,95,90,1,Duels
Duels won,24,31,2,Duels
Aerials won,6,7,2,Duels
Tackles,10,9,1,Defending
Interceptions,0,4,2,Defending
Clearances,6,12,2,Defending
Ball possession,45%,55%,2,Possession
Total shots,3,2,1,Shots
Shots on target,2,0,1,Shots
Shots off target,1,2,2,Shots
Blocked shots,0,0,3,Shots
Corner kicks,1,0,1,TVData
Offsides,0,0,3,TVData
Yellow cards,0,0,3,TVData
Free kicks,1,2,2,TVData
Throw-ins,9,3,1,TVData
Goal kicks,2,2,3,TVData
Big chances,1,0,1,Shots extra
Big chances missed,0,0,3,Shots extra
Hit woodwork,1,0,1,Shots extra
Shots inside box,3,1,1,Shots extra
Shots outside box,0,1,2,Shots extra
Goalkeeper saves,0,1,2,Shots extra
Passes,29,36,2,Passes
Accurate passes,14 (48%),22 (61%),2,Passes
Long balls,0/4 (0%),6/14 (43%),2,Passes
Crosses,1/1 (100%),0/0 (0%),1,Passes
Dribbles,0/0 (0%),0/0 (0%),3,Duels
Possession lost,28,28,3,Duels
Duels won,4,4,3,Duels
Aerials won,2,1,1,Duels
Tackles,1,1,3,Defending
Interceptions,1,1,3,Defending
Clearances,1,5,2,Defending
Ball possession,40%,60%,2,Possession
Total shots,3,6,2,Shots
Shots on target,1,1,3,Shots
Shots off target,2,2,3,Shots
Blocked shots,0,3,2,Shots
Corner kicks,1,1,3,TVData
Offsides,0,0,3,TVData
Yellow cards,1,0,1,TVData
Free kicks,0,3,2,TVData
Throw-ins,4,6,2,TVData
Goal kicks,3,1,1,TVData
Big chances,0,0,3,Shots extra
Big chances missed,0,0,3,Shots extra
Hit woodwork,0,1,2,Shots extra
Shots inside box,3,2,1,Shots extra
Shots outside box,0,4,2,Shots extra
Goalkeeper saves,1,1,3,Shots extra
Passes,37,51,2,Passes
Accurate passes,16 (43%),31 (61%),2,Passes
Long balls,1/11 (9%),3/9 (33%),2,Passes
Crosses,1/1 (100%),1/5 (20%),1,Passes
Dribbles,2/2 (100%),3/3 (100%),2,Duels
Possession lost,30,31,2,Duels
Duels won,5,13,2,Duels
Aerials won,0,3,2,Duels
Tackles,3,4,2,Defending
Interceptions,1,0,1,Defending
Clearances,6,1,1,Defending
