customId,winnerCode,hasGlobalHighlights,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,homeTeam.disabled,time.injuryTime1,time.injuryTime2,homeRedCards,coverage,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,aggregatedWinnerCode,previousLegEventId,homeScore.extra1,homeScore.extra2,homeScore.overtime,homeScore.penalties,homeScore.aggregated,awayScore.extra1,awayScore.extra2,awayScore.overtime,awayScore.penalties,awayScore.aggregated,awayRedCards
fhcsmhc,3,True,False,11035276,1682244000,fc-tobol-fk-aktobe,False,Premier League,premier-league,Kazakhstan,kazakhstan,Football,football,1,278,kazakhstan,KZ,Premier League,premier-league,#6c0c17,#dbac00,Kazakhstan,kazakhstan,Football,football,1,278,kazakhstan,KZ,4355,False,True,682,False,False,0,3103,7.0,100,Ended,finished,FC Tobol,fc-tobol,Tobol,M,Football,football,1,6219,TOB,False,0,5362,KZ,Kazakhstan,[],#ffff00,#000000,#000000,FK Aktobe,fk-aktobe,Aktobe,M,Football,football,1,4519,AKT,False,False,0,5355,KZ,Kazakhstan,[],#ffffff,#000000,#000000,2.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1682250953.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1682250955,False,,,,,,,,,,,,,,,,,,,,
fhcsghc,1,False,False,11190916,1682773200,atyrau-fk-aktobe,False,"Kazakhstan Cup, Playoffs",kazakhstan-cup-playoffs,Kazakhstan,kazakhstan,Football,football,1,278,kazakhstan,KZ, Kazakhstan Cup,kazakhstan-cup,#234181,#ac9b2b,Kazakhstan,kazakhstan,Football,football,1,278,kazakhstan,KZ,969,False,False,749,False,False,0,93441,5.0,120,AP,finished,Atyrau,atyrau,Atyrau,M,Football,football,1,1491,ATY,False,0,5356,KZ,Kazakhstan,[],#ffffff,#008200,#008200,FK Aktobe,fk-aktobe,Aktobe,M,Football,football,1,4519,AKT,False,False,0,5355,KZ,Kazakhstan,[],#ffffff,#000000,#000000,9.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1682782860.0,['cardsCode'],1682840595,False,,,,,Round of 16,round-of-16,8.0,1.0,11190111.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,8.0,2.0,
fhcsAhuc,1,True,False,11035298,1683370800,fk-aktobe-aksu,False,Premier League,premier-league,Kazakhstan,kazakhstan,Football,football,1,278,kazakhstan,KZ,Premier League,premier-league,#6c0c17,#dbac00,Kazakhstan,kazakhstan,Football,football,1,278,kazakhstan,KZ,4355,False,True,682,False,False,0,3103,8.0,100,Ended,finished,FK Aktobe,fk-aktobe,Aktobe,M,Football,football,1,4519,AKT,False,0,5355,KZ,Kazakhstan,[],#ffffff,#000000,#000000,Aksu,aksu,Aksu,M,Football,football,1,1760,AKS,,False,0,297875,KZ,Kazakhstan,[],#52b030,#52b030,#ffffff,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1683374820.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1683377981,False,,,,,,,,,,,,,,,,,,,,
xdcsfhc,1,True,False,11035322,1684062000,fk-aktobe-kairat-almaty,False,Premier League,premier-league,Kazakhstan,kazakhstan,Football,football,1,278,kazakhstan,KZ,Premier League,premier-league,#6c0c17,#dbac00,Kazakhstan,kazakhstan,Football,football,1,278,kazakhstan,KZ,4355,False,True,682,False,False,0,3103,9.0,100,Ended,finished,Kairat Almaty,kairat-almaty,Kairat,M,Football,football,1,6932,ALM,False,0,5172,KZ,Kazakhstan,[],#000000,#ffeb3b,#ffeb3b,FK Aktobe,fk-aktobe,Aktobe,M,Football,football,1,4519,AKT,False,False,0,5355,KZ,Kazakhstan,[],#ffffff,#000000,#000000,2.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1684066260.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1684069332,,,,,,,,,,,,,,,,,,,,,
fhcsNIo,3,True,False,11035346,1684677600,fk-aktobe-caspiy-aktau,False,Premier League,premier-league,Kazakhstan,kazakhstan,Football,football,1,278,kazakhstan,KZ,Premier League,premier-league,#6c0c17,#dbac00,Kazakhstan,kazakhstan,Football,football,1,278,kazakhstan,KZ,4355,False,True,682,False,False,0,3103,10.0,100,Ended,finished,FK Aktobe,fk-aktobe,Aktobe,M,Football,football,1,4519,AKT,False,0,5355,KZ,Kazakhstan,[],#ffffff,#000000,#000000,Caspiy Aktau,caspiy-aktau,Caspiy,M,Football,football,1,1725,KAS,False,False,0,36688,KZ,Kazakhstan,[],#fff83b,#0087d1,#0087d1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1684684369.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1684684373,False,,,,,,,,,,,,,,,,,,,,1.0
fhcsRxo,2,True,False,11035370,1685282400,fk-aktobe-fc-kaysar,False,Premier League,premier-league,Kazakhstan,kazakhstan,Football,football,1,278,kazakhstan,KZ,Premier League,premier-league,#6c0c17,#dbac00,Kazakhstan,kazakhstan,Football,football,1,278,kazakhstan,KZ,4355,False,True,682,False,False,0,3103,11.0,100,Ended,finished,FC Kaysar,fc-kaysar,Kaysar,M,Football,football,1,1929,KKY,False,0,36142,KZ,Kazakhstan,[],#ec1937,#000000,#000000,FK Aktobe,fk-aktobe,Aktobe,M,Football,football,1,4519,AKT,False,False,0,5355,KZ,Kazakhstan,[],#ffffff,#000000,#000000,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1685289064.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1685289069,False,,,,,,,,,,,,,,,,,,,,
fhcskhc,1,True,False,11035394,1685804400,shakhter-karagandy-fk-aktobe,False,Premier League,premier-league,Kazakhstan,kazakhstan,Football,football,1,278,kazakhstan,KZ,Premier League,premier-league,#6c0c17,#dbac00,Kazakhstan,kazakhstan,Football,football,1,278,kazakhstan,KZ,4355,False,True,682,False,False,0,3103,12.0,100,Ended,finished,FK Aktobe,fk-aktobe,Aktobe,M,Football,football,1,4519,AKT,False,0,5355,KZ,Kazakhstan,[],#ffffff,#000000,#000000,Shakhter Karagandy,shakhter-karagandy,Shakhter,M,Football,football,1,1869,SKA,False,False,0,5360,KZ,Kazakhstan,[],#ff6600,#ff6600,#ff6600,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1685811886.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1685811888,False,,,,,,,,,,,,,,,,,,,,
fhcsJgL,3,True,False,11035419,1687701600,maktaaral-fk-aktobe,False,Premier League,premier-league,Kazakhstan,kazakhstan,Football,football,1,278,kazakhstan,KZ,Premier League,premier-league,#6c0c17,#dbac00,Kazakhstan,kazakhstan,Football,football,1,278,kazakhstan,KZ,4355,False,True,682,False,False,0,3103,13.0,100,Ended,finished,FK Aktobe,fk-aktobe,Aktobe,M,Football,football,1,4519,AKT,False,0,5355,KZ,Kazakhstan,[],#ffffff,#000000,#000000,Maktaaral,maktaaral,Maktaaral,M,Football,football,1,1275,MAK,,False,0,90334,KZ,Kazakhstan,[],#e60026,#091f92,#091f92,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1687705440.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2', 'awayScore.normaltime']",1687708447,False,,,,,,,,,,,,,,,,,,,,
fhcsJgL,2,True,False,11035464,1688212800,maktaaral-fk-aktobe,False,Premier League,premier-league,Kazakhstan,kazakhstan,Football,football,1,278,kazakhstan,KZ,Premier League,premier-league,#6c0c17,#dbac00,Kazakhstan,kazakhstan,Football,football,1,278,kazakhstan,KZ,4355,False,True,682,False,False,0,3103,14.0,100,Ended,finished,Maktaaral,maktaaral,Maktaaral,M,Football,football,1,1275,MAK,False,0,90334,KZ,Kazakhstan,[],#e60026,#091f92,#091f92,FK Aktobe,fk-aktobe,Aktobe,M,Football,football,1,4519,AKT,False,False,0,5355,KZ,Kazakhstan,[],#ffffff,#000000,#000000,1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,1688219691.0,['time.currentPeriodStart'],1688219693,,,,1.0,,,,,,,,,,,,,,,,,
fhcskhc,2,True,False,11035226,1689426000,shakhter-karagandy-fk-aktobe,False,Premier League,premier-league,Kazakhstan,kazakhstan,Football,football,1,278,kazakhstan,KZ,Premier League,premier-league,#6c0c17,#dbac00,Kazakhstan,kazakhstan,Football,football,1,278,kazakhstan,KZ,4355,False,True,682,False,False,0,3103,15.0,100,Ended,finished,Shakhter Karagandy,shakhter-karagandy,Shakhter,M,Football,football,1,1869,SKA,False,0,5360,KZ,Kazakhstan,[],#ff6600,#ff6600,#ff6600,FK Aktobe,fk-aktobe,Aktobe,M,Football,football,1,4519,AKT,False,False,0,5355,KZ,Kazakhstan,[],#ffffff,#000000,#000000,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1689429840.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2', 'awayScore.normaltime']",1689432821,False,,,,,,,,,,,,,,,,,,,,1.0
fhcsRxo,1,True,False,11035331,1690034400,fk-aktobe-fc-kaysar,False,Premier League,premier-league,Kazakhstan,kazakhstan,Football,football,1,278,kazakhstan,KZ,Premier League,premier-league,#6c0c17,#dbac00,Kazakhstan,kazakhstan,Football,football,1,278,kazakhstan,KZ,4355,False,True,682,False,False,0,3103,16.0,100,Ended,finished,FK Aktobe,fk-aktobe,Aktobe,M,Football,football,1,4519,AKT,False,0,5355,KZ,Kazakhstan,[],#ffffff,#000000,#000000,FC Kaysar,fc-kaysar,Kaysar,M,Football,football,1,1929,KKY,False,False,0,36142,KZ,Kazakhstan,[],#ec1937,#000000,#000000,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1690041505.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1690041509,False,,,,,,,,,,,,,,,,,,,,
