shirtNumber,jerseyNumber,position,substitute,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.aerialWon,statistics.duelWon,statistics.totalClearance,statistics.errorLeadToAShot,statistics.punches,statistics.totalKeeperSweeper,statistics.accurateKeeperSweeper,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.totalCross,statistics.accurateCross,statistics.aerialLost,statistics.duelLost,statistics.dispossessed,statistics.totalContest,statistics.wonContest,statistics.bigChanceCreated,statistics.shotOffTarget,statistics.onTargetScoringAttempt,statistics.blockedScoringAttempt,statistics.interceptionWon,statistics.totalTackle,statistics.keyPass,statistics.challengeLost,statistics.wasFouled,statistics.fouls,captain,statistics.bigChanceMissed,statistics.totalOffside,statistics.hitWoodwork,team,player_type,statistics.goodHighClaim,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.outfielderBlock,statistics.goalAssist,statistics.goals
19,19,D,True,Elizabeth Anton,Elizabeth Anton,,elizabeth-anton,E. Anton,D,13,1096412,NZ,New Zealand,EUR,913420800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,,,
3,3,D,True,Claudia Bunge,,,claudia-bunge,C. Bunge,D,8,1004568,NZ,New Zealand,EUR,937872000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,,,
8,8,M,True,Daisy Cleverley,,,daisy-cleverley,D. Cleverley,M,7,796545,NZ,New Zealand,EUR,862358400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,,,
15,15,F,True,Paige Satchell,,,paige-satchell,P. Satchell,M,17,985694,NZ,New Zealand,EUR,892425600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,,,
9,9,F,True,Gabi Rennie,,,rennie-gabi,G. Rennie,F,22,1130450,NZ,New Zealand,EUR,994464000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,,,
22,22,F,True,Emily Clegg,,,emily-clegg,E. Clegg,F,10,1416695,NZ,New Zealand,EUR,1130803200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,,,
1,1,G,False,Olivia Davies McDaniel,,,davies-mcdaniel-olivia,O. D. McDaniel,G,26,1174045,PH,Philippines,EUR,876787200.0,38.0,11.0,37.0,10.0,,1.0,3.0,,2.0,1.0,1.0,90.0,47.0,7.5,27.0,7.5,7.9,,,2.0,2.0,,,,,,,,,,,,1.0,,,,,,away,main,1.0,2.0,4.0,,,
5,5,D,False,Hali Long,,,long-hali,H. Long,D,10,1174048,PH,Philippines,EUR,790646400.0,19.0,11.0,2.0,,5.0,6.0,7.0,,,,,90.0,30.0,7.0,9.0,7.0,7.0,,,1.0,2.0,1.0,,,,,,,1.0,,,,1.0,,True,,,,away,main,,,,,,
3,3,D,False,Jessika Cowart,,,jessika-cowart,J. Cowart,D,4,1390655,PH,Philippines,EUR,,20.0,12.0,5.0,4.0,3.0,4.0,2.0,,,,,83.0,34.0,6.9,10.0,6.9,6.7,,,3.0,6.0,,1.0,,,,,,1.0,1.0,1.0,1.0,,1.0,,,,,away,main,,,,,,
13,13,D,False,Angela Beard,,,angela-beard,A. Beard,D,15,1010475,PH,Philippines,EUR,871689600.0,11.0,5.0,4.0,,1.0,2.0,7.0,,,,,90.0,20.0,6.7,7.0,6.7,6.7,1.0,,2.0,4.0,,,,,,,,,1.0,,1.0,,1.0,,,,,away,main,,,,,,
17,17,M,False,Alicia Barker,,,alicia-barker,A. Barker,D,6,1470426,PH,Philippines,EUR,895795200.0,18.0,9.0,3.0,,1.0,2.0,4.0,,,,,70.0,49.0,6.7,20.0,6.7,6.7,1.0,,1.0,2.0,1.0,,,,,,,3.0,1.0,,,,,,,,,away,main,,,,,,
20,20,M,False,Quinley Quezada,,,quinley-quezada,Q. Quezada,M,10,1174052,PH,Philippines,EUR,860371200.0,20.0,9.0,3.0,1.0,,2.0,,,,,,70.0,33.0,6.5,15.0,6.5,6.4,,,2.0,5.0,,2.0,1.0,,,,,2.0,,,1.0,1.0,1.0,,,,,away,main,,,,,,
4,4,M,False,Jaclyn Sawicki,,,jaclyn-sawicki,J. Sawicki,M,13,1426943,PH,Philippines,EUR,721699200.0,34.0,23.0,3.0,1.0,1.0,5.0,3.0,,,,,90.0,51.0,6.7,17.0,6.7,6.7,,,,5.0,1.0,3.0,1.0,,,,,1.0,2.0,,2.0,1.0,,,,,,away,main,,,,1.0,,
8,8,M,False,Sara Kristine Eggesvik,,,eggesvik-sara-kristine,S. K. Eggesvik,M,16,912760,PH,Philippines,EUR,862272000.0,12.0,5.0,2.0,,1.0,8.0,1.0,,,,,64.0,34.0,7.5,13.0,7.5,7.5,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,,,,1.0,4.0,1.0,2.0,2.0,1.0,,,,,away,main,,,,1.0,1.0,
16,16,M,False,Sofia Harrison,,,harrison-sofia,S. Harrison,D,5,1174047,PH,Philippines,EUR,919123200.0,21.0,11.0,2.0,,3.0,8.0,1.0,,,,,90.0,54.0,7.1,21.0,7.1,7.0,1.0,,1.0,4.0,2.0,1.0,,,,,,3.0,4.0,,,1.0,,,,,,away,main,,,,,,
