shirtNumber,jerseyNumber,position,substitute,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.aerialWon,statistics.duelWon,statistics.totalClearance,statistics.goodHighClaim,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.punches,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.totalCross,statistics.totalContest,statistics.wonContest,statistics.interceptionWon,statistics.totalTackle,statistics.wasFouled,statistics.duelLost,statistics.bigChanceCreated,statistics.outfielderBlock,statistics.fouls,statistics.keyPass,player.firstName,player.lastName,statistics.aerialLost,statistics.bigChanceMissed,statistics.shotOffTarget,statistics.accurateCross,statistics.challengeLost,statistics.onTargetScoringAttempt,statistics.goals,captain,statistics.dispossessed,statistics.blockedScoringAttempt,statistics.goalAssist,team,player_type,statistics.totalKeeperSweeper,statistics.accurateKeeperSweeper,statistics.ownGoals,statistics.totalOffside
5,5,D,False,Niamh Fahey,niamh-fahey,N. Fahey,D,42,93477,IE,Ireland,EUR,561081600,41.0,27.0,7.0,2.0,2.0,2.0,4.0,,,,,90.0,53.0,6.6,14.0,6.6,6.4,,,,,,,5.0,,2.0,,1.0,,,4.0,,1.0,,1.0,,,,,,,away,main,,,,
4,4,D,False,Louise Quinn,louise-quinn,L. Quinn,D,20,112281,IE,Ireland,EUR,645580800,10.0,8.0,2.0,1.0,2.0,2.0,4.0,,,,,90.0,17.0,6.4,3.0,6.4,6.4,,,,,,,4.0,,1.0,,,,,4.0,,,,,,,,,,,away,main,,,,
6,6,D,False,Megan Connolly,connolly-megan,M. Connolly,M,21,1000508,IE,Ireland,EUR,857692800,30.0,13.0,7.0,2.0,,1.0,1.0,,,,,90.0,37.0,5.9,20.0,5.9,5.7,2.0,1.0,1.0,,,,2.0,,,,,,,,,,,1.0,,,,1.0,,,away,main,,,1.0,
13,13,M,False,Aine O'Gorman,ogorman-aine,Á. O'Gorman,D,9,1022686,IE,Ireland,EUR,611020800,19.0,9.0,4.0,3.0,,3.0,,,,,,58.0,37.0,6.6,16.0,6.6,6.5,2.0,,,1.0,2.0,1.0,4.0,,,,,,,3.0,,,,1.0,,,,,,,away,main,,,,
10,10,M,False,Denise O'Sullivan,denise-osullivan,D. O'Sullivan,M,42,95764,IE,Ireland,EUR,760320000,29.0,20.0,,,1.0,5.0,,,,,,90.0,52.0,6.0,23.0,6.0,5.7,,3.0,1.0,1.0,3.0,,16.0,,,1.0,1.0,,,4.0,,1.0,,1.0,,,,8.0,1.0,,away,main,,,,
8,8,M,False,Ruesha Littlejohn,ruesha-littlejohn,R. Littlejohn,M,35,71348,IE,Ireland,EUR,644371200,27.0,19.0,1.0,1.0,2.0,5.0,3.0,,,,,65.0,39.0,6.5,12.0,6.5,6.3,,3.0,1.0,,1.0,1.0,6.0,,,1.0,,,,2.0,,,,,,,,1.0,,,away,main,,,,
11,11,M,False,Katie McCabe,mccabe-katie,K. McCabe,M,367,138357,IE,Ireland,EUR,811641600,19.0,12.0,5.0,2.0,1.0,7.0,3.0,,,,,90.0,59.0,7.8,22.0,7.8,7.7,7.0,4.0,4.0,,2.0,,7.0,1.0,,,2.0,,,1.0,,2.0,1.0,4.0,1.0,1.0,True,2.0,1.0,,away,main,,,,
15,15,F,False,Lucy Quinn,lucy-quinn,L. Quinn,F,14,1007328,IE,Ireland,EUR,749260800,11.0,5.0,3.0,1.0,1.0,2.0,1.0,,,,,45.0,21.0,6.5,10.0,6.5,6.5,1.0,2.0,,,,1.0,5.0,1.0,,,1.0,,,,,,1.0,2.0,,,,1.0,,,away,main,,,,
18,18,F,False,Kyra Carusa,kyra-carusa,K. Carusa,F,12,1022690,IE,Ireland,EUR,816307200,12.0,8.0,,,4.0,7.0,,,,,,65.0,23.0,6.4,7.0,6.4,6.4,1.0,,,,1.0,2.0,9.0,,,3.0,1.0,,,5.0,2.0,1.0,,,3.0,,,1.0,,,away,main,,,,1.0
17,17,F,False,Sinead Farrelly,sinead-farrelly,S. Farrelly,M,7,1482656,IE,Ireland,EUR,621907200,27.0,16.0,,,2.0,4.0,,,,,,65.0,39.0,6.7,16.0,6.7,6.7,1.0,2.0,2.0,,,,6.0,,,1.0,,Sinead Farrelly,,1.0,,,,1.0,1.0,,,3.0,1.0,,away,main,,,,
19,19,F,True,Abbie Larkin,larkin-abbie,A. Larkin,F,28,1185435,IE,Ireland,EUR,1114560000,8.0,2.0,1.0,,1.0,3.0,,,,,,45.0,16.0,6.4,11.0,6.4,6.4,,,,,1.0,1.0,3.0,,,,1.0,,,,,,,2.0,,,,1.0,,,away,substitute,,,,
20,20,M,True,Marissa Sheva,marissa-sheva,M. Sheva,F,19,1034549,IE,Ireland,EUR,861667200,17.0,9.0,4.0,,,3.0,1.0,,,,,32.0,34.0,6.7,16.0,6.7,6.8,2.0,,,1.0,3.0,,1.0,,,,,,,1.0,,,,,,,,,,,away,substitute,,,,
12,12,M,True,Lily Agg,agg-lily,L. Agg,M,14,1090625,IE,Ireland,EUR,756086400,15.0,8.0,2.0,2.0,3.0,4.0,1.0,,,,,25.0,21.0,6.7,8.0,6.7,6.6,,,,,1.0,,7.0,,,2.0,,,,4.0,,,,,1.0,,,1.0,,,away,substitute,,,,
22,22,F,True,Isibeal Atkinson,atkinson-isibeal,I. Atkinson,M,27,1092649,IE,Ireland,EUR,995328000,11.0,3.0,1.0,,,,,,,,,25.0,21.0,6.3,14.0,6.3,6.3,3.0,,,,,,2.0,,,1.0,,,,,,,,2.0,,,,,,,away,substitute,,,,
9,9,F,True,Amber Barrett,barrett-amber,A. Barrett,F,12,1000511,IE,Ireland,EUR,821750400,2.0,1.0,,,,,,,,,,25.0,3.0,6.5,2.0,6.5,6.5,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,away,substitute,,,,
16,16,G,True,Grace Moloney,moloney-grace,G. Moloney,G,7,1000514,IE,Ireland,EUR,730944000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
23,23,G,True,Megan Walsh,walsh-megan,M. Walsh,G,11,1007451,IE,Ireland,EUR,784598400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
3,3,D,True,Chloe Mustaki,mustaki-chloe,C. Mustaki,D,2,1000515,IE,Ireland,EUR,806976000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
7,7,D,True,Diane Caldwell,diane-caldwell,D. Caldwell,D,14,111646,IE,Ireland,EUR,589939200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
2,2,D,True,Claire O' Riordan,o-riordan-claire,C. O. Riordan,D,10,1000517,IE,Ireland,EUR,781920000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
21,21,D,True,Ciara Grant,grant-ciara,C. Grant,M,4,93979,IE,Ireland,EUR,739756800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
