shirtNumber,jerseyNumber,position,substitute,captain,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.totalClearance,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.punches,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.totalCross,statistics.accurateCross,statistics.duelLost,statistics.duelWon,statistics.challengeLost,statistics.dispossessed,statistics.totalContest,statistics.wonContest,statistics.bigChanceCreated,statistics.interceptionWon,statistics.totalTackle,statistics.wasFouled,statistics.totalOffside,statistics.keyPass,statistics.aerialWon,statistics.outfielderBlock,statistics.fouls,statistics.penaltyWon,statistics.aerialLost,player.firstName,player.lastName,statistics.shotOffTarget,statistics.blockedScoringAttempt,statistics.goalAssist,statistics.bigChanceMissed,statistics.onTargetScoringAttempt,statistics.goals,team,player_type,statistics.goodHighClaim,statistics.penaltyConceded
11,11,M,False,,Marcelinho,marcelinho,Marcelinho,F,98,1046439,BR,Brazil,EUR,1039564800,10.0,6.0,2.0,1.0,1.0,,,,45.0,24.0,5.9,10.0,5.9,6.0,,,4.0,1.0,,1.0,2.0,,,,,1.0,,,,,1.0,,,Marcelinho,,1.0,2.0,,,,,away,main,,
10,10,M,False,,Matheus Frizzo,matheus-frizzo,M. Frizzo,M,97,1005337,BR,Brazil,EUR,901238400,34.0,28.0,2.0,2.0,1.0,,,,90.0,66.0,7.6,17.0,7.6,7.7,9.0,3.0,4.0,8.0,1.0,,3.0,2.0,,3.0,1.0,3.0,,4.0,2.0,1.0,,,2.0,,,1.0,1.0,,,,,away,main,,
7,7,M,False,,Keké,keke,Keké,M,28,866785,BR,Brazil,EUR,813369600,1.0,,,,,,,,22.0,4.0,6.6,1.0,6.6,6.7,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,away,main,,
9,9,F,False,,Fernandão,fernandao,Fernandão,F,152,329251,BR,Brazil,EUR,543801600,15.0,10.0,1.0,1.0,,,,,45.0,15.0,6.6,5.0,6.6,6.6,,,1.0,2.0,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,away,main,,
20,20,F,True,,Alexandre Jesus,alexandre-jesus,Alexandre Jesus,F,62,1016865,BR,Brazil,EUR,1000598400,13.0,10.0,1.0,1.0,,,,,68.0,25.0,6.9,8.0,6.9,6.8,3.0,1.0,4.0,3.0,1.0,2.0,,,,1.0,1.0,1.0,,1.0,1.0,,,,1.0,,,1.0,1.0,,,1.0,,away,substitute,,
19,19,F,True,,Kleiton,kleiton,Kleiton,D,5,1046696,BR,Brazil,EUR,924825600,5.0,5.0,1.0,1.0,,,,,45.0,12.0,7.0,2.0,7.0,7.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,2.0,1.0,,,,1.0,,,2.0,,,,,,away,substitute,,
18,18,F,True,,Rafinha,rafinha,Rafinha,F,4,1510236,BR,Brazil,EUR,950486400,8.0,5.0,,,,,,,45.0,12.0,6.4,5.0,6.4,6.4,,,2.0,1.0,,,3.0,1.0,,,,,,,,,1.0,,,Rafinha,,,,,,,,away,substitute,,
13,13,D,True,,Kevin,kevin,Kevin,D,116,810691,BR,Brazil,EUR,873590400,18.0,10.0,5.0,1.0,1.0,,,,19.0,29.0,6.6,11.0,6.6,6.8,,,2.0,2.0,,,1.0,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,away,substitute,,
17,17,F,True,,Jaderson,jaderson,Jaderson,M,28,869639,BR,Brazil,EUR,966038400,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,
12,12,G,True,,Leo Lang,leo-lang,L. Lang,G,10,931516,BR,Brazil,EUR,933811200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,
16,16,D,True,,Emerson,emerson,Emerson,D,9,914475,BR,Brazil,EUR,903398400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,
15,15,D,True,,Guilherme Santos,guilherme-santos,Guilherme Santos,D,19,32152,BR,Brazil,EUR,571017600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,
14,14,D,True,,Luis Felipe,luis-felipe,Luis Felipe,D,61,1049019,BR,Brazil,EUR,990057600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,
22,22,M,True,,Djalma Celestino Evaristo,djalma-celestino-evaristo,D. C. Evaristo,M,7,1125370,BR,Brazil,EUR,962236800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,
21,21,F,True,,Ruan Potó,ruan-poto,R. Potó,F,32,981637,BR,Brazil,EUR,916790400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,
