customId,winnerCode,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,awayRedCards,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.userCount,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,roundInfo.name,roundInfo.cupRoundType,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,tournament.category.alpha2,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.alpha2,homeRedCards,aggregatedWinnerCode,previousLegEventId,homeTeam.gender,homeTeam.national,awayTeam.gender,awayTeam.national,homeScore.aggregated,awayScore.aggregated
bobscob,1,True,True,True,1.0,False,10981409,1.0,1681331400,boca-juniors-san-lorenzo,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,62375,False,True,155,True,False,351,68,11.0,,,100,Ended,finished,San Lorenzo,san-lorenzo,San Lorenzo,Football,football,1,0,SLO,False,0,3201,AR,Argentina,[],#52b030,#52b030,#ffffff,Boca Juniors,boca-juniors,Boca Juniors,Football,football,1,0,BOC,False,0,3202,AR,Argentina,[],#52b030,#52b030,#ffffff,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,1681338780.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681338781,AR,#0cbad8,#daa813,AR,,,,,,,,,
dobsEcd,1,True,True,True,1.0,False,10981408,,1681336800,huracan-belgrano,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,62375,False,True,155,True,False,351,68,11.0,,,100,Ended,finished,Belgrano,belgrano,Belgrano,Football,football,1,0,BEL,,0,3203,AR,Argentina,[],#52b030,#52b030,#ffffff,Huracán,huracan,Huracán,Football,football,1,0,HUR,False,0,7629,AR,Argentina,[],#52b030,#52b030,#ffffff,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1681343606.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681343608,AR,#0cbad8,#daa813,AR,,,,,,,,,
mobspob,2,True,True,True,1.0,False,10981400,,1681338600,racing-club-newells-old-boys,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,62375,False,True,155,True,False,351,68,11.0,,,100,Ended,finished,Racing Club,racing-club,Racing,Football,football,1,0,RAC,False,0,3215,AR,Argentina,[],#52b030,#52b030,#ffffff,Newell's Old Boys,newells-old-boys,Newell's,Football,football,1,0,NOB,False,0,3212,AR,Argentina,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,6.0,1681346510.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681346512,AR,#0cbad8,#daa813,AR,,,,,,,,,
gobsILo,3,True,True,True,1.0,False,10981471,,1681345800,atletico-tucuman-estudiantes-de-la-plata,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,62375,False,True,155,True,False,351,68,11.0,,,100,Ended,finished,Estudiantes de La Plata,estudiantes-de-la-plata,Estudiantes,Football,football,1,0,ELP,False,0,3206,AR,Argentina,[],#52b030,#52b030,#ffffff,Atlético Tucumán,atletico-tucuman,Atlético Tucumán,Football,football,1,0,CAT,False,0,36833,AR,Argentina,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1681353863.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681353864,AR,#0cbad8,#daa813,AR,,,,,,,,,
jobsrob,1,True,True,True,1.0,False,10981460,,1681345800,rosario-central-independiente,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,62375,False,True,155,True,False,351,68,11.0,,,100,Ended,finished,Rosario Central,rosario-central,Rosario Central,Football,football,1,0,ROS,False,0,3217,AR,Argentina,[],#52b030,#52b030,#ffffff,Independiente,independiente,Independiente,Football,football,1,0,CAI,False,0,3209,AR,Argentina,[],#52b030,#52b030,#ffffff,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,1681353328.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681353331,AR,#0cbad8,#daa813,AR,,,,,,,,,
wobszwc,2,True,True,True,1.0,False,10981431,,1681405200,godoy-cruz-arsenal-de-sarandi,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,62375,False,True,155,True,False,351,68,11.0,,,100,Ended,finished,Arsenal de Sarandí,arsenal-de-sarandi,Arsenal,Football,football,1,0,ARS,False,0,3221,AR,Argentina,[],#52b030,#52b030,#ffffff,Godoy Cruz,godoy-cruz,Godoy Cruz,Football,football,1,0,GOD,,0,6074,AR,Argentina,[],#52b030,#52b030,#ffffff,2.0,2.0,1.0,1.0,2.0,3.0,3.0,0.0,3.0,3.0,3.0,5.0,1681412066.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681412068,AR,#0cbad8,#daa813,AR,,,,,,,,,
hobskob,3,True,True,True,1.0,False,10981412,,1681414200,talleres-colon,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,62375,False,True,155,True,False,351,68,11.0,,,100,Ended,finished,Colón,colon,Colón,Football,football,1,0,COL,False,0,3207,AR,Argentina,[],#52b030,#52b030,#ffffff,Talleres,talleres,Talleres,Football,football,1,0,CAT,False,0,3210,AR,Argentina,[],#52b030,#52b030,#ffffff,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,5.0,6.0,1681421397.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681421398,AR,#0cbad8,#daa813,AR,1.0,,,,,,,,
fobslob,1,True,True,True,1.0,False,10981404,,1681425000,river-plate-gimnasia-y-esgrima,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,62375,False,True,155,True,False,351,68,11.0,,,100,Ended,finished,River Plate,river-plate,River,Football,football,1,0,RIV,False,0,3211,AR,Argentina,[],#52b030,#52b030,#ffffff,Gimnasia y Esgrima,gimnasia-y-esgrima,Gimnasia,Football,football,1,0,GLP,False,0,3205,AR,Argentina,[],#52b030,#52b030,#ffffff,3.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1681431671.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681431722,AR,#0cbad8,#daa813,AR,,,,,,,,,
DcdsNWq,1,True,True,True,1.0,False,10981432,,1681432200,tigre-sarmiento,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,62375,False,True,155,True,False,351,68,11.0,,,100,Ended,finished,Tigre,tigre,Tigre,Football,football,1,0,TIG,False,0,7628,AR,Argentina,[],#52b030,#52b030,#ffffff,Sarmiento,sarmiento,Sarmiento,Football,football,1,0,CAS,False,0,42338,AR,Argentina,[],#52b030,#52b030,#ffffff,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,1681439398.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681439402,AR,#0cbad8,#daa813,AR,,,,,,,,,
aOszHFb,1,True,True,True,1.0,False,10911842,,1681441500,juarez-fc-atletico-de-san-luis,False,"Liga MX, Clausura",liga-mx-clausura,Mexico,mexico,Football,football,1,12,mexico,"Liga MX, Clausura",liga-mx-clausura,Mexico,mexico,Football,football,1,12,mexico,0,False,False,11620,True,False,350,16753,15.0,,,100,Ended,finished,Atlético de San Luis,atletico-de-san-luis,Atlético de San Luis,Football,football,1,0,ASL,False,0,1950,MX,Mexico,[],#52b030,#52b030,#ffffff,Juárez FC,juarez-fc,Juárez,Football,football,1,0,JUA,,0,201624,MX,Mexico,[],#52b030,#52b030,#ffffff,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,1681448491.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681448494,MX,,,MX,,,,,,,,,
