customId,winnerCode,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,homeRedCards,roundInfo.name,tournament.category.alpha2,tournament.uniqueTournament.category.alpha2,awayRedCards,homeScore.penalties,awayScore.penalties,roundInfo.cupRoundType,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,coverage,choice_1,choice_X,choice_2
msJb,1,False,,,,False,11420509,1690308000,doncaster-rovers-sheffield-wednesday,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,Club Friendly Games,club-friendly-games,World,world,Football,football,1.0,1468.0,international,0.0,853.0,False,False,False,False,0,86,,100,Ended,finished,Doncaster Rovers,doncaster-rovers,Doncaster,Football,football,1,0,DR,,0,84,EN,England,[],#52b030,#52b030,#ffffff,Sheffield Wednesday,sheffield-wednesday,Sheffield Wed,Football,football,1,0,SHW,False,0,12,EN,England,[],#52b030,#52b030,#ffffff,1,1,0.0,1.0,1.0,0,0,0.0,0.0,0.0,1.0,5.0,1690314952.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1690314954,,,,,,,,,,,,4.0,3.75,1.67
dsckb,2,False,,,,False,11439118,1690308000,fc-porto-wolverhampton,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,Club Friendly Games,club-friendly-games,World,world,Football,football,1.0,1468.0,international,0.0,853.0,False,False,False,False,0,86,1.0,100,Ended,finished,FC Porto,fc-porto,Porto,Football,football,1,0,FCP,False,0,3002,PT,Portugal,[],#52b030,#52b030,#ffffff,Wolverhampton,wolverhampton,Wolves,Football,football,1,0,WOL,False,0,3,EN,England,[],#52b030,#52b030,#ffffff,0,0,0.0,0.0,0.0,1,1,1.0,0.0,1.0,2.0,4.0,1690315075.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1690315079,,,,,,,,,,,,2.1,3.6,2.75
RYsDgb,2,True,,,,False,11412967,1690308000,valencia-fc-st-gallen-1879,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,Club Friendly Games,club-friendly-games,World,world,Football,football,1.0,1468.0,international,0.0,853.0,False,False,False,False,0,86,1.0,100,Ended,finished,FC St. Gallen 1879,fc-st-gallen-1879,St. Gallen,Football,football,1,0,STG,,0,2442,CH,Switzerland,[],#52b030,#52b030,#ffffff,Valencia,valencia,Valencia,Football,football,1,0,VCF,False,0,2828,ES,Spain,[],#52b030,#52b030,#ffffff,1,1,1.0,0.0,1.0,3,3,2.0,1.0,3.0,,,1690314407.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1690314411,,,,,,,,,,,,3.2,3.6,1.91
hbsPb,3,False,,,,False,11420481,1690308000,kidderminster-harriers-northampton-town,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,Club Friendly Games,club-friendly-games,World,world,Football,football,1.0,1468.0,international,0.0,853.0,False,False,False,False,0,86,,100,Ended,finished,Kidderminster Harriers,kidderminster-harriers,Kidderminster,Football,football,1,0,KID,,0,90,EN,England,[],#52b030,#52b030,#ffffff,Northampton Town,northampton-town,Northampton,Football,football,1,0,NOR,,0,57,EN,England,[],#52b030,#52b030,#ffffff,2,2,0.0,2.0,2.0,2,2,2.0,0.0,2.0,,,1690314701.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1690314705,,,,,,,,,,,,3.1,3.75,1.91
nsp,1,True,,,,False,11331816,1690308000,sheffield-united-rotherham-united,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,Club Friendly Games,club-friendly-games,World,world,Football,football,1.0,1468.0,international,0.0,853.0,False,False,False,False,0,86,,100,Ended,finished,Rotherham United,rotherham-united,Rotherham,Football,football,1,0,ROU,,0,13,EN,England,[],#52b030,#52b030,#ffffff,Sheffield United,sheffield-united,Sheffield Utd,Football,football,1,0,SHU,False,0,15,EN,England,[],#52b030,#52b030,#ffffff,1,1,1.0,0.0,1.0,0,0,0.0,0.0,0.0,2.0,,1690314724.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1690314726,,,,,,,,,,,,4.0,3.75,1.67
xjbsPEc,1,False,,,,False,11439159,1690308000,rijnsburgse-boys-sc-telstar,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,Club Friendly Games,club-friendly-games,World,world,Football,football,1.0,1468.0,international,0.0,853.0,False,False,False,False,0,86,,100,Ended,finished,SC Telstar,sc-telstar,Telstar,Football,football,1,0,TEL,,0,2972,NL,Netherlands,[],#52b030,#52b030,#ffffff,Rijnsburgse Boys,rijnsburgse-boys,Rijnsburg,Football,football,1,0,RIJ,,0,6490,NL,Netherlands,[],#52b030,#52b030,#ffffff,1,1,0.0,1.0,1.0,0,0,0.0,0.0,0.0,,,1690314563.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1690314567,,,,,,,,,,,,1.95,3.9,2.9
ebsyc,2,False,,,,False,11420480,1690309800,peterborough-united-bedford-town,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,Club Friendly Games,club-friendly-games,World,world,Football,football,1.0,1468.0,international,0.0,853.0,False,False,False,False,0,86,1.0,100,Ended,finished,Bedford Town,bedford-town,Bedford,Football,football,1,0,BED,,0,123,EN,England,[],#52b030,#52b030,#ffffff,Peterborough United,peterborough-united,Peterborough Utd,Football,football,1,0,PET,,0,54,EN,England,[],#52b030,#52b030,#ffffff,1,1,0.0,1.0,1.0,4,4,2.0,2.0,4.0,,,1690316309.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1690316313,,,,,1.0,,,,,,,15.0,8.5,1.1
Dbsre,3,False,,,,False,11420486,1690309800,carlisle-united-chorley-fc,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,Club Friendly Games,club-friendly-games,World,world,Football,football,1.0,1468.0,international,0.0,853.0,False,False,False,False,0,86,1.0,100,Ended,finished,Chorley FC,chorley-fc,Chorley,Football,football,1,0,CHO,,0,217,EN,England,[],#52b030,#52b030,#ffffff,Carlisle United,carlisle-united,Carlisle,Football,football,1,0,CAR,False,0,78,EN,England,[],#52b030,#52b030,#ffffff,1,1,0.0,1.0,1.0,1,1,1.0,0.0,1.0,,,1690316208.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1690316211,,,,,,,,,,,,5.0,4.0,1.5
hdsjd,1,False,,,,False,11350916,1690309800,harrogate-town-gateshead,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,Club Friendly Games,club-friendly-games,World,world,Football,football,1.0,1468.0,international,0.0,853.0,False,False,False,False,0,86,,100,Ended,finished,Gateshead,gateshead,Gateshead,Football,football,1,0,GAT,,0,157,EN,England,[],#52b030,#52b030,#ffffff,Harrogate Town,harrogate-town,Harrogate,Football,football,1,0,HTO,,0,159,EN,England,[],#52b030,#52b030,#ffffff,2,2,0.0,2.0,2.0,0,0,0.0,0.0,0.0,,,1690316255.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1690316259,,,,,,,,,,,,2.88,3.6,2.05
rbsGb,3,False,,,,False,11331817,1690309800,morecambe-blackpool,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,Club Friendly Games,club-friendly-games,World,world,Football,football,1.0,1468.0,international,0.0,853.0,False,False,False,False,0,86,,100,Ended,finished,Morecambe,morecambe,Morecambe,Football,football,1,0,MFC,,0,81,EN,England,[],#52b030,#52b030,#ffffff,Blackpool,blackpool,Blackpool,Football,football,1,0,BLP,False,0,67,EN,England,[],#52b030,#52b030,#ffffff,1,1,1.0,0.0,1.0,1,1,0.0,1.0,1.0,,,1690313707.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.injuryTime1']",1690316425,,,,,,,,,,,,3.1,3.75,1.91
