descriptions,position,matches,wins,scoresFor,scoresAgainst,id,losses,draws,points,team.name,team.slug,team.shortName,team.gender,team.sport.name,team.sport.slug,team.sport.id,team.userCount,team.nameCode,team.disabled,team.national,team.type,team.id,team.teamColors.primary,team.teamColors.secondary,team.teamColors.text,promotion.text,promotion.id
[],1,8,5,12,8,834917,2,1,16,Botafogo,botafogo,Botafogo,M,Football,football,1,75496,BOT,False,False,0,1958,#000000,#ffffff,#ffffff,Copa Libertadores,19.0
[],2,8,4,7,7,834923,3,1,13,Cuiabá,cuiaba,Cuiabá,M,Football,football,1,26115,CUI,False,False,0,49202,#ffffff,#006600,#006600,Copa Sudamericana,21.0
[],3,7,3,12,5,834922,1,3,12,Cruzeiro,cruzeiro,Cruzeiro,M,Football,football,1,73672,CRU,False,False,0,1954,#0033cc,#0033cc,#0033cc,Copa Sudamericana,21.0
[],4,9,3,9,7,834916,3,3,12,Atlético Mineiro,atletico-mineiro,Atlético-MG,M,Football,football,1,101789,ATL,False,False,0,1977,#000000,#ffffff,#ffffff,,
[],5,8,3,13,14,834920,3,2,11,Flamengo,flamengo,Flamengo,M,Football,football,1,284779,FLA,False,False,0,5981,#ff0000,#000000,#000000,Copa Libertadores,19.0
[],6,8,2,12,6,834934,1,5,11,Palmeiras,palmeiras,Palmeiras,M,Football,football,1,193414,PAL,False,False,0,1963,#339966,#336633,#336633,Copa Libertadores,19.0
[],7,6,3,7,11,834928,3,0,9,Grêmio,gremio,Grêmio,M,Football,football,1,91093,GPA,False,False,0,5926,#3399ff,#000033,#000033,Copa Libertadores,19.0
[],8,9,2,6,12,834933,4,3,9,Internacional,internacional,Internacional,M,Football,football,1,80902,INT,False,False,0,1966,#cc0000,#cc0000,#cc0000,Copa Sudamericana,21.0
[],9,8,2,7,10,834926,4,2,8,Fortaleza,fortaleza,Fortaleza,M,Football,football,1,61987,FOR,False,False,0,2020,#0000ff,#ff0000,#ff0000,Copa Sudamericana,21.0
[],10,8,2,9,12,834925,5,1,7,Fluminense,fluminense,Fluminense,M,Football,football,1,93910,FLU,False,False,0,1961,#660000,#006633,#006633,Copa Sudamericana,21.0
[],11,8,2,8,11,834918,5,1,7,Athletico,athletico,Athletico,M,Football,football,1,64168,CAP,False,False,0,1967,#000000,#cc0000,#cc0000,Copa Libertadores Qualification,20.0
[],12,9,2,7,14,834927,6,1,7,Goiás,goias,Goiás,M,Football,football,1,33455,GGO,False,False,0,1960,#006633,#ffffff,#ffffff,,
[],13,9,2,5,12,834932,6,1,7,Corinthians,corinthians,Corinthians,M,Football,football,1,161531,COR,False,False,0,1957,#ffffff,#000000,#000000,,
[],14,7,1,8,10,834929,2,4,7,Red Bull Bragantino,red-bull-bragantino,RB Bragantino,M,Football,football,1,49385,BRA,False,False,0,1999,#363636,#d8d8d6,#d8d8d6,Copa Sudamericana,21.0
[],15,7,1,7,13,834921,4,2,5,Vasco,vasco,Vasco,M,Football,football,1,84261,VDG,False,False,0,1974,#ffffff,#000000,#000000,Relegation,3.0
[],16,8,1,4,12,834924,5,2,5,Bahia,bahia,Bahia,M,Football,football,1,55741,BAH,False,False,0,1955,#ffffff,#333399,#333399,Relegation,3.0
[],17,8,1,8,19,834919,5,2,5,Coritiba,coritiba,Coritiba,M,Football,football,1,32452,COR,False,False,0,1982,#ffffff,#009966,#009966,Relegation,3.0
[],18,7,1,3,12,834930,5,1,4,Santos,santos,Santos,M,Football,football,1,80387,SAN,False,False,0,1968,#ffffff,#ffffff,#ffffff,,
[],19,8,0,5,9,834931,4,4,4,São Paulo,sao-paulo,São Paulo,M,Football,football,1,144593,SPA,False,False,0,1981,#ffffff,#000000,#000000,Copa Libertadores Qualification,20.0
[],20,8,0,9,19,834915,5,3,3,América Mineiro,america-mineiro,América-MG,M,Football,football,1,39882,AMG,False,False,0,1973,#056635,#ffffff,#ffffff,Relegation,3.0
