shirtNumber,jerseyNumber,position,substitute,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.goodHighClaim,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.totalKeeperSweeper,statistics.accurateKeeperSweeper,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.totalCross,statistics.aerialWon,statistics.duelLost,statistics.duelWon,statistics.challengeLost,statistics.dispossessed,statistics.totalContest,statistics.blockedScoringAttempt,statistics.totalClearance,statistics.totalTackle,player.firstName,player.lastName,statistics.outfielderBlock,statistics.interceptionWon,statistics.aerialLost,statistics.shotOffTarget,statistics.fouls,statistics.keyPass,statistics.accurateCross,statistics.wonContest,statistics.wasFouled,captain,statistics.goalAssist,statistics.onTargetScoringAttempt,statistics.goals,statistics.totalOffside,team,player_type,statistics.bigChanceCreated,statistics.punches,statistics.hitWoodwork,statistics.bigChanceMissed
67,67,G,True,Benjamin Martino,benjamin-martino,B. Martino,G,3,1035506,US,USA,EUR,1031875200,,,,,,,,,,,,,,,,,,,,,,,,,,Benjamin Martino,,,,,,,,,,,,,,,,home,substitute,,,,
16,16,M,True,Laurence Wyke,laurence-wyke,L. Wyke,D,12,1022104,EN,England,EUR,843177600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,
24,24,M,True,Ján Greguš,jan-gregus,J. Greguš,M,141,72903,SK,Slovakia,EUR,665107200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,
26,26,M,True,Luke Haakenson,luke-haakenson,L. Haakenson,M,13,1015185,US,USA,EUR,873849600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,
27,27,M,True,Tah Anunga,tah-anunga,T. Anunga,M,27,881501,CM,Cameroon,EUR,839635200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,
11,11,F,True,Ethan Zubak,ethan-zubak,E. Zubak,F,25,937124,US,USA,EUR,892598400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,
22,22,G,False,William Yarbrough,william-yarbrough,W. Yarbrough,G,83,246097,US,USA,EUR,606355200,24.0,20.0,10.0,6.0,,2.0,4.0,1.0,1.0,90.0,39.0,7.4,4.0,7.4,7.3,,,,,,,,,3.0,,,,,,,,,1.0,,,,True,,,,,away,main,1.0,2.0,,
2,2,D,False,Keegan Rosenberry,keegan-rosenberry,K. Rosenberry,D,61,829556,US,USA,EUR,755568000,41.0,34.0,8.0,4.0,,,,,,90.0,66.0,6.5,12.0,6.5,6.3,4.0,,3.0,,1.0,1.0,,,2.0,,,,,,1.0,,,,1.0,,,,,1.0,,,away,main,,,,
5,5,D,False,Andreas Maxsø,andreas-maxso,A. Maxsø,D,122,287941,DK,Denmark,EUR,763948800,42.0,39.0,7.0,5.0,,,,,,90.0,51.0,6.6,4.0,6.6,6.6,,1.0,1.0,2.0,,,,,5.0,1.0,,,,,1.0,,,,,,,,,,,,away,main,,,,
4,4,D,False,Danny Wilson,danny-wilson,D. Wilson,D,53,49245,SX,Scotland,EUR,693792000,49.0,42.0,9.0,4.0,,,,,,90.0,64.0,6.6,9.0,6.6,6.5,,3.0,5.0,4.0,1.0,1.0,,,4.0,1.0,,,1.0,2.0,2.0,,1.0,,,,,,,,,,away,main,,,,
