customId,winnerCode,hasGlobalHighlights,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,changes.changeTimestamp,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,homeRedCards,awayRedCards,coverage
rDrsFCRb,1,False,False,9697906,1628006400,hnk-gorica-nk-varazdin,False,Club Friendly Games,club-friendly-games,World,world,"{'name': 'Football', 'slug': 'football', 'id': 1}",1468,international,,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,"{'name': 'World', 'slug': 'world', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 1468, 'flag': 'international'}",40028,853,False,False,False,False,0,86,,100,Ended,finished,HNK Gorica,hnk-gorica,Gorica,M,Football,football,1,10172,GOR,False,False,0,43917,[],#ff0000,#ffffff,#ffffff,NK Varaždin,nk-varazdin,Varaždin,M,Football,football,1,8362,VAR,False,False,0,231380,[],#004194,#ffffff,#ffffff,1628012022,,,,2.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,,,1628008980.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2']",,,
rDrsFCRb,3,True,False,8854696,1618066800,hnk-gorica-nk-varazdin,False,HNL,hnl,Croatia,croatia,"{'name': 'Football', 'slug': 'football', 'id': 1}",14,croatia,HR,HNL,hnl,#c61a18,#f83044,"{'name': 'Croatia', 'slug': 'croatia', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 14, 'flag': 'croatia', 'alpha2': 'HR'}",38341,170,True,False,True,False,344,48,28.0,100,Ended,finished,HNK Gorica,hnk-gorica,Gorica,M,Football,football,1,10172,GOR,False,False,0,43917,[],#ff0000,#ffffff,#ffffff,NK Varaždin,nk-varazdin,Varaždin,M,Football,football,1,8362,VAR,False,False,0,231380,[],#004194,#ffffff,#ffffff,1618073524,True,True,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,1.0,4.0,1618073519.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",,,3.0
rDrsFCRb,1,True,False,8854698,1612360800,hnk-gorica-nk-varazdin,False,HNL,hnl,Croatia,croatia,"{'name': 'Football', 'slug': 'football', 'id': 1}",14,croatia,HR,HNL,hnl,#c61a18,#f83044,"{'name': 'Croatia', 'slug': 'croatia', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 14, 'flag': 'croatia', 'alpha2': 'HR'}",38341,170,True,False,True,False,344,48,19.0,100,Ended,finished,NK Varaždin,nk-varazdin,Varaždin,M,Football,football,1,8362,VAR,False,False,0,231380,[],#004194,#ffffff,#ffffff,HNK Gorica,hnk-gorica,Gorica,M,Football,football,1,10172,GOR,False,False,0,43917,[],#ff0000,#ffffff,#ffffff,1612367508,True,True,1.0,2.0,2.0,0.0,,2.0,1.0,1.0,1.0,,1.0,,5.0,1612367503.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",,,3.0
rDrsFCRb,1,True,False,8854624,1606150800,hnk-gorica-nk-varazdin,False,HNL,hnl,Croatia,croatia,"{'name': 'Football', 'slug': 'football', 'id': 1}",14,croatia,HR,HNL,hnl,#c61a18,#f83044,"{'name': 'Croatia', 'slug': 'croatia', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 14, 'flag': 'croatia', 'alpha2': 'HR'}",38341,170,True,False,True,False,344,48,10.0,100,Ended,finished,HNK Gorica,hnk-gorica,Gorica,M,Football,football,1,10172,GOR,False,False,0,43917,[],#ff0000,#ffffff,#ffffff,NK Varaždin,nk-varazdin,Varaždin,M,Football,football,1,8362,VAR,False,False,0,231380,[],#004194,#ffffff,#ffffff,1618310322,True,True,1.0,1.0,1.0,1.0,,1.0,0.0,0.0,0.0,,0.0,,,1606154762.0,"['homeScore.period2', 'awayScore.period2']",,,3.0
rDrsFCRb,2,True,False,8817141,1597428000,hnk-gorica-nk-varazdin,False,HNL,hnl,Croatia,croatia,"{'name': 'Football', 'slug': 'football', 'id': 1}",14,croatia,HR,HNL,hnl,#c61a18,#f83044,"{'name': 'Croatia', 'slug': 'croatia', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 14, 'flag': 'croatia', 'alpha2': 'HR'}",38341,170,True,False,True,False,344,48,1.0,100,Ended,finished,NK Varaždin,nk-varazdin,Varaždin,M,Football,football,1,8362,VAR,False,False,0,231380,[],#004194,#ffffff,#ffffff,HNK Gorica,hnk-gorica,Gorica,M,Football,football,1,10172,GOR,False,False,0,43917,[],#ff0000,#ffffff,#ffffff,1597434858,True,True,1.0,1.0,1.0,0.0,,1.0,5.0,5.0,1.0,,5.0,3.0,4.0,1597434849.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",,,-1.0
rDrsFCRb,2,True,False,8656819,1594404000,hnk-gorica-nk-varazdin,False,HNL,hnl,Croatia,croatia,"{'name': 'Football', 'slug': 'football', 'id': 1}",14,croatia,HR,HNL,hnl,#c61a18,#f83044,"{'name': 'Croatia', 'slug': 'croatia', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 14, 'flag': 'croatia', 'alpha2': 'HR'}",38341,170,True,False,True,False,344,48,34.0,100,Ended,finished,HNK Gorica,hnk-gorica,Gorica,M,Football,football,1,10172,GOR,False,False,0,43917,[],#ff0000,#ffffff,#ffffff,NK Varaždin,nk-varazdin,Varaždin,M,Football,football,1,8362,VAR,False,False,0,231380,[],#004194,#ffffff,#ffffff,1594410848,,,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,,1.0,1.0,7.0,1594410842.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",,,3.0
rDrsFCRb,1,False,False,8674321,1590847200,hnk-gorica-nk-varazdin,False,Club Friendly Games,club-friendly-games,World,world,"{'name': 'Football', 'slug': 'football', 'id': 1}",1468,international,,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,"{'name': 'World', 'slug': 'world', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 1468, 'flag': 'international'}",40028,853,False,False,False,False,0,86,,100,Ended,finished,HNK Gorica,hnk-gorica,Gorica,M,Football,football,1,10172,GOR,False,False,0,43917,[],#ff0000,#ffffff,#ffffff,NK Varaždin,nk-varazdin,Varaždin,M,Football,football,1,8362,VAR,False,False,0,231380,[],#004194,#ffffff,#ffffff,1590856361,,,,5.0,5.0,1.0,4.0,5.0,1.0,1.0,0.0,1.0,1.0,,,1590850440.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",,,-1.0
rDrsFCRb,3,True,False,8244665,1583337600,hnk-gorica-nk-varazdin,False,HNL,hnl,Croatia,croatia,"{'name': 'Football', 'slug': 'football', 'id': 1}",14,croatia,HR,HNL,hnl,#c61a18,#f83044,"{'name': 'Croatia', 'slug': 'croatia', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 14, 'flag': 'croatia', 'alpha2': 'HR'}",38341,170,True,False,True,False,344,48,25.0,100,Ended,finished,NK Varaždin,nk-varazdin,Varaždin,M,Football,football,1,8362,VAR,False,False,0,231380,[],#004194,#ffffff,#ffffff,HNK Gorica,hnk-gorica,Gorica,M,Football,football,1,10172,GOR,False,False,0,43917,[],#ff0000,#ffffff,#ffffff,1583344909,,,,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,,,1583344262.0,"['homeScore.period2', 'awayScore.period2', 'awayScore.normaltime']",,,3.0
rDrsFCRb,1,True,False,8244630,1574517600,hnk-gorica-nk-varazdin,False,HNL,hnl,Croatia,croatia,"{'name': 'Football', 'slug': 'football', 'id': 1}",14,croatia,HR,HNL,hnl,#c61a18,#f83044,"{'name': 'Croatia', 'slug': 'croatia', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 14, 'flag': 'croatia', 'alpha2': 'HR'}",38341,170,True,False,True,False,344,48,16.0,100,Ended,finished,HNK Gorica,hnk-gorica,Gorica,M,Football,football,1,10172,GOR,False,False,0,43917,[],#ff0000,#ffffff,#ffffff,NK Varaždin,nk-varazdin,Varaždin,M,Football,football,1,8362,VAR,False,False,0,231380,[],#004194,#ffffff,#ffffff,1574524215,,,,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,,0.0,1.0,3.0,1574524213.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",,,3.0
rDrsFCRb,2,True,False,8244582,1567353600,hnk-gorica-nk-varazdin,False,HNL,hnl,Croatia,croatia,"{'name': 'Football', 'slug': 'football', 'id': 1}",14,croatia,HR,HNL,hnl,#c61a18,#f83044,"{'name': 'Croatia', 'slug': 'croatia', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 14, 'flag': 'croatia', 'alpha2': 'HR'}",38341,170,True,False,True,False,344,48,7.0,100,Ended,finished,NK Varaždin,nk-varazdin,Varaždin,M,Football,football,1,8362,VAR,False,False,0,231380,[],#004194,#ffffff,#ffffff,HNK Gorica,hnk-gorica,Gorica,M,Football,football,1,10172,GOR,False,False,0,43917,[],#ff0000,#ffffff,#ffffff,1611228005,,,,1.0,1.0,1.0,,1.0,3.0,3.0,1.0,,3.0,2.0,3.0,1567360162.0,"['homeScore.period2', 'awayScore.period2']",,,3.0
rDrsFCRb,1,False,False,7762127,1524918600,hnk-gorica-nk-varazdin,False,Prva NL,prva-nl,Croatia,croatia,"{'name': 'Football', 'slug': 'football', 'id': 1}",14,croatia,HR,1. NL,1-nl,#231d58,#da261b,"{'name': 'Croatia', 'slug': 'croatia', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 14, 'flag': 'croatia', 'alpha2': 'HR'}",4423,724,False,False,True,False,0,4772,29.0,100,Ended,finished,HNK Gorica,hnk-gorica,Gorica,M,Football,football,1,10172,GOR,False,False,0,43917,[],#ff0000,#ffffff,#ffffff,NK Varaždin,nk-varazdin,Varaždin,M,Football,football,1,8362,VAR,False,False,0,231380,[],#004194,#ffffff,#ffffff,1524933979,,,,4.0,4.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,2.0,,,1524922680.0,['cardsCode'],,,-1.0
rDrsFCRb,1,False,False,7515701,1511611200,hnk-gorica-nk-varazdin,False,Prva NL,prva-nl,Croatia,croatia,"{'name': 'Football', 'slug': 'football', 'id': 1}",14,croatia,HR,1. NL,1-nl,#231d58,#da261b,"{'name': 'Croatia', 'slug': 'croatia', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 14, 'flag': 'croatia', 'alpha2': 'HR'}",4423,724,False,False,True,False,0,4772,18.0,100,Ended,finished,NK Varaždin,nk-varazdin,Varaždin,M,Football,football,1,8362,VAR,False,False,0,231380,[],#004194,#ffffff,#ffffff,HNK Gorica,hnk-gorica,Gorica,M,Football,football,1,10172,GOR,False,False,0,43917,[],#ff0000,#ffffff,#ffffff,1511635612,,,,3.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,,2.0,1511617632.0,['cardsCode'],,,-1.0
rDrsFCRb,2,False,False,7515779,1506177000,hnk-gorica-nk-varazdin,False,Prva NL,prva-nl,Croatia,croatia,"{'name': 'Football', 'slug': 'football', 'id': 1}",14,croatia,HR,1. NL,1-nl,#231d58,#da261b,"{'name': 'Croatia', 'slug': 'croatia', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 14, 'flag': 'croatia', 'alpha2': 'HR'}",4423,724,False,False,True,False,0,4772,7.0,100,Ended,finished,HNK Gorica,hnk-gorica,Gorica,M,Football,football,1,10172,GOR,False,False,0,43917,[],#ff0000,#ffffff,#ffffff,NK Varaždin,nk-varazdin,Varaždin,M,Football,football,1,8362,VAR,False,False,0,231380,[],#004194,#ffffff,#ffffff,1506183967,,,,1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,,4.0,1506183784.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",,,-1.0
