shirtNumber,jerseyNumber,position,substitute,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,team,player_type
16,16,G,False,Konstantin Rudenok,,,konstantin-rudenok,K. Rudenok,G,2,147419,BY,Belarus,EUR,661219200.0,home,main
33,33,D,False,Sergei Karpovich,,,sergei-karpovich,S. Karpovich,D,1,94112,BY,Belarus,EUR,764899200.0,home,main
20,20,D,False,Ivan Sadovnichy,,,ivan-sadovnichy,I. Sadovnichy,D,3,117444,BY,Belarus,EUR,546825600.0,home,main
5,5,D,False,Egor Parkhomenko,,,egor-parkhomenko,E. Parkhomenko,D,1,1046583,BY,Belarus,EUR,1041897600.0,home,main
8,8,D,False,Yuri Pantya,,,yuri-pantya,Y. Pantya,D,13,793501,UA,Ukraine,EUR,639273600.0,home,main
22,22,M,False,Alimardon Shukurov,,,alimardon-shukurov,A. Shukurov,M,31,997671,KG,Kyrgyzstan,EUR,938476800.0,home,main
47,47,D,False,Mikhail Kozlov,,,mikhail-kozlov,M. Kozlov,D,2,110653,BY,Belarus,EUR,634780800.0,home,main
15,15,M,False,Oleg Evdokimov,,,oleg-evdokimov,O. Evdokimov,M,2,283067,BY,Belarus,EUR,762134400.0,home,main
88,88,F,False,Pavel Savitski,,,pavel-savitski,P. Savitski,F,38,135205,BY,Belarus,EUR,773971200.0,home,main
7,7,F,False,Roman Papariga,Roman,Papariga,roman-papariga,R. Papariga,F,3,1126637,UA,Ukraine,EUR,931478400.0,home,main
17,17,F,False,Egor Zubovich,,,egor-zubovich,E. Zubovich,F,6,335005,BY,Belarus,EUR,612662400.0,home,main
12,12,G,True,Maksim Belov,,,maksim-belov,M. Belov,G,1,986184,BY,Belarus,EUR,924825600.0,home,substitute
35,35,G,True,Kirill Veydyger,,,kirill-veydyger,K. Veydyger,G,0,1137823,BY,Belarus,EUR,1023148800.0,home,substitute
14,14,D,True,Aleksandr Anyukevich,,,aleksandr-anyukevich,A. Anyukevich,D,1,69056,BY,Belarus,EUR,702864000.0,home,substitute
4,4,D,True,Andrey Vasiljev,,,andrey-vasiljev,A. Vasiljev,D,3,149167,RU,Russia,EUR,697766400.0,home,substitute
24,24,M,True,Andrey Yakimov,,,andrey-yakimov,A. Yakimov,M,5,100418,BY,Belarus,EUR,627264000.0,home,substitute
32,32,M,True,Yuri Pavlyukovets,,,yuri-pavlyukovets,Y. Pavlyukovets,M,1,843400,BY,Belarus,EUR,772416000.0,home,substitute
