customId,winnerCode,aggregatedWinnerCode,hasGlobalHighlights,hasEventPlayerStatistics,detailId,crowdsourcingDataDisplayEnabled,id,homeRedCards,previousLegEventId,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport,tournament.category.id,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,roundInfo.name,roundInfo.slug,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,homeScore.aggregated,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,awayScore.aggregated,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp
bzosiVQb,2,2.0,False,False,4,False,11363450,1.0,11363439.0,1689876000,progres-niederkorn-sc-gjilani,False,"UEFA Europa Conference League, Qualification",uefa-europa-conference-league-qualification,Europe,europe,"{'name': 'Football', 'slug': 'football', 'id': 1}",1465,europe,UEFA Europa Conference League,uefa-europa-conference-league,#04be15,"{'name': 'Europe', 'slug': 'europe', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 1465, 'flag': 'europe'}",247243,17015,True,False,False,False,513,93604,1,Qualification round 1,qualification-round-1,100,Ended,finished,SC Gjilani,sc-gjilani,Gjilani,M,Football,football,1,2464,GJI,False,0,229758,[],#ff0000,#ffffff,#ffffff,Progrès Niederkorn,progres-niederkorn,Progrès,M,Football,football,1,2490,NIE,False,0,36201,[],#eeee00,#eeee00,#eeee00,0,0,0,0,0,2.0,2,2,0,2,2,4.0,3,5,1689882811,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1689882815
bzosiVQb,3,,False,False,4,False,11363439,,,1689269400,progres-niederkorn-sc-gjilani,False,"UEFA Europa Conference League, Qualification",uefa-europa-conference-league-qualification,Europe,europe,"{'name': 'Football', 'slug': 'football', 'id': 1}",1465,europe,UEFA Europa Conference League,uefa-europa-conference-league,#04be15,"{'name': 'Europe', 'slug': 'europe', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 1465, 'flag': 'europe'}",247243,17015,True,False,False,False,513,93604,1,Qualification round 1,qualification-round-1,100,Ended,finished,Progrès Niederkorn,progres-niederkorn,Progrès,M,Football,football,1,2490,NIE,False,0,36201,[],#eeee00,#eeee00,#eeee00,SC Gjilani,sc-gjilani,Gjilani,M,Football,football,1,2464,GJI,False,0,229758,[],#ff0000,#ffffff,#ffffff,2,2,1,1,2,,2,2,0,2,2,,3,6,1689276263,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1689276266
