customId,winnerCode,hasGlobalHighlights,detailId,crowdsourcingDataDisplayEnabled,id,previousLegEventId,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport,tournament.category.id,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,roundInfo.name,roundInfo.slug,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.aggregated,awayScore.aggregated,changes.changeTimestamp,hasEventPlayerStatistics,changes.changes,aggregatedWinnerCode
grbseqp,0,False,4,False,11461741,11458115.0,1690914600,balzanc-neman-grodno,False,"UEFA Europa Conference League, Qualification",uefa-europa-conference-league-qualification,Europe,europe,"{'name': 'Football', 'slug': 'football', 'id': 1}",1465,europe,UEFA Europa Conference League,uefa-europa-conference-league,#04be15,"{'name': 'Europe', 'slug': 'europe', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 1465, 'flag': 'europe'}",247243,17015,True,False,False,False,513,93604,2,Qualification round 2,qualification-round-2,0,Not started,notstarted,Balzan F.C.,balzan-fc,Balzan,M,Football,football,1,1731,BAL,False,0,38304,[],#ff0000,#000000,#000000,Neman Grodno,neman-grodno,Neman Grodno,M,Football,football,1,3393,NEM,False,0,3356,[],#fff24b,#099d66,#099d66,0.0,0.0,0,,,
grbseqp,0,False,4,False,11458115,,1690394400,balzanc-neman-grodno,False,"UEFA Europa Conference League, Qualification",uefa-europa-conference-league-qualification,Europe,europe,"{'name': 'Football', 'slug': 'football', 'id': 1}",1465,europe,UEFA Europa Conference League,uefa-europa-conference-league,#04be15,"{'name': 'Europe', 'slug': 'europe', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 1465, 'flag': 'europe'}",247243,17015,True,False,False,False,513,93604,2,Qualification round 2,qualification-round-2,0,Not started,notstarted,Neman Grodno,neman-grodno,Neman Grodno,M,Football,football,1,3393,NEM,False,0,3356,[],#fff24b,#099d66,#099d66,Balzan F.C.,balzan-fc,Balzan,M,Football,football,1,1731,BAL,False,0,38304,[],#ff0000,#000000,#000000,,,1690390552,False,['cardsCode'],
grbseqp,0,False,4,False,11458061,11458115.0,1690394400,balzanc-neman-grodno,False,"UEFA Europa Conference League, Qualification",uefa-europa-conference-league-qualification,Europe,europe,"{'name': 'Football', 'slug': 'football', 'id': 1}",1465,europe,UEFA Europa Conference League,uefa-europa-conference-league,#04be15,"{'name': 'Europe', 'slug': 'europe', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 1465, 'flag': 'europe'}",247243,17015,True,False,False,False,513,93604,2,Qualification round 2,qualification-round-2,60,Postponed,postponed,Balzan F.C.,balzan-fc,Balzan,M,Football,football,1,1731,BAL,False,0,38304,[],#ff0000,#000000,#000000,Neman Grodno,neman-grodno,Neman Grodno,M,Football,football,1,3393,NEM,False,0,3356,[],#fff24b,#099d66,#099d66,0.0,0.0,1689954037,,"['status.code', 'status.description', 'status.type', 'homeScore.aggregated', 'awayScore.aggregated']",3.0
