name,home,away,compareCode,groupName
Ball possession,37%,63%,2,Possession
Total shots,11,11,3,Shots
Shots on target,5,3,1,Shots
Shots off target,4,6,2,Shots
Blocked shots,2,2,3,Shots
Corner kicks,3,4,2,TVData
Offsides,3,0,1,TVData
Fouls,10,10,3,TVData
Yellow cards,2,1,1,TVData
Free kicks,10,10,3,TVData
Throw-ins,26,22,1,TVData
Goal kicks,13,9,1,TVData
Hit woodwork,0,1,2,Shots extra
Counter attacks,0,1,2,Shots extra
Counter attack shots,0,1,2,Shots extra
Shots inside box,1,7,2,Shots extra
Shots outside box,10,4,1,Shots extra
Goalkeeper saves,2,4,2,Shots extra
Passes,330,558,2,Passes
Accurate passes,224 (68%),450 (81%),2,Passes
Long balls,20/59 (34%),26/59 (44%),2,Passes
Crosses,1/7 (14%),5/19 (26%),2,Passes
Dribbles,7/17 (41%),9/17 (53%),2,Duels
Possession lost,150,164,2,Duels
Duels won,51,55,2,Duels
Aerials won,19,21,2,Duels
Tackles,15,15,3,Defending
Interceptions,11,10,1,Defending
Clearances,19,4,1,Defending
Ball possession,41%,59%,2,Possession
Total shots,8,5,1,Shots
Shots on target,3,1,1,Shots
Shots off target,4,2,1,Shots
Blocked shots,1,2,2,Shots
Corner kicks,1,2,2,TVData
Offsides,1,0,1,TVData
Yellow cards,1,0,1,TVData
Free kicks,4,6,2,TVData
Throw-ins,16,12,1,TVData
Goal kicks,6,7,2,TVData
Hit woodwork,0,0,3,Shots extra
Counter attacks,0,0,3,Shots extra
Counter attack shots,0,0,3,Shots extra
Shots inside box,1,3,2,Shots extra
Shots outside box,7,2,1,Shots extra
Goalkeeper saves,1,2,2,Shots extra
Passes,172,245,2,Passes
Accurate passes,128 (74%),201 (82%),2,Passes
Long balls,12/32 (38%),14/29 (48%),2,Passes
Crosses,0/1 (0%),2/8 (25%),2,Passes
Dribbles,4/10 (40%),6/12 (50%),2,Duels
Possession lost,58,70,2,Duels
Duels won,21,27,2,Duels
Aerials won,5,8,2,Duels
Tackles,8,7,1,Defending
Interceptions,4,4,3,Defending
Clearances,8,1,1,Defending
Ball possession,33%,67%,2,Possession
Total shots,3,6,2,Shots
Shots on target,2,2,3,Shots
Shots off target,0,4,2,Shots
Blocked shots,1,0,1,Shots
Corner kicks,2,2,3,TVData
Offsides,2,0,1,TVData
Yellow cards,1,1,3,TVData
Free kicks,6,4,1,TVData
Throw-ins,10,10,3,TVData
Goal kicks,7,2,1,TVData
Hit woodwork,0,1,2,Shots extra
Counter attacks,0,1,2,Shots extra
Counter attack shots,0,1,2,Shots extra
Shots inside box,0,4,2,Shots extra
Shots outside box,3,2,1,Shots extra
Goalkeeper saves,1,2,2,Shots extra
Passes,158,313,2,Passes
Accurate passes,96 (61%),249 (80%),1,Passes
Long balls,8/27 (30%),12/30 (40%),2,Passes
Crosses,1/6 (17%),3/11 (27%),2,Passes
Dribbles,3/7 (43%),3/5 (60%),2,Duels
Possession lost,92,94,2,Duels
Duels won,30,28,1,Duels
Aerials won,14,13,1,Duels
Tackles,7,8,2,Defending
Interceptions,7,6,1,Defending
Clearances,11,3,1,Defending
