name,home,away,compareCode,groupName
Ball possession,42%,58%,2,Possession
Total shots,13,11,1,Shots
Shots on target,8,4,1,Shots
Shots off target,5,4,1,Shots
Blocked shots,0,3,2,Shots
Corner kicks,3,6,2,TVData
Offsides,3,5,2,TVData
Fouls,17,15,1,TVData
Yellow cards,1,2,2,TVData
Red cards,0,1,2,TVData
Free kicks,15,17,2,TVData
Throw-ins,12,20,2,TVData
Goal kicks,10,6,1,TVData
Big chances,1,0,1,Shots extra
Big chances missed,1,0,1,Shots extra
Shots inside box,6,5,1,Shots extra
Shots outside box,7,6,1,Shots extra
Goalkeeper saves,4,5,2,Shots extra
Passes,414,572,2,Passes
Accurate passes,361 (87%),519 (91%),2,Passes
Long balls,18/39 (46%),33/54 (61%),2,Passes
Crosses,4/12 (33%),2/17 (12%),1,Passes
Dribbles,6/16 (38%),16/24 (67%),2,Duels
Possession lost,91,108,2,Duels
Duels won,43,48,2,Duels
Aerials won,6,2,1,Duels
Tackles,16,13,1,Defending
Interceptions,8,12,2,Defending
Clearances,21,6,1,Defending
Ball possession,40%,60%,2,Possession
Total shots,5,2,1,Shots
Shots on target,2,0,1,Shots
Shots off target,3,1,1,Shots
Blocked shots,0,1,2,Shots
Corner kicks,2,2,3,TVData
Offsides,2,3,2,TVData
Yellow cards,0,1,2,TVData
Red cards,0,0,3,TVData
Free kicks,7,11,2,TVData
Throw-ins,6,7,2,TVData
Goal kicks,3,4,2,TVData
Big chances,0,0,3,Shots extra
Big chances missed,0,0,3,Shots extra
Shots inside box,2,0,1,Shots extra
Shots outside box,3,2,1,Shots extra
Goalkeeper saves,0,2,2,Shots extra
Passes,215,327,2,Passes
Accurate passes,190 (88%),298 (91%),2,Passes
Long balls,8/18 (44%),22/34 (65%),2,Passes
Crosses,3/6 (50%),1/6 (17%),1,Passes
Dribbles,3/7 (43%),10/12 (83%),2,Duels
Possession lost,44,51,2,Duels
Duels won,18,29,2,Duels
Aerials won,3,2,1,Duels
Tackles,5,6,2,Defending
Interceptions,4,4,3,Defending
Clearances,11,3,1,Defending
Ball possession,45%,55%,2,Possession
Total shots,8,9,2,Shots
Shots on target,6,4,1,Shots
Shots off target,2,3,2,Shots
Blocked shots,0,2,2,Shots
Corner kicks,1,4,2,TVData
Offsides,1,2,2,TVData
Yellow cards,1,1,3,TVData
Red cards,0,1,2,TVData
Free kicks,8,6,1,TVData
Throw-ins,6,13,2,TVData
Goal kicks,7,2,1,TVData
Big chances,1,0,1,Shots extra
Big chances missed,1,0,1,Shots extra
Shots inside box,4,5,2,Shots extra
Shots outside box,4,4,3,Shots extra
Goalkeeper saves,4,3,1,Shots extra
Passes,199,245,2,Passes
Accurate passes,171 (86%),221 (90%),2,Passes
Long balls,10/21 (48%),11/20 (55%),2,Passes
Crosses,1/6 (17%),1/11 (9%),1,Passes
Dribbles,3/9 (33%),6/12 (50%),2,Duels
Possession lost,47,57,2,Duels
Duels won,25,19,1,Duels
Aerials won,3,0,1,Duels
Tackles,11,7,1,Defending
Interceptions,4,8,2,Defending
Clearances,10,3,1,Defending
