customId,winnerCode,hasGlobalHighlights,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,awayTeam.disabled,awayRedCards,homeTeam.disabled,roundInfo.name,roundInfo.slug,aggregatedWinnerCode,homeRedCards,homeScore.extra1,homeScore.extra2,homeScore.overtime,homeScore.penalties,awayScore.extra1,awayScore.extra2,awayScore.overtime,awayScore.penalties,coverage,hasEventPlayerStatistics,detailId,previousLegEventId,homeScore.aggregated,awayScore.aggregated
Ggcseqp,2,False,False,10877499,1675602000,hibernians-balzanc,False,Premier League,premier-league,Malta,malta,Football,football,1,134,malta,MT,Premier League,premier-league,#770081,#52005b,Malta,malta,Football,football,1,134,malta,MT,2943,False,False,629,False,False,0,932,18.0,100,Ended,finished,Hibernians,hibernians,Hibernians,M,Football,football,1,4184,HIB,False,0,5331,MT,Malta,[],#ffffff,#000000,#000000,Balzan F.C.,balzan-fc,Balzan,M,Football,football,1,1731,BAL,False,0,38304,MT,Malta,[],#ff0000,#000000,#000000,1.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,,4.0,1675608881.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1675608887,,,,,,,,,,,,,,,,,,,,,
Fgcseqp,0,False,False,11006073,1675872000,birkirkara-fc-balzanc,False,FA Trophy,fa-trophy,Malta,malta,Football,football,1,134,malta,MT,FA Trophy,fa-trophy,#010535,#0359da,Malta,malta,Football,football,1,134,malta,MT,708,False,False,633,False,False,0,5550,3.0,60,Postponed,postponed,Balzan F.C.,balzan-fc,Balzan,M,Football,football,1,1731,BAL,False,0,38304,MT,Malta,[],#ff0000,#000000,#000000,Birkirkara FC,birkirkara-fc,Birkirkara,M,Football,football,1,3284,BIR,False,0,5330,MT,Malta,[],#ff0000,#ffdd00,#ffdd00,,,,,,,,,,,,,,"['status.code', 'status.description', 'status.type']",1675857780,,,,Round 3,round-3,,,,,,,,,,,,,,,,
Cwnseqp,1,False,False,10877505,1676197800,balzanc-pieta-hotspurs-fc,False,Premier League,premier-league,Malta,malta,Football,football,1,134,malta,MT,Premier League,premier-league,#770081,#52005b,Malta,malta,Football,football,1,134,malta,MT,2943,False,False,629,False,False,0,932,19.0,100,Ended,finished,Balzan F.C.,balzan-fc,Balzan,M,Football,football,1,1731,BAL,False,0,38304,MT,Malta,[],#ff0000,#000000,#000000,Pietà Hotspurs FC,pieta-hotspurs-fc,Pietà H,M,Football,football,1,999,PIE,False,0,33577,MT,Malta,[],#003399,#ffffff,#ffffff,3.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,0.0,2.0,3.0,5.0,1676204674.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1676204676,,,,,,,,,,,,,,,,,,,,,
Fgcseqp,2,False,False,11052184,1676476800,birkirkara-fc-balzanc,False,FA Trophy,fa-trophy,Malta,malta,Football,football,1,134,malta,MT,FA Trophy,fa-trophy,#010535,#0359da,Malta,malta,Football,football,1,134,malta,MT,708,False,False,633,False,False,0,5550,3.0,120,AP,finished,Balzan F.C.,balzan-fc,Balzan,M,Football,football,1,1731,BAL,False,0,38304,MT,Malta,[],#ff0000,#000000,#000000,Birkirkara FC,birkirkara-fc,Birkirkara,M,Football,football,1,3284,BIR,False,0,5330,MT,Malta,[],#ff0000,#ffdd00,#ffdd00,6.0,2.0,0.0,2.0,2.0,7.0,2.0,1.0,1.0,2.0,,,1676486580.0,"['status.code', 'status.description', 'status.type', 'awayScore.current', 'awayScore.penalties']",1676487181,,1.0,,Round 3,round-3,2.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,,,,,,
eqpslqH,2,False,False,10877491,1676819700,sirens-fc-balzanc,False,Premier League,premier-league,Malta,malta,Football,football,1,134,malta,MT,Premier League,premier-league,#770081,#52005b,Malta,malta,Football,football,1,134,malta,MT,2943,False,False,629,False,False,0,932,20.0,100,Ended,finished,Sirens FC,sirens-fc,Sirens,M,Football,football,1,1070,SIR,False,0,80811,MT,Malta,[],#0000ff,#ffffff,#ffffff,Balzan F.C.,balzan-fc,Balzan,M,Football,football,1,1731,BAL,False,0,38304,MT,Malta,[],#ff0000,#000000,#000000,1.0,1.0,0.0,1.0,1.0,3.0,3.0,0.0,3.0,3.0,,,1676823420.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1676826391,,,,,,,,,,,,,,,,,,,,,
Jwnseqp,1,False,False,11061787,1678029300,balzanc-floriana-fc,False,Premier League,premier-league,Malta,malta,Football,football,1,134,malta,MT,Premier League,premier-league,#770081,#52005b,Malta,malta,Football,football,1,134,malta,MT,2943,False,False,629,False,False,0,932,21.0,100,Ended,finished,Balzan F.C.,balzan-fc,Balzan,M,Football,football,1,1731,BAL,False,0,38304,MT,Malta,[],#ff0000,#000000,#000000,Floriana FC,floriana-fc,Floriana,M,Football,football,1,2315,FLO,False,0,33584,MT,Malta,[],#009040,#ffffff,#ffffff,3.0,3.0,3.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,,3.0,1678035973.0,['cardsCode'],1678036010,,,,,,,,,,,,,,,,,,,,,
Hgcseqp,3,False,False,11119581,1678469400,valletta-fc-balzanc,False,Premier League,premier-league,Malta,malta,Football,football,1,134,malta,MT,Premier League,premier-league,#770081,#52005b,Malta,malta,Football,football,1,134,malta,MT,2943,False,False,629,False,False,0,41807,22.0,100,Ended,finished,Valletta FC,valletta-fc,Valletta,M,Football,football,1,2338,VAL,False,0,5332,MT,Malta,[],#b81101,#222226,#222226,Balzan F.C.,balzan-fc,Balzan,M,Football,football,1,1731,BAL,False,0,38304,MT,Malta,[],#ff0000,#000000,#000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1678475940.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2', 'time.currentPeriodStart']",1678475955,,,False,,,,,,,,,,,,,-1.0,,,,,
Iwnseqp,2,False,False,11127050,1680358500,balzanc-hamrun-spartans-fc,False,Premier League,premier-league,Malta,malta,Football,football,1,134,malta,MT,Premier League,premier-league,#770081,#52005b,Malta,malta,Football,football,1,134,malta,MT,2943,False,False,629,False,False,0,932,23.0,100,Ended,finished,Balzan F.C.,balzan-fc,Balzan,M,Football,football,1,1731,BAL,False,0,38304,MT,Malta,[],#ff0000,#000000,#000000,Ħamrun Spartans FC,hamrun-spartans-fc,Ħamrun S.,M,Football,football,1,7324,SPA,False,0,33583,MT,Malta,[],#ff0000,#000000,#000000,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,1.0,4.0,,,1680362419.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2', 'awayScore.normaltime', 'homeScore.normaltime', 'awayScore.current', 'awayScore.display', 'awayScore.normaltime']",1680365226,False,,,,,,,,,,,,,,,,,,,,
xwnseqp,2,False,False,11127040,1681142400,balzanc-mosta-fc,False,Premier League,premier-league,Malta,malta,Football,football,1,134,malta,MT,Premier League,premier-league,#770081,#52005b,Malta,malta,Football,football,1,134,malta,MT,2943,False,False,629,False,False,0,932,24.0,100,Ended,finished,Mosta FC,mosta-fc,Mosta,M,Football,football,1,1171,MOS,False,0,33572,MT,Malta,[],#3760ba,#ffffff,#ffffff,Balzan F.C.,balzan-fc,Balzan,M,Football,football,1,1731,BAL,False,0,38304,MT,Malta,[],#ff0000,#000000,#000000,2.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,3.0,2.0,4.0,1681149571.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681149574,,,,,,,1.0,,,,,,,,,,,,,,
eqpsCqy,2,False,False,11195164,1681571700,gzira-united-fc-balzanc,False,Premier League,premier-league,Malta,malta,Football,football,1,134,malta,MT,Premier League,premier-league,#770081,#52005b,Malta,malta,Football,football,1,134,malta,MT,2943,False,False,629,False,False,0,932,25.0,100,Ended,finished,Balzan F.C.,balzan-fc,Balzan,M,Football,football,1,1731,BAL,False,0,38304,MT,Malta,[],#ff0000,#000000,#000000,Gżira United FC,gzira-united-fc,Gżira Utd,M,Football,football,1,4611,GZI,False,0,58327,MT,Malta,[],#b9172c,#255cda,#255cda,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,4.0,1681578522.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681578524,False,,,,,,,,,,,,,,,,,,,,
Fgcseqp,1,False,False,11218694,1682092800,birkirkara-fc-balzanc,False,Premier League,premier-league,Malta,malta,Football,football,1,134,malta,MT,Premier League,premier-league,#770081,#52005b,Malta,malta,Football,football,1,134,malta,MT,2943,False,False,629,False,False,0,932,26.0,100,Ended,finished,Balzan F.C.,balzan-fc,Balzan,M,Football,football,1,1731,BAL,False,0,38304,MT,Malta,[],#ff0000,#000000,#000000,Birkirkara FC,birkirkara-fc,Birkirkara,M,Football,football,1,3284,BIR,False,0,5330,MT,Malta,[],#ff0000,#ffdd00,#ffdd00,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,,,1682099740.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1682099743,,,,,,,,,,,,,,,,,,,,,
Ggcseqp,2,False,False,11252460,1682942400,hibernians-balzanc,False,"Premier League, Decider",premier-league-decider,Malta,malta,Football,football,1,134,malta,MT,Premier League,premier-league,#770081,#52005b,Malta,malta,Football,football,1,134,malta,MT,2943,False,False,629,False,False,0,114338,1.0,110,AET,finished,Hibernians,hibernians,Hibernians,M,Football,football,1,4184,HIB,False,0,5331,MT,Malta,[],#ffffff,#000000,#000000,Balzan F.C.,balzan-fc,Balzan,M,Football,football,1,1731,BAL,False,0,38304,MT,Malta,[],#ff0000,#000000,#000000,2.0,2.0,0.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,,,1682950740.0,"['status.code', 'status.description', 'status.type', 'homeScore.extra2', 'awayScore.extra2']",1682952052,,,,Qualification round 1,qualification-round-1,2.0,1.0,0.0,0.0,0.0,,1.0,0.0,1.0,,,,,,,
eqpsGEr,3,False,False,11407280,1688648400,fk-radnicki-1923-balzanc,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,,40028,False,False,853,False,False,0,86,,100,Ended,finished,FK Radnički 1923,fk-radnicki-1923,Radnički 1923,M,Football,football,1,4010,RAD,False,0,43981,RS,Serbia,[],#ff0000,#888895,#888895,Balzan F.C.,balzan-fc,Balzan,M,Football,football,1,1731,BAL,False,0,38304,MT,Malta,[],#ff0000,#000000,#000000,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,1688654765.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688654768,,,False,,,,,,,,,,,,,,,,,,
tYseqp,2,False,False,11363478,1689267600,balzanc-nk-domzale,False,"UEFA Europa Conference League, Qualification",uefa-europa-conference-league-qualification,Europe,europe,Football,football,1,1465,europe,,UEFA Europa Conference League,uefa-europa-conference-league,,#04be15,Europe,europe,Football,football,1,1465,europe,,247243,False,False,17015,True,False,513,93604,1.0,100,Ended,finished,NK Domžale,nk-domzale,Domžale,M,Football,football,1,5392,DOM,False,0,2418,SI,Slovenia,[],#ffff00,#0099ff,#0099ff,Balzan F.C.,balzan-fc,Balzan,M,Football,football,1,1731,BAL,False,0,38304,MT,Malta,[],#ff0000,#000000,#000000,1.0,1.0,0.0,1.0,1.0,4.0,4.0,2.0,2.0,4.0,2.0,6.0,1689274608.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1689274610,,,,Qualification round 1,qualification-round-1,,1.0,,,,,,,,,,False,4.0,,,
tYseqp,2,False,False,11363432,1689701400,balzanc-nk-domzale,False,"UEFA Europa Conference League, Qualification",uefa-europa-conference-league-qualification,Europe,europe,Football,football,1,1465,europe,,UEFA Europa Conference League,uefa-europa-conference-league,,#04be15,Europe,europe,Football,football,1,1465,europe,,247243,False,False,17015,True,False,513,93604,1.0,110,AET,finished,Balzan F.C.,balzan-fc,Balzan,M,Football,football,1,1731,BAL,False,0,38304,MT,Malta,[],#ff0000,#000000,#000000,NK Domžale,nk-domzale,Domžale,M,Football,football,1,5392,DOM,False,0,2418,SI,Slovenia,[],#ffff00,#0099ff,#0099ff,1.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,2.0,3.0,,,1689710986.0,"['homeScore.extra1', 'homeScore.extra2', 'awayScore.extra1', 'awayScore.extra2', 'time.injuryTime1', 'time.injuryTime2', 'time.injuryTime3', 'time.injuryTime4']",1689711046,,,,Qualification round 1,qualification-round-1,1.0,1.0,1.0,0.0,1.0,,0.0,0.0,0.0,,,False,4.0,11363478.0,5.0,4.0
