customId,winnerCode,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,homeRedCards,awayRedCards,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,aggregatedWinnerCode,previousLegEventId,roundInfo.name,roundInfo.cupRoundType,homeTeam.gender,homeTeam.national,awayTeam.gender,awayTeam.national,homeScore.extra1,homeScore.extra2,homeScore.overtime,homeScore.aggregated,awayScore.extra1,awayScore.extra2,awayScore.overtime,awayScore.aggregated,time.injuryTime3,time.injuryTime4,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,homeScore.penalties,awayScore.penalties,coverage,choice_1,choice_X,choice_2
nRjcsDYrd,1,True,,,6.0,False,10912541,,,1680649500,club-atletico-la-paz-tlaxcala-fc,False,"Liga de Expansión MX, Clausura",liga-de-expansion-mx-clausura,Mexico,mexico,Football,football,1,12,mexico,MX,"Liga de Expansión MX, Clausura",liga-de-expansion-mx-clausura,Mexico,mexico,Football,football,1,12,mexico,MX,0,11612,False,False,False,False,0,90492,15.0,100,Ended,finished,Tlaxcala FC,tlaxcala-fc,Tlaxcala ,Football,football,1,0,TLA,False,0,274613,MX,Mexico,[],#52b030,#52b030,#ffffff,Club Atletico La Paz,club-atletico-la-paz,Club Atletico La Paz,Football,football,1,0,CLU,False,0,419928,MX,Mexico,[],#52b030,#52b030,#ffffff,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1680656172.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680656176,,,,,,,,,,,,,,,,,,,,,,,,2.15,3.4,3.5
GFosKFo,3,True,,,6.0,False,10912545,1.0,,1680656700,leones-negros-venados,False,"Liga de Expansión MX, Clausura",liga-de-expansion-mx-clausura,Mexico,mexico,Football,football,1,12,mexico,MX,"Liga de Expansión MX, Clausura",liga-de-expansion-mx-clausura,Mexico,mexico,Football,football,1,12,mexico,MX,0,11612,False,False,False,False,0,90492,15.0,100,Ended,finished,Venados,venados,Venados,Football,football,1,0,VDS,,0,36531,MX,Mexico,[],#52b030,#52b030,#ffffff,Leones Negros,leones-negros,Leones Negros,Football,football,1,0,LEN,,0,36535,MX,Mexico,[],#52b030,#52b030,#ffffff,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,6.0,1680663632.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680663634,,,,,,,,,,,,,,,,,,,,,,,,2.1,3.3,3.6
xFoseIed,3,True,,,6.0,False,10912543,,,1680663900,raya2-expansion-alacranes-de-durango,False,"Liga de Expansión MX, Clausura",liga-de-expansion-mx-clausura,Mexico,mexico,Football,football,1,12,mexico,MX,"Liga de Expansión MX, Clausura",liga-de-expansion-mx-clausura,Mexico,mexico,Football,football,1,12,mexico,MX,0,11612,False,False,False,False,0,90492,15.0,100,Ended,finished,Raya2 Expansión,raya2-expansion,Raya2 Expansión,Football,football,1,0,RAY,,0,386654,MX,Mexico,[],#52b030,#52b030,#ffffff,Alacranes de Durango,alacranes-de-durango,Alacranes,Football,football,1,0,ACR,,0,36522,MX,Mexico,[],#52b030,#52b030,#ffffff,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,4.0,1680670844.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680670846,,,,,,,,,,,,,,,,,,,,,,,,2.2,3.3,3.3
TaxsZax,3,True,,,,False,11173350,,,1680559200,moghreb-tetouan-difaa-hassani-el-jadidi,False,Botola Pro,botola-pro,Morocco,morocco,Football,football,1,303,morocco,MA,Botola Pro,botola-pro,Morocco,morocco,Football,football,1,303,morocco,MA,0,937,False,False,False,False,0,3640,21.0,100,Ended,finished,Difaâ Hassani El-Jadidi,difaa-hassani-el-jadidi,DHJ,Football,football,1,0,HAS,False,0,55043,MA,Morocco,[],#52b030,#52b030,#ffffff,Moghreb Tétouan,moghreb-tetouan,MA Tétouan,Football,football,1,0,MOT,False,0,55049,MA,Morocco,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1680565876.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680565878,,,,,,,,,,,,,,,,,,,,,,,,2.2,2.75,3.6
CaxsFTJ,1,True,,,,False,11173653,,,1680559200,ittihad-tanger-fath-union-sport,False,Botola Pro,botola-pro,Morocco,morocco,Football,football,1,303,morocco,MA,Botola Pro,botola-pro,Morocco,morocco,Football,football,1,303,morocco,MA,0,937,False,False,False,False,0,3640,21.0,100,Ended,finished,Ittihad Tanger,ittihad-tanger,Ittihad Tanger,Football,football,1,0,ITT,False,0,87180,MA,Morocco,[],#52b030,#52b030,#ffffff,Fath Union Sport,fath-union-sport,FUS Rabat,Football,football,1,0,FUS,False,0,55027,MA,Morocco,[],#52b030,#52b030,#ffffff,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1680566271.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1680566275,,,,,,,,,,,,,,,,,,,,,,,,3.2,2.9,2.2
MaxsNltb,2,True,,,,False,11173343,,,1680559200,olympic-safi-mc-oujda,False,Botola Pro,botola-pro,Morocco,morocco,Football,football,1,303,morocco,MA,Botola Pro,botola-pro,Morocco,morocco,Football,football,1,303,morocco,MA,0,937,False,False,False,False,0,3640,21.0,100,Ended,finished,MC Oujda,mc-oujda,Oujda,Football,football,1,0,MOO,False,0,170588,MA,Morocco,[],#52b030,#52b030,#ffffff,Olympic Safi,olympic-safi,OC Safi,Football,football,1,0,OLY,,0,55037,MA,Morocco,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,5.0,1680566100.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1680566104,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.75,2.38
KaxsXax,3,True,,,,False,11173352,,1.0,1680645600,olympique-de-khouribga-mas-de-fes,False,Botola Pro,botola-pro,Morocco,morocco,Football,football,1,303,morocco,MA,Botola Pro,botola-pro,Morocco,morocco,Football,football,1,303,morocco,MA,0,937,False,False,False,False,0,3640,21.0,100,Ended,finished,Olympique de Khouribga,olympique-de-khouribga,OC Khouribga,Football,football,1,0,KHO,False,0,55047,MA,Morocco,[],#52b030,#52b030,#ffffff,MAS de Fès,mas-de-fes,MAS,Football,football,1,0,MAG,False,0,55035,MA,Morocco,[],#52b030,#52b030,#ffffff,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,6.0,5.0,1680652809.0,"['homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1680652879,,,,,,,,,,,,,,,,,,,,,,,,2.38,2.7,3.25
VhHshcuc,2,True,,,,False,11173348,,,1680645600,rs-berkane-jeunesse-sportive-soualem,False,Botola Pro,botola-pro,Morocco,morocco,Football,football,1,303,morocco,MA,Botola Pro,botola-pro,Morocco,morocco,Football,football,1,303,morocco,MA,0,937,False,False,False,False,0,3640,21.0,100,Ended,finished,RS Berkane,rs-berkane,RS Berkane,Football,football,1,0,RSB,False,0,80395,MA,Morocco,[],#52b030,#52b030,#ffffff,Jeunesse Sportive Soualem,jeunesse-sportive-soualem,JS Soualem,Football,football,1,0,SOU,False,0,297607,MA,Morocco,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,6.0,1680652787.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680652789,,,,,,,,,,,,,,,,,,,,,,,,1.62,3.0,6.0
xfoseUo,2,False,,,,False,11101401,,,1680537600,resovia-rzeszow-gks-tychy,False,I Liga,i-liga,Poland,poland,Football,football,1,47,poland,PL,I Liga,i-liga,Poland,poland,Football,football,1,47,poland,PL,0,229,False,False,False,False,0,1427,25.0,100,Ended,finished,Resovia Rzeszów,resovia-rzeszow,Resovia Rzeszów,Football,football,1,0,RRZ,,0,37204,PL,Poland,[],#52b030,#52b030,#ffffff,GKS Tychy,gks-tychy,GKS Tychy,Football,football,1,0,TYC,,0,35272,PL,Poland,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,7.0,1680544767.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680544770,,,,,,,,,,,,,,,,,,,,,,,,2.3,3.2,2.8
gmbsukQb,2,False,,,,False,11100485,,,1680633000,legia-warszawa-kks-1925-kalisz,False,Puchar Polski,puchar-polski,Poland,poland,Football,football,1,47,poland,PL,Puchar Polski,puchar-polski,Poland,poland,Football,football,1,47,poland,PL,0,281,False,False,False,False,0,202,28.0,100,Ended,finished,KKS 1925 Kalisz,kks-1925-kalisz,KKS Kalisz,Football,football,1,0,KKS,False,0,228019,PL,Poland,[],#52b030,#52b030,#ffffff,Legia Warszawa,legia-warszawa,Legia,Football,football,1,0,LEG,False,0,3106,PL,Poland,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,,,1680640035.0,"['time.injuryTime1', 'time.injuryTime2']",1680640195,2.0,,Semifinal,2.0,,,,,,,,,,,,,,,,,,,,6.5,4.75,1.4
