name,home,away,compareCode,groupName
Ball possession,68%,32%,1,Possession
Total shots,15,7,1,Shots
Shots on target,7,5,1,Shots
Shots off target,3,0,1,Shots
Blocked shots,5,2,1,Shots
Corner kicks,6,2,1,TVData
Offsides,1,2,2,TVData
Fouls,11,15,2,TVData
Yellow cards,0,2,2,TVData
Free kicks,14,11,1,TVData
Throw-ins,20,15,1,TVData
Goal kicks,0,5,2,TVData
Big chances,3,1,1,Shots extra
Shots inside box,9,1,1,Shots extra
Shots outside box,6,6,3,Shots extra
Goalkeeper saves,4,1,1,Shots extra
Passes,634,297,1,Passes
Accurate passes,567 (89%),222 (75%),1,Passes
Long balls,28/49 (57%),20/50 (40%),1,Passes
Crosses,5/12 (42%),1/8 (13%),1,Passes
Dribbles,15/26 (58%),6/14 (43%),1,Duels
Possession lost,101,105,2,Duels
Duels won,43,36,1,Duels
Aerials won,3,3,3,Duels
Tackles,11,16,2,Defending
Interceptions,10,8,1,Defending
Clearances,10,7,1,Defending
Ball possession,64%,36%,1,Possession
Total shots,11,4,1,Shots
Shots on target,4,3,1,Shots
Shots off target,3,0,1,Shots
Blocked shots,4,1,1,Shots
Corner kicks,4,2,1,TVData
Offsides,0,0,3,TVData
Yellow cards,0,0,3,TVData
Free kicks,11,6,1,TVData
Throw-ins,15,7,1,TVData
Goal kicks,0,4,2,TVData
Big chances,1,0,1,Shots extra
Shots inside box,5,1,1,Shots extra
Shots outside box,6,3,1,Shots extra
Goalkeeper saves,3,1,1,Shots extra
Passes,286,157,1,Passes
Accurate passes,247 (86%),115 (73%),1,Passes
Long balls,15/30 (50%),12/29 (41%),1,Passes
Crosses,3/8 (38%),1/7 (14%),1,Passes
Dribbles,10/13 (77%),3/5 (60%),1,Duels
Possession lost,55,57,2,Duels
Duels won,27,17,1,Duels
Aerials won,2,2,3,Duels
Tackles,4,6,2,Defending
Interceptions,4,4,3,Defending
Clearances,7,5,1,Defending
Ball possession,71%,29%,1,Possession
Total shots,4,3,1,Shots
Shots on target,3,2,1,Shots
Shots off target,0,0,3,Shots
Blocked shots,1,1,3,Shots
Corner kicks,2,0,1,TVData
Offsides,1,2,2,TVData
Yellow cards,0,2,2,TVData
Free kicks,3,5,2,TVData
Throw-ins,5,8,2,TVData
Goal kicks,0,1,2,TVData
Big chances,2,1,1,Shots extra
Shots inside box,4,0,1,Shots extra
Shots outside box,0,3,2,Shots extra
Goalkeeper saves,1,0,1,Shots extra
Passes,348,140,1,Passes
Accurate passes,320 (92%),107 (76%),1,Passes
Long balls,13/19 (68%),8/21 (38%),1,Passes
Crosses,2/4 (50%),0/1 (0%),1,Passes
Dribbles,5/13 (38%),3/9 (33%),1,Duels
Possession lost,46,48,2,Duels
Duels won,16,19,2,Duels
Aerials won,1,1,3,Duels
Tackles,7,10,2,Defending
Interceptions,6,4,1,Defending
Clearances,3,2,1,Defending
