customId,winnerCode,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.userCount,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,roundInfo.name,roundInfo.cupRoundType,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,homeScore.extra1,homeScore.extra2,homeScore.overtime,homeScore.penalties,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,awayScore.extra1,awayScore.extra2,awayScore.overtime,awayScore.penalties,time.injuryTime1,time.injuryTime2,time.injuryTime3,time.injuryTime4,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,awayRedCards,tournament.category.alpha2,tournament.uniqueTournament.category.alpha2,aggregatedWinnerCode,homeRedCards,coverage,choice_1,choice_X,choice_2
iabsjPi,1,True,True,True,1.0,False,10952212,1688265000,houston-dynamo-seattle-sounders-fc,False,Major League Soccer,major-league-soccer,USA,usa,Football,football,1,26,usa,MLS,mls,USA,usa,Football,football,1,26,usa,0,False,False,242,True,False,326,18,,,,100,Ended,finished,Seattle Sounders FC,seattle-sounders-fc,Seattle,Football,football,1,0,SEA,,0,22009,US,USA,[],#52b030,#52b030,#ffffff,Houston Dynamo,houston-dynamo,Houston,Football,football,1,0,HOU,False,0,2508,US,USA,[],#52b030,#52b030,#ffffff,1.0,1.0,0.0,1.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,2.0,3.0,,,1688272322.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688272325,1.0,US,US,,,,1.85,3.5,4.2
VLiscUJ,1,False,True,True,1.0,False,11076439,1688171400,tombense-chapecoense,False,Brasileiro Série B,brasileiro-serie-b,Brazil,brazil,Football,football,1,13,brazil,Brasileiro Série B,brasileiro-serie-b,Brazil,brazil,Football,football,1,13,brazil,0,False,False,390,True,False,279,1449,15.0,,,100,Ended,finished,Tombense,tombense,Tombense,Football,football,1,0,TOM,False,0,87202,BR,Brazil,[],#52b030,#52b030,#ffffff,Chapecoense,chapecoense,Chapecoense,Football,football,1,0,CHA,False,0,21845,BR,Brazil,[],#52b030,#52b030,#ffffff,4.0,4.0,1.0,3.0,4.0,,,,,2.0,2.0,0.0,2.0,2.0,,,,,6.0,10.0,,,1688178662.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1688178666,1.0,BR,BR,,,,2.05,2.88,3.75
wPsoWc,3,True,True,True,1.0,False,11076425,1688238000,atletico-goianiense-vila-nova,False,Brasileiro Série B,brasileiro-serie-b,Brazil,brazil,Football,football,1,13,brazil,Brasileiro Série B,brasileiro-serie-b,Brazil,brazil,Football,football,1,13,brazil,0,False,False,390,True,False,279,1449,15.0,,,100,Ended,finished,Atlético Goianiense,atletico-goianiense,Atlético-GO,Football,football,1,0,GOI,False,0,7314,BR,Brazil,[],#52b030,#52b030,#ffffff,Vila Nova,vila-nova,Vila Nova,Football,football,1,0,VIN,False,0,2021,BR,Brazil,[],#52b030,#52b030,#ffffff,1.0,1.0,0.0,1.0,1.0,,,,,1.0,1.0,0.0,1.0,1.0,,,,,3.0,6.0,,,1688244919.0,"['homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1688245076,,BR,BR,,,,2.2,3.1,3.6
pWcsNLi,2,True,True,True,1.0,False,11076427,1688241600,avai-abc,False,Brasileiro Série B,brasileiro-serie-b,Brazil,brazil,Football,football,1,13,brazil,Brasileiro Série B,brasileiro-serie-b,Brazil,brazil,Football,football,1,13,brazil,0,False,False,390,True,False,279,1449,15.0,,,100,Ended,finished,Avaí,avai,Avaí,Football,football,1,0,AVA,False,0,7315,BR,Brazil,[],#52b030,#52b030,#ffffff,ABC,abc,ABC,Football,football,1,0,ABC,False,0,21838,BR,Brazil,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,,,,,2.0,2.0,1.0,1.0,2.0,,,,,2.0,6.0,,,1688248545.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688248547,,BR,BR,,,,1.85,3.1,5.0
JOsfP,2,True,True,True,1.0,False,11076435,1688241600,sampaio-correa-criciuma,False,Brasileiro Série B,brasileiro-serie-b,Brazil,brazil,Football,football,1,13,brazil,Brasileiro Série B,brasileiro-serie-b,Brazil,brazil,Football,football,1,13,brazil,0,False,False,390,True,False,279,1449,15.0,,,100,Ended,finished,Sampaio Corrêa,sampaio-correa,Sampaio Corrêa,Football,football,1,0,SCO,False,0,2005,BR,Brazil,[],#52b030,#52b030,#ffffff,Criciúma,criciuma,Criciúma,Football,football,1,0,CRI,False,0,1984,BR,Brazil,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,,,,,2.0,2.0,1.0,1.0,2.0,,,,,3.0,7.0,,,1688248826.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688248829,,BR,BR,,,,2.1,3.2,3.75
xPsHPi,1,True,True,True,1.0,False,11076441,1688246100,crb-londrina,False,Brasileiro Série B,brasileiro-serie-b,Brazil,brazil,Football,football,1,13,brazil,Brasileiro Série B,brasileiro-serie-b,Brazil,brazil,Football,football,1,13,brazil,0,False,False,390,True,False,279,1449,15.0,,,100,Ended,finished,CRB,crb,CRB,Football,football,1,0,BRA,,0,22032,BR,Brazil,[],#52b030,#52b030,#ffffff,Londrina,londrina,Londrina,Football,football,1,0,LON,False,0,2022,BR,Brazil,[],#52b030,#52b030,#ffffff,2.0,2.0,2.0,0.0,2.0,,,,,1.0,1.0,0.0,1.0,1.0,,,,,5.0,10.0,,,1688253392.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688253395,,BR,BR,,1.0,,1.75,3.4,5.0
rrbsyrb,2,False,True,True,1.0,False,11202910,1688290200,shanghai-shenhua-tianjin-jinmen-tiger,False,Chinese Super League,chinese-super-league,China,china,Football,football,1,99,china,CFA Super League,cfa-super-league,China,china,Football,football,1,99,china,0,False,False,649,True,False,251,652,14.0,,,100,Ended,finished,Shanghai Shenhua,shanghai-shenhua,Shenhua,Football,football,1,0,SHS,False,0,3373,CN,China,[],#52b030,#52b030,#ffffff,Tianjin Jinmen Tiger,tianjin-jinmen-tiger,Tianjin,Football,football,1,0,TTT,False,0,3367,CN,China,[],#52b030,#52b030,#ffffff,1.0,1.0,1.0,0.0,1.0,,,,,2.0,2.0,0.0,2.0,2.0,,,,,4.0,6.0,,,1688297429.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688297432,,CN,CN,,,,2.05,3.1,4.2
XTnsPDB,1,False,True,True,1.0,False,11202916,1688297700,cangzhou-mighty-lions-zhejiang,False,Chinese Super League,chinese-super-league,China,china,Football,football,1,99,china,CFA Super League,cfa-super-league,China,china,Football,football,1,99,china,0,False,False,649,True,False,251,652,14.0,,,100,Ended,finished,Cangzhou Mighty Lions,cangzhou-mighty-lions,Cangzhou,Football,football,1,0,CML,False,0,66440,CN,China,[],#52b030,#52b030,#ffffff,Zhejiang,zhejiang,Zhejiang,Football,football,1,0,ZHP,False,0,34697,CN,China,[],#52b030,#52b030,#ffffff,2.0,2.0,2.0,0.0,2.0,,,,,1.0,1.0,0.0,1.0,1.0,,,,,4.0,6.0,,,1688304625.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688304629,1.0,CN,CN,,,,3.0,3.4,2.38
VTnsLYu,3,False,True,True,1.0,False,11202911,1688297700,dalian-pro-qingdao-hainiu,False,Chinese Super League,chinese-super-league,China,china,Football,football,1,99,china,CFA Super League,cfa-super-league,China,china,Football,football,1,99,china,0,False,False,649,True,False,251,652,14.0,,,100,Ended,finished,Dalian Pro,dalian-pro,Dalian,Football,football,1,0,DAP,False,0,49936,CN,China,[],#52b030,#52b030,#ffffff,Qingdao Hainiu,qingdao-hainiu,Hainiu,Football,football,1,0,QIN,False,0,34695,CN,China,[],#52b030,#52b030,#ffffff,1.0,1.0,0.0,1.0,1.0,,,,,1.0,1.0,0.0,1.0,1.0,,,,,2.0,7.0,,,1688304932.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688304935,,CN,CN,,,,1.95,3.5,4.0
LdLbsDAac,3,False,True,True,1.0,False,11202909,1688297700,nantong-zhiyun-meizhou-hakka,False,Chinese Super League,chinese-super-league,China,china,Football,football,1,99,china,CFA Super League,cfa-super-league,China,china,Football,football,1,99,china,0,False,False,649,True,False,251,652,14.0,,,100,Ended,finished,Nantong Zhiyun,nantong-zhiyun,Nantong,Football,football,1,0,NAN,,0,251278,CN,China,[],#52b030,#52b030,#ffffff,Meizhou Hakka,meizhou-hakka,Meizhou,Football,football,1,0,MEI,,0,215186,CN,China,[],#52b030,#52b030,#ffffff,2.0,2.0,0.0,2.0,2.0,,,,,2.0,2.0,1.0,1.0,2.0,,,,,2.0,5.0,,,1688304760.0,"['homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1688305112,1.0,CN,CN,,,,1.91,3.4,4.2
