customId,winnerCode,hasGlobalHighlights,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,changes.changeTimestamp,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,homeTeam.disabled,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,homeScore.penalties,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,awayScore.penalties,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,homeRedCards,coverage,awayRedCards
WNszHFb,0,False,False,11341813,1693616400,juarez-fc-mazatlan-fc,False,"Liga MX, Apertura",liga-mx-apertura,Mexico,mexico,"{'name': 'Football', 'slug': 'football', 'id': 1}",12,mexico,MX,"Liga MX, Apertura",liga-mx-apertura,#cd2c25,#52b030,"{'name': 'Mexico', 'slug': 'mexico', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 12, 'flag': 'mexico', 'alpha2': 'MX'}",31118,11621,True,False,False,False,349,28,7,0,Not started,notstarted,Juárez FC,juarez-fc,Juárez,M,Football,football,1,7096,JUA,False,0,201624,[],#0ee762,#222226,#222226,Mazatlán FC,mazatlan-fc,Mazatlán ,M,Football,football,1,7615,MAZ,False,False,0,1946,[],#523278,#83dfec,#83dfec,0,,,,,,,,,,,,,,,,,,,,,,,
WNszHFb,1,True,False,11156276,1690335000,juarez-fc-mazatlan-fc,False,"Leagues Cup, Group South 1",leagues-cup-group-south-1,North & Central America,north-central-america,"{'name': 'Football', 'slug': 'football', 'id': 1}",1469,north-and-central-america,,Leagues Cup,leagues-cup,,#828282,"{'name': 'North & Central America', 'slug': 'north-central-america', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 1469, 'flag': 'north-and-central-america'}",12243,13783,True,False,False,False,270,112552,2,120,AP,finished,Mazatlán FC,mazatlan-fc,Mazatlán ,M,Football,football,1,7615,MAZ,False,0,1946,[],#523278,#83dfec,#83dfec,Juárez FC,juarez-fc,Juárez,M,Football,football,1,7096,JUA,,False,0,201624,[],#0ee762,#222226,#222226,1690343240,True,True,1.0,False,5.0,1.0,0.0,1.0,1.0,4.0,3.0,1.0,1.0,0.0,1.0,2.0,3.0,4.0,1690343158.0,"['homeScore.normaltime', 'awayScore.normaltime']",,,
WNszHFb,2,True,False,10911754,1675479900,juarez-fc-mazatlan-fc,False,"Liga MX, Clausura",liga-mx-clausura,Mexico,mexico,"{'name': 'Football', 'slug': 'football', 'id': 1}",12,mexico,MX,"Liga MX, Clausura",liga-mx-clausura,#cd2c25,#52b030,"{'name': 'Mexico', 'slug': 'mexico', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 12, 'flag': 'mexico', 'alpha2': 'MX'}",28942,11620,True,False,False,False,350,16753,5,100,Ended,finished,Mazatlán FC,mazatlan-fc,Mazatlán ,M,Football,football,1,7615,MAZ,False,0,1946,[],#523278,#83dfec,#83dfec,Juárez FC,juarez-fc,Juárez,M,Football,football,1,7096,JUA,,False,0,201624,[],#0ee762,#222226,#222226,1675487130,True,True,1.0,False,2.0,2.0,1.0,1.0,2.0,,3.0,3.0,1.0,2.0,3.0,,7.0,6.0,1675487128.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",,,
WNszHFb,3,True,False,10367234,1661047500,juarez-fc-mazatlan-fc,False,"Liga MX, Apertura",liga-mx-apertura,Mexico,mexico,"{'name': 'Football', 'slug': 'football', 'id': 1}",12,mexico,MX,"Liga MX, Apertura",liga-mx-apertura,#cd2c25,#52b030,"{'name': 'Mexico', 'slug': 'mexico', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 12, 'flag': 'mexico', 'alpha2': 'MX'}",31118,11621,True,False,False,False,349,28,10,100,Ended,finished,Juárez FC,juarez-fc,Juárez,M,Football,football,1,7096,JUA,False,0,201624,[],#0ee762,#222226,#222226,Mazatlán FC,mazatlan-fc,Mazatlán ,M,Football,football,1,7615,MAZ,False,False,0,1946,[],#523278,#83dfec,#83dfec,1661054486,True,True,1.0,,1.0,1.0,0.0,1.0,1.0,,1.0,1.0,1.0,0.0,1.0,,2.0,4.0,1661054483.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1.0,,
WNszHFb,2,True,False,10020160,1650679200,juarez-fc-mazatlan-fc,False,"Liga MX, Clausura",liga-mx-clausura,Mexico,mexico,"{'name': 'Football', 'slug': 'football', 'id': 1}",12,mexico,MX,"Liga MX, Clausura",liga-mx-clausura,#cd2c25,#52b030,"{'name': 'Mexico', 'slug': 'mexico', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 12, 'flag': 'mexico', 'alpha2': 'MX'}",28942,11620,True,False,False,False,350,16753,16,100,Ended,finished,Juárez FC,juarez-fc,Juárez,M,Football,football,1,7096,JUA,False,0,201624,[],#0ee762,#222226,#222226,Mazatlán FC,mazatlan-fc,Mazatlán ,M,Football,football,1,7615,MAZ,False,False,0,1946,[],#523278,#83dfec,#83dfec,1650686447,True,True,1.0,,0.0,0.0,0.0,,0.0,,2.0,2.0,1.0,,2.0,,1.0,4.0,1650686437.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime', 'time.currentPeriodStart']",,1.0,
WNszHFb,1,True,False,9605140,1632873600,juarez-fc-mazatlan-fc,False,"Liga MX, Apertura",liga-mx-apertura,Mexico,mexico,"{'name': 'Football', 'slug': 'football', 'id': 1}",12,mexico,MX,"Liga MX, Apertura",liga-mx-apertura,#cd2c25,#52b030,"{'name': 'Mexico', 'slug': 'mexico', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 12, 'flag': 'mexico', 'alpha2': 'MX'}",31118,11621,True,False,False,False,349,28,11,100,Ended,finished,Mazatlán FC,mazatlan-fc,Mazatlán ,M,Football,football,1,7615,MAZ,False,0,1946,[],#523278,#83dfec,#83dfec,Juárez FC,juarez-fc,Juárez,M,Football,football,1,7096,JUA,,False,0,201624,[],#0ee762,#222226,#222226,1636386076,True,True,1.0,False,3.0,3.0,2.0,,3.0,,1.0,1.0,0.0,,1.0,,3.0,5.0,1632880622.0,['time.currentPeriodStart'],,1.0,
WNszHFb,1,True,False,9251807,1613791800,juarez-fc-mazatlan-fc,False,"Liga MX, Clausura",liga-mx-clausura,Mexico,mexico,"{'name': 'Football', 'slug': 'football', 'id': 1}",12,mexico,MX,"Liga MX, Clausura",liga-mx-clausura,#cd2c25,#52b030,"{'name': 'Mexico', 'slug': 'mexico', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 12, 'flag': 'mexico', 'alpha2': 'MX'}",28942,11620,True,False,False,False,350,16753,7,100,Ended,finished,Juárez FC,juarez-fc,Juárez,M,Football,football,1,7096,JUA,False,0,201624,[],#0ee762,#222226,#222226,Mazatlán FC,mazatlan-fc,Mazatlán ,M,Football,football,1,7615,MAZ,False,False,0,1946,[],#523278,#83dfec,#83dfec,1613798769,True,True,1.0,,1.0,1.0,0.0,,1.0,,0.0,0.0,0.0,,0.0,,,4.0,1613798761.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",,1.0,
WNszHFb,1,True,False,8746605,1602901800,juarez-fc-mazatlan-fc,False,"Liga MX, Apertura",liga-mx-apertura,Mexico,mexico,"{'name': 'Football', 'slug': 'football', 'id': 1}",12,mexico,MX,"Liga MX, Apertura",liga-mx-apertura,#cd2c25,#52b030,"{'name': 'Mexico', 'slug': 'mexico', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 12, 'flag': 'mexico', 'alpha2': 'MX'}",31118,11621,True,False,False,False,349,28,14,100,Ended,finished,Mazatlán FC,mazatlan-fc,Mazatlán ,M,Football,football,1,7615,MAZ,False,0,1946,[],#523278,#83dfec,#83dfec,Juárez FC,juarez-fc,Juárez,M,Football,football,1,7096,JUA,,False,0,201624,[],#0ee762,#222226,#222226,1602909130,True,True,1.0,False,3.0,3.0,3.0,,3.0,,2.0,2.0,1.0,,2.0,,4.0,7.0,1602909129.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",,1.0,
WNszHFb,1,True,False,8525042,1580086800,juarez-fc-mazatlan-fc,False,"Liga MX, Clausura",liga-mx-clausura,Mexico,mexico,"{'name': 'Football', 'slug': 'football', 'id': 1}",12,mexico,MX,"Liga MX, Clausura",liga-mx-clausura,#cd2c25,#52b030,"{'name': 'Mexico', 'slug': 'mexico', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 12, 'flag': 'mexico', 'alpha2': 'MX'}",28942,11620,True,False,False,False,350,16753,3,100,Ended,finished,Juárez FC,juarez-fc,Juárez,M,Football,football,1,7096,JUA,False,0,201624,[],#0ee762,#222226,#222226,Mazatlán FC,mazatlan-fc,Mazatlán ,M,Football,football,1,7615,MAZ,False,False,0,1946,[],#523278,#83dfec,#83dfec,1580093534,True,True,1.0,,3.0,3.0,1.0,,3.0,,0.0,0.0,0.0,,0.0,,,4.0,1580093532.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",,1.0,1.0
WNszHFb,1,True,False,8262394,1572570000,juarez-fc-mazatlan-fc,False,"Liga MX, Apertura",liga-mx-apertura,Mexico,mexico,"{'name': 'Football', 'slug': 'football', 'id': 1}",12,mexico,MX,"Liga MX, Apertura",liga-mx-apertura,#cd2c25,#52b030,"{'name': 'Mexico', 'slug': 'mexico', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 12, 'flag': 'mexico', 'alpha2': 'MX'}",31118,11621,True,False,False,False,349,28,16,100,Ended,finished,Mazatlán FC,mazatlan-fc,Mazatlán ,M,Football,football,1,7615,MAZ,False,0,1946,[],#523278,#83dfec,#83dfec,Juárez FC,juarez-fc,Juárez,M,Football,football,1,7096,JUA,,False,0,201624,[],#0ee762,#222226,#222226,1572577000,True,True,1.0,False,6.0,6.0,2.0,,6.0,,1.0,1.0,0.0,,1.0,,1.0,5.0,1572576860.0,"['homeScore.normaltime', 'awayScore.normaltime']",,1.0,
