averageX,averageY,pointsCount,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_userCount,player_id,team
46.533333333333,69.7,6,Robert Mudražija,,,robert-mudrazija,R. Mudražija,M,121,770399,home
75.152631578947,18.610526315789,19,Viktor Kanižaj,,,viktor-kanizaj,V. Kanižaj,F,62,965023,home
62.288888888889,14.494444444444,18,Marin Šotiček,Marin Soticek,,marin-soticek,M. Šotiček,M,88,1163364,home
12.331034482759,50.272413793103,58,Nikola Čavlina,,,nikola-cavlina,N. Čavlina,G,259,1063336,home
69.492105263158,54.405263157895,38,Indrit Tuci,,,tuci-indrit,I. Tuci,F,114,985412,home
51.25243902439,55.501219512195,82,Mateo Marić,,,mateo-maric,M. Marić,M,77,858501,home
52.743902439024,10.243902439024,41,Marko Vranjković,,,marko-vranjkovic,M. Vranjković,D,39,970524,home
70.748148148148,52.555555555556,27,Lukas Kačavenda,,,lukas-kacavenda,L. Kačavenda,M,460,1083207,home
61.218867924528,86.845283018868,53,Marin Leovac,,,marin-leovac,M. Leovac,D,189,37433,home
32.835238095238,34.667619047619,105,Jon Mersinaj,,,jon-mersinaj,J. Mersinaj,D,112,943132,home
68.763636363636,61.706060606061,66,Luka Stojković,,,luka-stojkovic,L. Stojković,M,334,1102829,home
39.560909090909,69.889090909091,110,Branimir Kalaica,,,branimir-kalaica,B. Kalaica,D,150,357586,home
56.163157894737,54.410526315789,76,Ivan Milićević,,,ivan-milicevic,I. Milićević,D,96,878101,home
51.756382978723,38.007446808511,94,Vladan Bubanja,,,vladan-bubanja,V. Bubanja,M,47,890635,home
66.362264150943,77.630188679245,53,Silvio Goričan,,,silvio-gorican,S. Goričan,M,68,1003397,home
57.727142857143,52.171428571429,70,Ante Erceg,,,ante-erceg,A. Erceg,F,242,65528,away
42.3,22.526315789474,19,Mateo Lisica,,,mateo-lisica,M. Lisica,F,116,1034543,away
46.911428571429,56.862857142857,35,Sebastián Nebyla,,,sebastian-nebyla,S. Nebyla,M,55,964157,away
44.219047619048,82.161904761905,21,Chovanie Amatkarijo,,,chovanie-amatkarijo,C. Amatkarijo,F,24,846075,away
47.9725,39.2275,40,Frano Mlinar,,,frano-mlinar,F. Mlinar,M,31,108031,away
46.678260869565,60.795652173913,23,Slavko Blagojević,,,slavko-blagojevic,S. Blagojević,M,47,117653,away
55.413333333333,75.453333333333,30,Matej Vuk,,,matej-vuk,M. Vuk,F,138,887798,away
39.340909090909,82.395454545455,22,Mladen Devetak,,,mladen-devetak,M. Devetak,D,40,882074,away
59.725,37.508333333333,12,Mario Čuić,,,mario-cuic,M. Čuić,M,209,916181,away
15.4,69.4,1,Eric Björkander,,,eric-bjorkander,E. Björkander,D,27,588374,away
32.840697674419,17.506976744186,86,Luka Hujber,,,luka-hujber,L. Hujber,D,77,882582,away
30.61875,66.225,64,Ivan Ćalušić,,,ivan-calusic,I. Ćalušić,M,151,1003419,away
26.864814814815,43.074074074074,54,Ante Majstorović,,,ante-majstorovic,A. Majstorović,D,78,95666,away
8.1017543859649,50.089473684211,57,Lovro Majkić,,,lovro-majkic,L. Majkić,G,136,887800,away
36.687719298246,48.50350877193,57,Oleksandr Petrusenko,,,oleksandr-petrusenko,O. Petrusenko,M,53,906673,away
38.742105263158,64.515789473684,76,Moris Valinčić,,,moris-valincic,M. Valinčić,D,55,1086358,away
