customId,winnerCode,hasGlobalHighlights,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,changes.changeTimestamp,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,coverage,aggregatedWinnerCode,homeRedCards,awayRedCards,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,homeScore.overtime,homeScore.penalties,awayScore.overtime,awayScore.penalties
PPsRP,1,False,False,7467387,1526659200,nk-slaven-belupo-nk-osijek,False,HNL,hnl,Croatia,croatia,"{'name': 'Football', 'slug': 'football', 'id': 1}",14,croatia,HR,HNL,hnl,#c61a18,#f83044,"{'name': 'Croatia', 'slug': 'croatia', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 14, 'flag': 'croatia', 'alpha2': 'HR'}",38341,170,True,False,True,False,344,48,36,100,Ended,finished,NK Slaven Belupo,nk-slaven-belupo,Slaven,M,Football,football,1,7897,SLA,False,False,0,2042,[],#4f6abc,#ffffff,#ffffff,NK Osijek,nk-osijek,Osijek,M,Football,football,1,22879,OSI,False,False,0,2040,[],#08246d,#ffffff,#ffffff,1526665716,,,,2.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,,4.0,1526665708.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",-1.0,,,1.0,,,,,,,
PPsRP,1,False,False,7467431,1522425600,nk-slaven-belupo-nk-osijek,False,HNL,hnl,Croatia,croatia,"{'name': 'Football', 'slug': 'football', 'id': 1}",14,croatia,HR,HNL,hnl,#c61a18,#f83044,"{'name': 'Croatia', 'slug': 'croatia', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 14, 'flag': 'croatia', 'alpha2': 'HR'}",38341,170,True,False,True,False,344,48,27,100,Ended,finished,NK Osijek,nk-osijek,Osijek,M,Football,football,1,22879,OSI,False,False,0,2040,[],#08246d,#ffffff,#ffffff,NK Slaven Belupo,nk-slaven-belupo,Slaven,M,Football,football,1,7897,SLA,False,False,0,2042,[],#4f6abc,#ffffff,#ffffff,1522432357,,,,3.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1522432351.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",-1.0,,,,,,,,,,
PPsRP,1,False,False,7467458,1512223200,nk-slaven-belupo-nk-osijek,False,HNL,hnl,Croatia,croatia,"{'name': 'Football', 'slug': 'football', 'id': 1}",14,croatia,HR,HNL,hnl,#c61a18,#f83044,"{'name': 'Croatia', 'slug': 'croatia', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 14, 'flag': 'croatia', 'alpha2': 'HR'}",38341,170,True,False,True,False,344,48,18,100,Ended,finished,NK Osijek,nk-osijek,Osijek,M,Football,football,1,22879,OSI,False,False,0,2040,[],#08246d,#ffffff,#ffffff,NK Slaven Belupo,nk-slaven-belupo,Slaven,M,Football,football,1,7897,SLA,False,False,0,2042,[],#4f6abc,#ffffff,#ffffff,1512229992,,,,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,,1512229984.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",-1.0,,,,,,,,,,
PPsRP,3,False,False,7467345,1505574000,nk-slaven-belupo-nk-osijek,False,HNL,hnl,Croatia,croatia,"{'name': 'Football', 'slug': 'football', 'id': 1}",14,croatia,HR,HNL,hnl,#c61a18,#f83044,"{'name': 'Croatia', 'slug': 'croatia', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 14, 'flag': 'croatia', 'alpha2': 'HR'}",38341,170,True,False,True,False,344,48,9,100,Ended,finished,NK Slaven Belupo,nk-slaven-belupo,Slaven,M,Football,football,1,7897,SLA,False,False,0,2042,[],#4f6abc,#ffffff,#ffffff,NK Osijek,nk-osijek,Osijek,M,Football,football,1,22879,OSI,False,False,0,2040,[],#08246d,#ffffff,#ffffff,1505580549,,,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,1505580544.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",-1.0,,,,,,,,,,
PPsRP,1,False,False,7094804,1494694800,nk-slaven-belupo-nk-osijek,False,HNL,hnl,Croatia,croatia,"{'name': 'Football', 'slug': 'football', 'id': 1}",14,croatia,HR,HNL,hnl,#c61a18,#f83044,"{'name': 'Croatia', 'slug': 'croatia', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 14, 'flag': 'croatia', 'alpha2': 'HR'}",38341,170,True,False,True,False,344,48,33,100,Ended,finished,NK Osijek,nk-osijek,Osijek,M,Football,football,1,22879,OSI,False,False,0,2040,[],#08246d,#ffffff,#ffffff,NK Slaven Belupo,nk-slaven-belupo,Slaven,M,Football,football,1,7897,SLA,False,False,0,2042,[],#4f6abc,#ffffff,#ffffff,1494701723,,,,3.0,3.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1494701712.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",-1.0,,,,,,,,,,
PPsRP,2,False,False,7094763,1489334400,nk-slaven-belupo-nk-osijek,False,HNL,hnl,Croatia,croatia,"{'name': 'Football', 'slug': 'football', 'id': 1}",14,croatia,HR,HNL,hnl,#c61a18,#f83044,"{'name': 'Croatia', 'slug': 'croatia', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 14, 'flag': 'croatia', 'alpha2': 'HR'}",38341,170,True,False,True,False,344,48,24,100,Ended,finished,NK Slaven Belupo,nk-slaven-belupo,Slaven,M,Football,football,1,7897,SLA,False,False,0,2042,[],#4f6abc,#ffffff,#ffffff,NK Osijek,nk-osijek,Osijek,M,Football,football,1,22879,OSI,False,False,0,2040,[],#08246d,#ffffff,#ffffff,1489341102,,,,1.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,1.0,4.0,1489341093.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",-1.0,,,,,,,,,,
PPsRP,1,False,False,7265043,1480519800,nk-slaven-belupo-nk-osijek,False,Croatia Cup,croatia-cup,Croatia,croatia,"{'name': 'Football', 'slug': 'football', 'id': 1}",14,croatia,HR,Croatian Cup,croatian-cup,#d9251d,#4087c7,"{'name': 'Croatia', 'slug': 'croatia', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 14, 'flag': 'croatia', 'alpha2': 'HR'}",7602,307,False,False,False,False,0,170,3,100,Ended,finished,NK Osijek,nk-osijek,Osijek,M,Football,football,1,22879,OSI,False,False,0,2040,[],#08246d,#ffffff,#ffffff,NK Slaven Belupo,nk-slaven-belupo,Slaven,M,Football,football,1,7897,SLA,False,False,0,2042,[],#4f6abc,#ffffff,#ffffff,1480526574,,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,2.0,1480526566.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",-1.0,,,,Quarterfinals,quarterfinals,4.0,,,,
PPsRP,1,False,False,7094710,1478362500,nk-slaven-belupo-nk-osijek,False,HNL,hnl,Croatia,croatia,"{'name': 'Football', 'slug': 'football', 'id': 1}",14,croatia,HR,HNL,hnl,#c61a18,#f83044,"{'name': 'Croatia', 'slug': 'croatia', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 14, 'flag': 'croatia', 'alpha2': 'HR'}",38341,170,True,False,True,False,344,48,15,100,Ended,finished,NK Osijek,nk-osijek,Osijek,M,Football,football,1,22879,OSI,False,False,0,2040,[],#08246d,#ffffff,#ffffff,NK Slaven Belupo,nk-slaven-belupo,Slaven,M,Football,football,1,7897,SLA,False,False,0,2042,[],#4f6abc,#ffffff,#ffffff,1478369274,,,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1478369266.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",-1.0,,,,,,,,,,
PPsRP,2,False,False,7094667,1471719600,nk-slaven-belupo-nk-osijek,False,HNL,hnl,Croatia,croatia,"{'name': 'Football', 'slug': 'football', 'id': 1}",14,croatia,HR,HNL,hnl,#c61a18,#f83044,"{'name': 'Croatia', 'slug': 'croatia', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 14, 'flag': 'croatia', 'alpha2': 'HR'}",38341,170,True,False,True,False,344,48,6,100,Ended,finished,NK Slaven Belupo,nk-slaven-belupo,Slaven,M,Football,football,1,7897,SLA,False,False,0,2042,[],#4f6abc,#ffffff,#ffffff,NK Osijek,nk-osijek,Osijek,M,Football,football,1,22879,OSI,False,False,0,2040,[],#08246d,#ffffff,#ffffff,1471726197,,,,2.0,2.0,1.0,1.0,2.0,3.0,3.0,0.0,3.0,3.0,1.0,3.0,1471726195.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",-1.0,,,,,,,,,,
PPsRP,3,False,False,6767313,1461258000,nk-slaven-belupo-nk-osijek,False,HNL,hnl,Croatia,croatia,"{'name': 'Football', 'slug': 'football', 'id': 1}",14,croatia,HR,HNL,hnl,#c61a18,#f83044,"{'name': 'Croatia', 'slug': 'croatia', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 14, 'flag': 'croatia', 'alpha2': 'HR'}",38341,170,True,False,True,False,344,48,32,100,Ended,finished,NK Osijek,nk-osijek,Osijek,M,Football,football,1,22879,OSI,False,False,0,2040,[],#08246d,#ffffff,#ffffff,NK Slaven Belupo,nk-slaven-belupo,Slaven,M,Football,football,1,7897,SLA,False,False,0,2042,[],#4f6abc,#ffffff,#ffffff,1461264831,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,1461264829.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",-1.0,,,,,,,,,,
PPsRP,1,False,False,6767268,1456063200,nk-slaven-belupo-nk-osijek,False,HNL,hnl,Croatia,croatia,"{'name': 'Football', 'slug': 'football', 'id': 1}",14,croatia,HR,HNL,hnl,#c61a18,#f83044,"{'name': 'Croatia', 'slug': 'croatia', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 14, 'flag': 'croatia', 'alpha2': 'HR'}",38341,170,True,False,True,False,344,48,23,100,Ended,finished,NK Slaven Belupo,nk-slaven-belupo,Slaven,M,Football,football,1,7897,SLA,False,False,0,2042,[],#4f6abc,#ffffff,#ffffff,NK Osijek,nk-osijek,Osijek,M,Football,football,1,22879,OSI,False,False,0,2040,[],#08246d,#ffffff,#ffffff,1456069885,,,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,1456069881.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",-1.0,,,,,,,,,,
PPsRP,1,False,False,6941544,1449066600,nk-slaven-belupo-nk-osijek,False,Croatia Cup,croatia-cup,Croatia,croatia,"{'name': 'Football', 'slug': 'football', 'id': 1}",14,croatia,HR,Croatian Cup,croatian-cup,#d9251d,#4087c7,"{'name': 'Croatia', 'slug': 'croatia', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 14, 'flag': 'croatia', 'alpha2': 'HR'}",7602,307,False,False,False,False,0,170,3,120,AP,finished,NK Slaven Belupo,nk-slaven-belupo,Slaven,M,Football,football,1,7897,SLA,False,False,0,2042,[],#4f6abc,#ffffff,#ffffff,NK Osijek,nk-osijek,Osijek,M,Football,football,1,22879,OSI,False,False,0,2040,[],#08246d,#ffffff,#ffffff,1449075937,,,,5.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,1449075928.0,"['status.code', 'status.description', 'status.type', 'homeScore.penalties', 'awayScore.penalties']",-1.0,,,,Quarterfinals,quarterfinals,4.0,0.0,4.0,0.0,1.0
PPsRP,3,False,False,6767212,1445616000,nk-slaven-belupo-nk-osijek,False,HNL,hnl,Croatia,croatia,"{'name': 'Football', 'slug': 'football', 'id': 1}",14,croatia,HR,HNL,hnl,#c61a18,#f83044,"{'name': 'Croatia', 'slug': 'croatia', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 14, 'flag': 'croatia', 'alpha2': 'HR'}",38341,170,True,False,True,False,344,48,14,100,Ended,finished,NK Osijek,nk-osijek,Osijek,M,Football,football,1,22879,OSI,False,False,0,2040,[],#08246d,#ffffff,#ffffff,NK Slaven Belupo,nk-slaven-belupo,Slaven,M,Football,football,1,7897,SLA,False,False,0,2042,[],#4f6abc,#ffffff,#ffffff,1445622761,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1445622749.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",-1.0,,,,,,,,,,
PPsRP,1,False,False,6767181,1439146800,nk-slaven-belupo-nk-osijek,False,HNL,hnl,Croatia,croatia,"{'name': 'Football', 'slug': 'football', 'id': 1}",14,croatia,HR,HNL,hnl,#c61a18,#f83044,"{'name': 'Croatia', 'slug': 'croatia', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 14, 'flag': 'croatia', 'alpha2': 'HR'}",38341,170,True,False,True,False,344,48,5,100,Ended,finished,NK Slaven Belupo,nk-slaven-belupo,Slaven,M,Football,football,1,7897,SLA,False,False,0,2042,[],#4f6abc,#ffffff,#ffffff,NK Osijek,nk-osijek,Osijek,M,Football,football,1,22879,OSI,False,False,0,2040,[],#08246d,#ffffff,#ffffff,1439153195,,,,3.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,,2.0,1439153184.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",-1.0,,,1.0,,,,,,,
