shirtNumber,jerseyNumber,position,substitute,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.totalClearance,statistics.goodHighClaim,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.punches,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.ratingVersions.original,statistics.ratingVersions.alternative,captain,player.firstName,player.lastName,statistics.aerialLost,statistics.aerialWon,statistics.duelLost,statistics.duelWon,statistics.dispossessed,statistics.shotOffTarget,statistics.interceptionWon,statistics.totalTackle,statistics.wasFouled,statistics.challengeLost,statistics.penaltyConceded,statistics.fouls,statistics.totalCross,statistics.totalContest,statistics.wonContest,statistics.outfielderBlock,statistics.accurateCross,statistics.totalOffside,statistics.keyPass,team,player_type,statistics.bigChanceMissed,statistics.onTargetScoringAttempt,statistics.blockedScoringAttempt,statistics.penaltyWon,statistics.bigChanceCreated,statistics.goals
11,11,M,True,Anicka Castaneda,castaneda-anicka,A. Castaneda,M,5,1174055,,,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,,,
12,12,D,True,Ryley Bugay,bugay-ryley,R. Bugay,M,6,1174044,PH,Philippines,EUR,822355200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,,,
1,1,G,False,Gaelle Thalmann,gaelle-thalmann,G. Thalmann,G,41,792003,CH,Switzerland,EUR,506390400.0,32.0,29.0,5.0,2.0,,1.0,,,,90.0,37.0,6.8,3.0,6.8,6.9,,,,,,,,,,,,,,,,,,,,,,,away,main,,,,,,
19,19,D,False,Eseosa Aigbogun,eseosa-aigbogun,E. Aigbogun,D,40,796838,CH,Switzerland,EUR,738115200.0,76.0,69.0,3.0,1.0,1.0,,,,,90.0,99.0,6.9,15.0,6.9,6.8,,,,1.0,1.0,5.0,3.0,,,,1.0,,1.0,,1.0,5.0,3.0,1.0,,,,,away,main,,,,,,
15,15,D,False,Luana Bühler,luana-buhler,L. Bühler,D,63,937364,CH,Switzerland,EUR,830649600.0,100.0,92.0,16.0,12.0,2.0,,,,,90.0,108.0,7.8,9.0,7.8,7.8,,,,3.0,1.0,3.0,4.0,,,1.0,3.0,,,,,,,,,,,1.0,away,main,,,,,,
2,2,D,False,Julia Stierli,stierli-julia,J. Stierli,D,24,286389,CH,Switzerland,EUR,860025600.0,117.0,105.0,14.0,6.0,,,,,,90.0,120.0,7.1,13.0,7.1,7.1,,,,,1.0,,2.0,,,,,1.0,,,,1.0,,,,1.0,,1.0,away,main,,,,,,
5,5,D,False,Noelle Maritz,noelle-maritz,N. Maritz,D,128,138090,CH,Switzerland,EUR,819676800.0,107.0,97.0,4.0,,,,,,,90.0,131.0,7.5,15.0,7.5,7.3,,,,,,2.0,2.0,,1.0,,2.0,,,,2.0,4.0,,,,1.0,,2.0,away,main,,,,,,
11,11,M,False,Coumba Sow,sow-coumba,C. Sow,M,64,956481,CH,Switzerland,EUR,777945600.0,53.0,40.0,3.0,2.0,2.0,,,,,90.0,79.0,7.1,21.0,7.1,6.8,,,,1.0,1.0,7.0,6.0,2.0,,2.0,2.0,1.0,,,2.0,,4.0,2.0,,,2.0,,away,main,1.0,1.0,1.0,1.0,,
13,13,M,False,Lia Wälti,lia-walti,L. Wälti,M,259,68299,CH,Switzerland,EUR,735177600.0,44.0,36.0,,,,,,,,75.0,56.0,6.4,13.0,6.4,6.2,True,,,1.0,3.0,7.0,4.0,4.0,,2.0,,1.0,2.0,,,,,,,,,,away,main,,,,,,
6,6,M,False,Géraldine Reuteler,geraldine-reuteler,G. Reuteler,M,59,886995,CH,Switzerland,EUR,924652800.0,63.0,52.0,2.0,,,,,,,89.0,81.0,8.1,14.0,8.1,7.9,,,,,,,8.0,,1.0,,1.0,2.0,,,,4.0,5.0,5.0,,1.0,,1.0,away,main,,1.0,,,1.0,
