customId,winnerCode,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,awayRedCards,homeRedCards,roundInfo.name,roundInfo.cupRoundType,homeScore.extra1,homeScore.extra2,homeScore.overtime,homeScore.penalties,awayScore.extra1,awayScore.extra2,awayScore.overtime,awayScore.penalties,time.injuryTime3,time.injuryTime4,coverage,choice_1,choice_X,choice_2
ZAwsRkKb,2,True,,,,False,11414713,1689639000,club-atletico-atlanta-deportivo-maipu,False,"Primera Nacional, Group B",primera-nacional-group-b,Argentina,argentina,Football,football,1,48,argentina,AR,Primera Nacional,primera-nacional,Argentina,argentina,Football,football,1,48,argentina,AR,0,703,False,False,False,False,0,37310,22.0,100,Ended,finished,Club Atlético Atlanta,club-atletico-atlanta,Atlanta,Football,football,1,0,CAA,,0,53799,AR,Argentina,[],#52b030,#52b030,#ffffff,Deportivo Maipú,deportivo-maipu,Deportivo Maipú,Football,football,1,0,MAi,,0,213042,AR,Argentina,[],#52b030,#52b030,#ffffff,1.0,1.0,0.0,1.0,1.0,3.0,3.0,1.0,2.0,3.0,2.0,5.0,1689645965.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1689645968,,,,,,,,,,,,,,,,3.2,3.0,2.45
Jibsvuc,1,True,True,True,1.0,False,11360275,1689586200,melbourne-victory-newcastle-jets,False,"Australia Cup, Playoff Round",australia-cup-playoff-round,Australia,australia,Football,football,1,34,australia,AU,Australia Cup,australia-cup,Australia,australia,Football,football,1,34,australia,AU,0,1786,True,False,False,False,0,101775,636.0,120,AP,finished,Newcastle Jets,newcastle-jets,Newcastle Jets,Football,football,1,0,NUJ,,0,2934,AU,Australia,[],#52b030,#52b030,#ffffff,Melbourne Victory,melbourne-victory,Melbourne Victory,Football,football,1,0,MEL,False,0,5970,AU,Australia,[],#52b030,#52b030,#ffffff,6.0,2.0,1.0,1.0,2.0,4.0,2.0,0.0,2.0,2.0,1.0,4.0,1689594449.0,"['status.code', 'status.description', 'status.type', 'homeScore.display', 'homeScore.penalties', 'awayScore.display', 'awayScore.penalties']",1689596069,,,Playoff round,,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,,3.0,3.5,2.25
VibsHIYc,2,True,True,True,1.0,False,11360276,1689672600,macarthur-fc-perth-glory,False,"Australia Cup, Playoff Round",australia-cup-playoff-round,Australia,australia,Football,football,1,34,australia,AU,Australia Cup,australia-cup,Australia,australia,Football,football,1,34,australia,AU,0,1786,True,False,False,False,0,101775,636.0,100,Ended,finished,Perth Glory,perth-glory,Perth Glory,Football,football,1,0,PGL,,0,2945,AU,Australia,[],#52b030,#52b030,#ffffff,Macarthur FC,macarthur-fc,Macarthur,Football,football,1,0,MAC,False,0,371682,AU,Australia,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,1.0,4.0,1.0,3.0,1689676282.0,"['time.injuryTime2', 'status.code', 'status.description', 'status.type']",1689679175,,,Playoff round,,,,,,,,,,,,,2.15,3.6,3.1
yPsZnQb,3,False,,,,False,11114313,1689534000,aa-altos-america-rn,False,Brasileiro Serie C,brasileiro-serie-c,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série C,brasileiro-serie-c,Brazil,brazil,Football,football,1,13,brazil,BR,0,1281,False,False,False,False,0,27213,13.0,100,Ended,finished,AA Altos,aa-altos,Altos,Football,football,1,0,ALT,,0,228199,BR,Brazil,[],#52b030,#52b030,#ffffff,América-RN,america-rn,América-RN,Football,football,1,0,ARN,False,0,2023,BR,Brazil,[],#52b030,#52b030,#ffffff,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,6.0,1689541211.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1689541214,,,,,,,,,,,,,,,,2.38,3.0,2.8
kPsEhRd,1,False,,,,False,11114297,1689534000,sao-jose-csa,False,Brasileiro Serie C,brasileiro-serie-c,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série C,brasileiro-serie-c,Brazil,brazil,Football,football,1,13,brazil,BR,0,1281,False,False,False,False,0,27213,13.0,100,Ended,finished,CSA,csa,CSA,Football,football,1,0,CSA,False,0,2010,BR,Brazil,[],#52b030,#52b030,#ffffff,São José,sao-jose,São José,Football,football,1,0,SAJ,,0,480379,BR,Brazil,[],#52b030,#52b030,#ffffff,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1689541386.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1689541388,,,,,,,,,,,,,,,,1.75,3.2,4.33
JRpsLKjc,1,False,,,,False,11114356,1689535800,operario-pr-floresta,False,Brasileiro Serie C,brasileiro-serie-c,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série C,brasileiro-serie-c,Brazil,brazil,Football,football,1,13,brazil,BR,0,1281,False,False,False,False,0,27213,13.0,100,Ended,finished,Operário-PR,operario-pr,Operário-PR,Football,football,1,0,FER,False,0,39634,BR,Brazil,[],#52b030,#52b030,#ffffff,Floresta,floresta,Floresta,Football,football,1,0,FLO,False,0,274286,BR,Brazil,[],#52b030,#52b030,#ffffff,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,1689542922.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1689542924,,,,,,,,,,,,,,,,1.6,3.3,5.25
qfnsPvMc,1,False,,,,False,11114339,1689544800,pouso-alegre-ypiranga,False,Brasileiro Serie C,brasileiro-serie-c,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série C,brasileiro-serie-c,Brazil,brazil,Football,football,1,13,brazil,BR,0,1281,False,False,False,False,0,27213,13.0,100,Ended,finished,Ypiranga,ypiranga,Ypiranga,Football,football,1,0,YRS,False,0,32766,BR,Brazil,[],#52b030,#52b030,#ffffff,Pouso Alegre,pouso-alegre,Pouso Alegre,Football,football,1,0,POU,False,0,343540,BR,Brazil,[],#52b030,#52b030,#ffffff,4.0,4.0,1.0,3.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,8.0,1689552099.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1689552101,,,,,,,,,,,,,,,,1.67,3.4,4.75
HOcsoIJc,1,False,,,,False,11114288,1689620400,volta-redonda-amazonas-fc,False,Brasileiro Serie C,brasileiro-serie-c,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série C,brasileiro-serie-c,Brazil,brazil,Football,football,1,13,brazil,BR,0,1281,False,False,False,False,0,27213,13.0,100,Ended,finished,Volta Redonda,volta-redonda,Volta Redonda,Football,football,1,0,VOR,False,0,6982,BR,Brazil,[],#52b030,#52b030,#ffffff,Amazonas FC,amazonas-fc,Amazonas,Football,football,1,0,AMA,False,0,336664,BR,Brazil,[],#52b030,#52b030,#ffffff,5.0,5.0,3.0,2.0,5.0,1.0,1.0,1.0,0.0,1.0,5.0,3.0,1689627366.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1689627368,,,,,,,,,,,,,,,,1.95,3.1,3.6
XOsmP,1,False,,,,False,11114348,1689634800,remo-paysandu,False,Brasileiro Serie C,brasileiro-serie-c,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série C,brasileiro-serie-c,Brazil,brazil,Football,football,1,13,brazil,BR,0,1281,False,False,False,False,0,27213,13.0,100,Ended,finished,Paysandu,paysandu,Paysandu,Football,football,1,0,PAY,False,0,1997,BR,Brazil,[],#52b030,#52b030,#ffffff,Remo,remo,Remo,Football,football,1,0,CDR,False,0,2012,BR,Brazil,[],#52b030,#52b030,#ffffff,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,1689642118.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1689642122,,,,,,,,,,,,,,,,2.38,2.88,2.9
xpbsQec,3,True,,,,False,11350986,1689521400,botev-plovdiv-lokomotiv-plovdiv,False,Parva Liga,parva-liga,Bulgaria,bulgaria,Football,football,1,78,bulgaria,BG,Parva Liga,parva-liga,Bulgaria,bulgaria,Football,football,1,78,bulgaria,BG,0,247,False,False,False,False,0,232,1.0,100,Ended,finished,Lokomotiv Plovdiv,lokomotiv-plovdiv,Lokomotiv Plovdiv,Football,football,1,0,LOK,False,0,3272,BG,Bulgaria,[],#52b030,#52b030,#ffffff,Botev Plovdiv,botev-plovdiv,Botev Plovdiv,Football,football,1,0,BOT,False,0,5241,BG,Bulgaria,[],#52b030,#52b030,#ffffff,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0,5.0,1689528523.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1689528527,,,,,,,,,,,,,,,,2.3,3.0,3.5
