customId,winnerCode,coverage,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.userCount,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,homeRedCards,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,homeScore.overtime,awayScore.overtime,time.injuryTime3,time.injuryTime4,awayRedCards
aEwbsAxyb,1,-1.0,True,,,,False,10251807,1649804400,dominican-republic-jamaica,False,"CONCACAF Championship Qualification, Women",concacaf-championship-qualification-women,North & Central America,north-central-america,Football,football,1,1469,north-and-central-america,,,,,,,,,,,,,,,,,,0,98651,,100,Ended,finished,Jamaica,jamaica,Jamaica,F,Football,football,1,3355,JAM,False,True,0,178950,JM,Jamaica,[],#ffff00,#33a64f,#33a64f,Dominican Republic,dominican-republic,Dominican Republic,F,Football,football,1,20,DOM,,True,0,183625,DO,Dominican Republic,[],#ffffff,#0000ff,#0000ff,5,5,2,3.0,5,1,1,1,0.0,1,,,1649811780.0,"['homeScore.current', 'homeScore.display', 'homeScore.period1', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.current', 'awayScore.display', 'awayScore.period1', 'awayScore.period2', 'awayScore.normaltime', 'status.code', 'status.description', 'status.type', 'time.currentPeriodStart']",1649832610,,,,,,,,,
rgosaEwb,2,-1.0,True,,,,False,10344294,1656986400,mexico-jamaica,False,"CONCACAF Women's Championship, Group A",concacaf-womens-championship-group-a,North & Central America,north-central-america,Football,football,1,1469,north-and-central-america,CONCACAF Women's Championship,concacaf-womens-championship,#634f9e,#77b9bd,North & Central America,north-central-america,Football,football,1.0,1469.0,north-and-central-america,2576.0,False,False,1954.0,False,False,0,38922,1.0,100,Ended,finished,Mexico,mexico,Mexico,F,Football,football,1,3610,MEX,,True,0,35317,MX,Mexico,[],#1a4d3e,#960000,#960000,Jamaica,jamaica,Jamaica,F,Football,football,1,3355,JAM,False,True,0,178950,JM,Jamaica,[],#ffff00,#33a64f,#33a64f,0,0,0,,0,1,1,1,,1,4.0,4.0,1656993232.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime', 'time.currentPeriodStart']",1656993237,,,,,,,,,
zYcsaEwb,2,-1.0,True,,,,False,10349204,1657234800,usa-jamaica,False,"CONCACAF Women's Championship, Group A",concacaf-womens-championship-group-a,North & Central America,north-central-america,Football,football,1,1469,north-and-central-america,CONCACAF Women's Championship,concacaf-womens-championship,#634f9e,#77b9bd,North & Central America,north-central-america,Football,football,1.0,1469.0,north-and-central-america,2576.0,False,False,1954.0,False,False,0,38922,2.0,100,Ended,finished,Jamaica,jamaica,Jamaica,F,Football,football,1,3355,JAM,False,True,0,178950,JM,Jamaica,[],#ffff00,#33a64f,#33a64f,USA,usa,USA,F,Football,football,1,15327,USA,False,True,0,7424,US,USA,[],#ffffff,#ff0000,#ff0000,0,0,0,,0,5,5,2,,5,4.0,5.0,1657241836.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime', 'time.currentPeriodStart']",1657241839,,,,,,,,,
YDwbsaEwb,1,-1.0,True,,,,False,10356035,1657591200,jamaica-haiti,False,"CONCACAF Women's Championship, Group A",concacaf-womens-championship-group-a,North & Central America,north-central-america,Football,football,1,1469,north-and-central-america,CONCACAF Women's Championship,concacaf-womens-championship,#634f9e,#77b9bd,North & Central America,north-central-america,Football,football,1.0,1469.0,north-and-central-america,2576.0,False,False,1954.0,False,False,0,38922,3.0,100,Ended,finished,Jamaica,jamaica,Jamaica,F,Football,football,1,3355,JAM,False,True,0,178950,JM,Jamaica,[],#ffff00,#33a64f,#33a64f,Haiti,haiti,Haiti,F,Football,football,1,19688,HAI,False,True,0,178948,HT,Haiti,[],#3b5aa3,#be0027,#be0027,4,4,1,3.0,4,0,0,0,0.0,0,1.0,2.0,1657597805.0,"['homeScore.period2', 'awayScore.period2']",1657695620,,,,,,,,,
mYcsaEwb,1,-1.0,True,,,,False,10456230,1657850400,canada-jamaica,False,"CONCACAF Women's Championship, Knockout stage",concacaf-womens-championship-knockout-stage,North & Central America,north-central-america,Football,football,1,1469,north-and-central-america,CONCACAF Women's Championship,concacaf-womens-championship,#634f9e,#77b9bd,North & Central America,north-central-america,Football,football,1.0,1469.0,north-and-central-america,2576.0,False,False,1954.0,False,False,0,38924,2.0,100,Ended,finished,Canada,canada,Canada,F,Football,football,1,6637,CAN,False,True,0,7412,CA,Canada,[],#ff0000,#ffffff,#ffffff,Jamaica,jamaica,Jamaica,F,Football,football,1,3355,JAM,False,True,0,178950,JM,Jamaica,[],#ffff00,#33a64f,#33a64f,3,3,1,2.0,3,0,0,0,0.0,0,3.0,3.0,1657857170.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1657857173,,Semifinal,semifinal,2.0,,,,,
DidbsaEwb,2,,True,,,,False,10469180,1658185200,jamaica-costa-rica,False,"CONCACAF Women's Championship, Knockout stage",concacaf-womens-championship-knockout-stage,North & Central America,north-central-america,Football,football,1,1469,north-and-central-america,CONCACAF Women's Championship,concacaf-womens-championship,#634f9e,#77b9bd,North & Central America,north-central-america,Football,football,1.0,1469.0,north-and-central-america,2576.0,False,False,1954.0,False,False,0,38924,,110,AET,finished,Costa Rica,costa-rica,Costa Rica,F,Football,football,1,4018,CRC,False,True,0,132928,CR,Costa Rica,[],#ed1c24,#2366b3,#2366b3,Jamaica,jamaica,Jamaica,F,Football,football,1,3355,JAM,False,True,0,178950,JM,Jamaica,[],#ffff00,#33a64f,#33a64f,0,0,0,0.0,0,1,1,0,0.0,0,3.0,6.0,1658195037.0,"['status.code', 'status.description', 'status.type', 'homeScore.overtime', 'awayScore.overtime', 'time.currentPeriodStart']",1658195039,,,,,0.0,1.0,2.0,4.0,
xNisaEwb,1,,False,,,4.0,False,10661170,1662192000,south-korea-jamaica,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1.0,1468.0,international,6989.0,False,False,852.0,False,False,0,1039,1.0,100,Ended,finished,South Korea,south-korea,South Korea,F,Football,football,1,3594,KOR,False,True,0,21922,KR,South Korea,[],#ff0000,#0000ff,#0000ff,Jamaica,jamaica,Jamaica,F,Football,football,1,3355,JAM,False,True,0,178950,JM,Jamaica,[],#ffff00,#33a64f,#33a64f,1,1,1,0.0,1,0,0,0,0.0,0,,,,"['homeScore.period2', 'awayScore.period1']",1662208382,,,,,,,,,
aEwbsLAEc,1,,False,,,,False,10861546,1668128400,paraguay-jamaica,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1.0,1468.0,international,6989.0,False,False,852.0,False,False,0,1039,1.0,100,Ended,finished,Jamaica,jamaica,Jamaica,F,Football,football,1,3355,JAM,False,True,0,178950,JM,Jamaica,[],#ffff00,#33a64f,#33a64f,Paraguay,paraguay,Paraguay,F,Football,football,1,1480,PAR,,True,0,323786,PY,Paraguay,[],#ff0000,#045ca3,#045ca3,1,1,0,1.0,1,0,0,0,0.0,0,,,1668135219.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1668135222,,,,,,,,,
aEwbsLAEc,2,,False,,,,False,10863796,1668380400,paraguay-jamaica,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1.0,1468.0,international,6989.0,False,False,852.0,False,False,0,1039,1.0,100,Ended,finished,Jamaica,jamaica,Jamaica,F,Football,football,1,3355,JAM,False,True,0,178950,JM,Jamaica,[],#ffff00,#33a64f,#33a64f,Paraguay,paraguay,Paraguay,F,Football,football,1,1480,PAR,,True,0,323786,PY,Paraguay,[],#ff0000,#045ca3,#045ca3,1,1,0,1.0,1,2,2,2,0.0,2,,,,"['status.code', 'status.description', 'status.type', 'homeScore.current', 'homeScore.display', 'homeScore.period1', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.current', 'awayScore.display', 'awayScore.period1', 'awayScore.period2', 'awayScore.normaltime']",1668394264,,,,,,,,,
wXosaEwb,1,,False,,,,False,10998008,1676524200,spain-jamaica,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1.0,1468.0,international,6989.0,False,False,852.0,False,False,0,1039,1.0,100,Ended,finished,Spain,spain,Spain,F,Football,football,1,16409,ESP,False,True,0,37371,ES,Spain,[],#cc0000,#ffffff,#ffffff,Jamaica,jamaica,Jamaica,F,Football,football,1,3355,JAM,False,True,0,178950,JM,Jamaica,[],#ffff00,#33a64f,#33a64f,3,3,2,1.0,3,0,0,0,0.0,0,3.0,5.0,1676531212.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1676531214,,,,,,,,,
cfdsaEwb,2,,True,,,,False,10998011,1676778600,czech-republic-jamaica,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1.0,1468.0,international,6989.0,False,False,852.0,False,False,0,1039,1.0,100,Ended,finished,Jamaica,jamaica,Jamaica,F,Football,football,1,3355,JAM,False,True,0,178950,JM,Jamaica,[],#ffff00,#33a64f,#33a64f,Czech Republic,czech-republic,Czech Republic,F,Football,football,1,1922,CZE,,True,0,7752,CZ,Czech Republic,[],#cc0000,#025095,#025095,2,2,1,1.0,2,3,3,2,1.0,3,,,,['cardsCode'],1676795669,,,,,,,,,
kYcsaEwb,1,,True,,,,False,10998015,1677053400,australia-jamaica,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1.0,1468.0,international,6989.0,False,False,852.0,False,False,0,1039,,100,Ended,finished,Australia,australia,Australia,F,Football,football,1,5938,AUS,False,True,0,7410,AU,Australia,[],#ffcc00,#2d324b,#2d324b,Jamaica,jamaica,Jamaica,F,Football,football,1,3355,JAM,False,True,0,178950,JM,Jamaica,[],#ffff00,#33a64f,#33a64f,3,3,1,2.0,3,0,0,0,0.0,0,,,1677057300.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2']",1677060254,,,,,,,,,
aEwbspYvc,2,-1.0,False,,,,False,11203359,1681131600,sheffield-united-women-jamaica,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1.0,1468.0,international,6989.0,False,False,852.0,False,False,0,1039,,100,Ended,finished,Sheffield United Women,sheffield-united-women,Sheffield United,F,Football,football,1,306,SHE,False,False,0,302415,EN,England,[],#52b030,#52b030,#ffffff,Jamaica,jamaica,Jamaica,F,Football,football,1,3355,JAM,False,True,0,178950,JM,Jamaica,[],#ffff00,#33a64f,#33a64f,0,0,0,0.0,0,2,2,0,2.0,2,,,1681135740.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2', 'awayScore.normaltime']",1681139059,,,,,,,,,
HidbsaEwb,2,,False,,,,False,11377148,1688090400,jamaica-el-salvador,False,"Central American and Caribbean Games, Women, Gr. B",central-american-and-caribbean-games-women-gr-b,North & Central America,north-central-america,Football,football,1,1469,north-and-central-america,"Central American and Caribbean Games, Women",central-american-and-caribbean-games-women,#fbca07,#ea7a16,North & Central America,north-central-america,Football,football,1.0,1469.0,north-and-central-america,874.0,False,False,11302.0,False,False,0,67493,2.0,100,Ended,finished,Jamaica,jamaica,Jamaica,F,Football,football,1,3355,JAM,False,True,0,178950,JM,Jamaica,[],#ffff00,#33a64f,#33a64f,El Salvador,el-salvador,El Salvador,F,Football,football,1,532,ESA,,True,0,132932,SV,El Salvador,[],#3300ff,#ffffff,#ffffff,2,2,1,1.0,2,5,5,3,2.0,5,1.0,3.0,1688096962.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688096965,,,,,,,,,
aEwbsIFKb,3,,False,,,,False,11377155,1688252400,puerto-rico-jamaica,False,"Central American and Caribbean Games, Women, Gr. B",central-american-and-caribbean-games-women-gr-b,North & Central America,north-central-america,Football,football,1,1469,north-and-central-america,"Central American and Caribbean Games, Women",central-american-and-caribbean-games-women,#fbca07,#ea7a16,North & Central America,north-central-america,Football,football,1.0,1469.0,north-and-central-america,874.0,False,False,11302.0,False,False,0,67493,3.0,100,Ended,finished,Puerto Rico,puerto-rico,Puerto Rico,F,Football,football,1,309,PUR,,True,0,214033,PR,Puerto Rico,[],#ff0000,#0920f0,#0920f0,Jamaica,jamaica,Jamaica,F,Football,football,1,3355,JAM,False,True,0,178950,JM,Jamaica,[],#ffff00,#33a64f,#33a64f,1,1,1,0.0,1,1,1,1,0.0,1,,2.0,1688258944.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688258948,,,,,,,,,1.0
rgosaEwb,2,,False,,,,False,11377145,1688425200,mexico-jamaica,False,"Central American and Caribbean Games, Women, Gr. B",central-american-and-caribbean-games-women-gr-b,North & Central America,north-central-america,Football,football,1,1469,north-and-central-america,"Central American and Caribbean Games, Women",central-american-and-caribbean-games-women,#fbca07,#ea7a16,North & Central America,north-central-america,Football,football,1.0,1469.0,north-and-central-america,874.0,False,False,11302.0,False,False,0,67493,5.0,100,Ended,finished,Jamaica,jamaica,Jamaica,F,Football,football,1,3355,JAM,False,True,0,178950,JM,Jamaica,[],#ffff00,#33a64f,#33a64f,Mexico,mexico,Mexico,F,Football,football,1,3610,MEX,,True,0,35317,MX,Mexico,[],#1a4d3e,#960000,#960000,3,3,1,2.0,3,7,7,4,3.0,7,,,1688431732.0,"['homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.injuryTime1', 'time.injuryTime2']",1688431978,,,,,,,,,
KZmsaEwb,3,,True,True,True,1.0,False,10833996,1690106400,france-jamaica,False,"World Championship, Women, Group F",world-championship-women-group-f,World,world,Football,football,1,1468,international,World Championship Women,world-championship-women,#3099ff,#fcc831,World,world,Football,football,1.0,1468.0,international,89506.0,False,False,290.0,True,False,618,40155,1.0,100,Ended,finished,France,france,France,F,Football,football,1,21076,FRA,False,True,0,32485,FR,France,[],#01509e,#e30613,#e30613,Jamaica,jamaica,Jamaica,F,Football,football,1,3355,JAM,False,True,0,178950,JM,Jamaica,[],#ffff00,#33a64f,#33a64f,0,0,0,0.0,0,0,0,0,0.0,0,5.0,6.0,1690113427.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1690113431,,,,,,,,,1.0
