customId,winnerCode,hasGlobalHighlights,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,changes.changeTimestamp,hasXg,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,awayRedCards,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,coverage,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType
rOszO,1,False,False,6698295,1433638800,vasco-athletico,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,"{'name': 'Football', 'slug': 'football', 'id': 1}",13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,"{'name': 'Brazil', 'slug': 'brazil', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 13, 'flag': 'brazil', 'alpha2': 'BR'}",251366,325,True,False,True,False,390,83,6,100,Ended,finished,Athletico,athletico,Athletico,M,Football,football,1,64168,CAP,False,False,0,1967,[],#000000,#cc0000,#cc0000,Vasco,vasco,Vasco,M,Football,football,1,84261,VDG,False,False,0,1974,[],#ffffff,#000000,#000000,1433645664,,,,1.0,,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1433645660.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1.0,,,
rOszO,1,False,False,3855879,1386529200,vasco-athletico,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,"{'name': 'Football', 'slug': 'football', 'id': 1}",13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,"{'name': 'Brazil', 'slug': 'brazil', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 13, 'flag': 'brazil', 'alpha2': 'BR'}",251366,325,True,False,True,False,390,83,38,100,Ended,finished,Athletico,athletico,Athletico,M,Football,football,1,64168,CAP,False,False,0,1967,[],#000000,#cc0000,#cc0000,Vasco,vasco,Vasco,M,Football,football,1,84261,VDG,False,False,0,1974,[],#ffffff,#000000,#000000,0,,,,,,5.0,5.0,2.0,3.0,5.0,1.0,1.0,1.0,0.0,1.0,,,1386540222.0,,3.0,,,
rOszO,3,False,False,3855483,1378675800,vasco-athletico,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,"{'name': 'Football', 'slug': 'football', 'id': 1}",13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,"{'name': 'Brazil', 'slug': 'brazil', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 13, 'flag': 'brazil', 'alpha2': 'BR'}",251366,325,True,False,True,False,390,83,19,100,Ended,finished,Vasco,vasco,Vasco,M,Football,football,1,84261,VDG,False,False,0,1974,[],#ffffff,#000000,#000000,Athletico,athletico,Athletico,M,Football,football,1,64168,CAP,False,False,0,1967,[],#000000,#cc0000,#cc0000,0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1378682822.0,,,,,
rOszO,3,False,False,1690250,1318548600,vasco-athletico,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,"{'name': 'Football', 'slug': 'football', 'id': 1}",13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,"{'name': 'Brazil', 'slug': 'brazil', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 13, 'flag': 'brazil', 'alpha2': 'BR'}",251366,325,True,False,True,False,390,83,29,100,Ended,finished,Athletico,athletico,Athletico,M,Football,football,1,64168,CAP,False,False,0,1967,[],#000000,#cc0000,#cc0000,Vasco,vasco,Vasco,M,Football,football,1,84261,VDG,False,False,0,1974,[],#ffffff,#000000,#000000,0,,,,,,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,,,,,,,,
rOszO,1,False,False,1690054,1310852700,vasco-athletico,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,"{'name': 'Football', 'slug': 'football', 'id': 1}",13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,"{'name': 'Brazil', 'slug': 'brazil', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 13, 'flag': 'brazil', 'alpha2': 'BR'}",251366,325,True,False,True,False,390,83,10,100,Ended,finished,Vasco,vasco,Vasco,M,Football,football,1,84261,VDG,False,False,0,1974,[],#ffffff,#000000,#000000,Athletico,athletico,Athletico,M,Football,football,1,64168,CAP,False,False,0,1967,[],#000000,#cc0000,#cc0000,0,,,,,,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,,,,,,,,
rOszO,3,False,False,1730716,1305239400,vasco-athletico,False,Copa do Brasil,copa-do-brasil,Brazil,brazil,"{'name': 'Football', 'slug': 'football', 'id': 1}",13,brazil,BR,Copa do Brasil,copa-do-brasil,#34a348,#f2ba1c,"{'name': 'Brazil', 'slug': 'brazil', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 13, 'flag': 'brazil', 'alpha2': 'BR'}",133138,373,False,False,False,False,0,283,3,100,Ended,finished,Vasco,vasco,Vasco,M,Football,football,1,84261,VDG,False,False,0,1974,[],#ffffff,#000000,#000000,Athletico,athletico,Athletico,M,Football,football,1,64168,CAP,False,False,0,1967,[],#000000,#cc0000,#cc0000,0,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,,,,Quarterfinals,quarterfinals,4.0
rOszO,3,False,False,1730708,1304556600,vasco-athletico,False,Copa do Brasil,copa-do-brasil,Brazil,brazil,"{'name': 'Football', 'slug': 'football', 'id': 1}",13,brazil,BR,Copa do Brasil,copa-do-brasil,#34a348,#f2ba1c,"{'name': 'Brazil', 'slug': 'brazil', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 13, 'flag': 'brazil', 'alpha2': 'BR'}",133138,373,False,False,False,False,0,283,3,100,Ended,finished,Athletico,athletico,Athletico,M,Football,football,1,64168,CAP,False,False,0,1967,[],#000000,#cc0000,#cc0000,Vasco,vasco,Vasco,M,Football,football,1,84261,VDG,False,False,0,1974,[],#ffffff,#000000,#000000,0,,,,,,2.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,,,,,,Quarterfinals,quarterfinals,4.0
rOszO,3,False,False,1343342,1286412600,vasco-athletico,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,"{'name': 'Football', 'slug': 'football', 'id': 1}",13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,"{'name': 'Brazil', 'slug': 'brazil', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 13, 'flag': 'brazil', 'alpha2': 'BR'}",251366,325,True,False,True,False,390,83,28,100,Ended,finished,Athletico,athletico,Athletico,M,Football,football,1,64168,CAP,False,False,0,1967,[],#000000,#cc0000,#cc0000,Vasco,vasco,Vasco,M,Football,football,1,84261,VDG,False,False,0,1974,[],#ffffff,#000000,#000000,0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
rOszO,1,False,False,1343104,1279402200,vasco-athletico,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,"{'name': 'Football', 'slug': 'football', 'id': 1}",13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,"{'name': 'Brazil', 'slug': 'brazil', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 13, 'flag': 'brazil', 'alpha2': 'BR'}",251366,325,True,False,True,False,390,83,9,100,Ended,finished,Vasco,vasco,Vasco,M,Football,football,1,84261,VDG,False,False,0,1974,[],#ffffff,#000000,#000000,Athletico,athletico,Athletico,M,Football,football,1,64168,CAP,False,False,0,1967,[],#000000,#cc0000,#cc0000,0,,,,,2.0,3.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,,,,,,,,
rOszO,3,False,False,663282,1225405800,vasco-athletico,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,"{'name': 'Football', 'slug': 'football', 'id': 1}",13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,"{'name': 'Brazil', 'slug': 'brazil', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 13, 'flag': 'brazil', 'alpha2': 'BR'}",251366,325,True,False,True,False,390,83,32,100,Ended,finished,Vasco,vasco,Vasco,M,Football,football,1,84261,VDG,False,False,0,1974,[],#ffffff,#000000,#000000,Athletico,athletico,Athletico,M,Football,football,1,64168,CAP,False,False,0,1967,[],#000000,#cc0000,#cc0000,0,,,,,,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,,,,,,,,
rOszO,1,False,False,662977,1216580400,vasco-athletico,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,"{'name': 'Football', 'slug': 'football', 'id': 1}",13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,"{'name': 'Brazil', 'slug': 'brazil', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 13, 'flag': 'brazil', 'alpha2': 'BR'}",251366,325,True,False,True,False,390,83,13,100,Ended,finished,Athletico,athletico,Athletico,M,Football,football,1,64168,CAP,False,False,0,1967,[],#000000,#cc0000,#cc0000,Vasco,vasco,Vasco,M,Football,football,1,84261,VDG,False,False,0,1974,[],#ffffff,#000000,#000000,0,,,,,,3.0,3.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,,,,,,,,
