name,home,away,compareCode,groupName
Ball possession,64%,36%,1,Possession
Total shots,18,8,1,Shots
Shots on target,8,5,1,Shots
Shots off target,8,1,1,Shots
Blocked shots,2,2,3,Shots
Corner kicks,3,5,2,TVData
Offsides,0,3,2,TVData
Fouls,11,15,2,TVData
Yellow cards,3,1,1,TVData
Free kicks,13,11,1,TVData
Throw-ins,28,13,1,TVData
Goal kicks,4,15,2,TVData
Big chances,4,2,1,Shots extra
Big chances missed,2,1,1,Shots extra
Hit woodwork,1,0,1,Shots extra
Counter attacks,1,3,2,Shots extra
Counter attack shots,1,2,2,Shots extra
Counter attack goals,0,2,2,Shots extra
Shots inside box,15,6,1,Shots extra
Shots outside box,3,2,1,Shots extra
Goalkeeper saves,3,5,2,Shots extra
Passes,530,302,1,Passes
Accurate passes,434 (82%),216 (72%),1,Passes
Long balls,19/47 (40%),41/74 (55%),2,Passes
Crosses,7/25 (28%),3/11 (27%),1,Passes
Dribbles,16/24 (67%),8/19 (42%),1,Duels
Possession lost,150,126,1,Duels
Duels won,52,57,2,Duels
Aerials won,11,18,2,Duels
Tackles,13,20,2,Defending
Interceptions,8,9,2,Defending
Clearances,8,19,2,Defending
Ball possession,63%,37%,1,Possession
Total shots,6,4,1,Shots
Shots on target,2,3,2,Shots
Shots off target,4,0,1,Shots
Blocked shots,0,1,2,Shots
Corner kicks,0,4,2,TVData
Offsides,0,2,2,TVData
Yellow cards,0,1,2,TVData
Free kicks,10,3,1,TVData
Throw-ins,13,6,1,TVData
Goal kicks,3,9,2,TVData
Big chances,2,2,3,Shots extra
Big chances missed,2,1,1,Shots extra
Hit woodwork,0,0,3,Shots extra
Counter attacks,1,1,3,Shots extra
Counter attack shots,1,1,3,Shots extra
Counter attack goals,0,1,2,Shots extra
Shots inside box,6,4,1,Shots extra
Shots outside box,0,0,3,Shots extra
Goalkeeper saves,2,2,3,Shots extra
Passes,263,147,1,Passes
Accurate passes,215 (82%),106 (72%),1,Passes
Long balls,10/25 (40%),22/38 (58%),2,Passes
Crosses,3/9 (33%),2/8 (25%),1,Passes
Dribbles,6/9 (67%),6/10 (60%),1,Duels
Possession lost,72,63,1,Duels
Duels won,28,31,2,Duels
Aerials won,8,11,2,Duels
Tackles,5,11,2,Defending
Interceptions,3,3,3,Defending
Clearances,7,7,3,Defending
Ball possession,64%,36%,1,Possession
Total shots,12,4,1,Shots
Shots on target,6,2,1,Shots
Shots off target,4,1,1,Shots
Blocked shots,2,1,1,Shots
Corner kicks,3,1,1,TVData
Offsides,0,1,2,TVData
Yellow cards,3,0,1,TVData
Free kicks,3,8,2,TVData
Throw-ins,15,7,1,TVData
Goal kicks,1,6,2,TVData
Big chances,2,0,1,Shots extra
Big chances missed,0,0,3,Shots extra
Hit woodwork,1,0,1,Shots extra
Counter attacks,0,2,2,Shots extra
Counter attack shots,0,1,2,Shots extra
Counter attack goals,0,1,2,Shots extra
Shots inside box,9,2,1,Shots extra
Shots outside box,3,2,1,Shots extra
Goalkeeper saves,1,3,2,Shots extra
Passes,267,155,1,Passes
Accurate passes,219 (82%),110 (71%),1,Passes
Long balls,9/22 (41%),19/36 (53%),2,Passes
Crosses,4/16 (25%),1/3 (33%),2,Passes
Dribbles,10/15 (67%),2/9 (22%),1,Duels
Possession lost,78,63,1,Duels
Duels won,24,26,2,Duels
Aerials won,3,7,2,Duels
Tackles,8,9,2,Defending
Interceptions,5,6,2,Defending
Clearances,1,12,2,Defending
