customId,winnerCode,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport,tournament.category.id,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,tournament.category.alpha2,tournament.uniqueTournament.primaryColorHex
kabsmcKc,1,True,True,True,1,False,11156290,1690158600,nashville-sc-colorado-rapids,False,"Leagues Cup, Group Central 4",leagues-cup-group-central-4,North & Central America,north-central-america,"{'name': 'Football', 'slug': 'football', 'id': 1}",1469,north-and-central-america,Leagues Cup,leagues-cup,#828282,"{'name': 'North & Central America', 'slug': 'north-central-america', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 1469, 'flag': 'north-and-central-america'}",12243,13783,True,False,False,False,271,112556,1.0,100,Ended,finished,Nashville SC,nashville-sc,Nashville,M,Football,football,1,8419,NSC,False,0,337612,[],#0f1545,#ece83a,#ece83a,Colorado Rapids,colorado-rapids,Colorado,M,Football,football,1,5892,COL,False,0,2510,[],#660033,#ffffff,#ffffff,2,2,0,2,2,1,1,0,1,1,2,4,1690166034,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1690166036,,
kabsmcKc,1,True,True,True,1,False,10025430,1661992200,nashville-sc-colorado-rapids,False,Major League Soccer,major-league-soccer,USA,usa,"{'name': 'Football', 'slug': 'football', 'id': 1}",26,usa,MLS,mls,#062f69,"{'name': 'USA', 'slug': 'usa', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 26, 'flag': 'usa', 'alpha2': 'US'}",56068,242,True,False,False,False,326,18,,100,Ended,finished,Nashville SC,nashville-sc,Nashville,M,Football,football,1,8419,NSC,False,0,337612,[],#0f1545,#ece83a,#ece83a,Colorado Rapids,colorado-rapids,Colorado,M,Football,football,1,5892,COL,False,0,2510,[],#660033,#ffffff,#ffffff,4,4,1,3,4,1,1,1,0,1,1,5,1661999481,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1661999485,US,#e2231a
kabsmcKc,2,True,True,True,1,False,10025164,1653786000,nashville-sc-colorado-rapids,False,Major League Soccer,major-league-soccer,USA,usa,"{'name': 'Football', 'slug': 'football', 'id': 1}",26,usa,MLS,mls,#062f69,"{'name': 'USA', 'slug': 'usa', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 26, 'flag': 'usa', 'alpha2': 'US'}",56068,242,True,False,False,False,326,18,,100,Ended,finished,Colorado Rapids,colorado-rapids,Colorado,M,Football,football,1,5892,COL,False,0,2510,[],#660033,#ffffff,#ffffff,Nashville SC,nashville-sc,Nashville,M,Football,football,1,8419,NSC,False,0,337612,[],#0f1545,#ece83a,#ece83a,1,1,0,1,1,3,3,3,0,3,3,2,1653793258,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1653793264,US,#e2231a
