shirtNumber,jerseyNumber,position,substitute,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.totalClearance,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.goalAssist,statistics.totalCross,statistics.aerialLost,statistics.duelLost,statistics.duelWon,statistics.totalContest,statistics.bigChanceCreated,statistics.shotOffTarget,statistics.totalTackle,statistics.fouls,statistics.keyPass,statistics.aerialWon,statistics.challengeLost,statistics.wonContest,statistics.wasFouled,statistics.interceptionWon,statistics.dispossessed,statistics.onTargetScoringAttempt,statistics.outfielderBlock,statistics.goals,statistics.bigChanceMissed,statistics.blockedScoringAttempt,statistics.accurateCross,statistics.hitWoodwork,statistics.penaltyConceded,team,player_type,statistics.errorLeadToAGoal,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.totalKeeperSweeper,statistics.accurateKeeperSweeper,statistics.penaltyMiss,statistics.totalOffside
33,33,M,False,Antonio Bosec,,,antonio-bosec,A. Bosec,D,65,845373,HR,Croatia,EUR,872726400,17.0,11.0,,,,90.0,43.0,6.6,14.0,6.6,6.8,,2.0,2.0,6.0,8.0,2.0,,,6.0,,2.0,,2.0,1.0,1.0,1.0,1.0,,,,,1.0,2.0,,,away,main,,,,,,,
10,10,F,False,Benedik Mioč,,,benedik-mioc,B. Mioč,M,32,314336,HR,Croatia,EUR,781401600,49.0,44.0,3.0,3.0,1.0,90.0,60.0,6.6,9.0,6.6,6.5,,1.0,,2.0,1.0,2.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,away,main,,,,,,,
30,30,D,False,Michael Agbekpornu,,,michael-agbekpornu,M. Agbekpornu,M,32,1005403,GH,Ghana,EUR,904521600,10.0,7.0,3.0,2.0,,27.0,18.0,6.3,7.0,6.3,6.1,,,1.0,5.0,3.0,1.0,,1.0,1.0,1.0,,,,1.0,1.0,,3.0,,,,,,,,,away,main,,,,,,,
3,3,M,False,Marko Martinaga,,,marko-martinaga,M. Martinaga,M,22,789119,HR,Croatia,EUR,896227200,42.0,26.0,10.0,4.0,2.0,90.0,75.0,6.1,24.0,6.1,6.2,,3.0,2.0,3.0,4.0,1.0,,,3.0,,,1.0,,,,,,,,,,,,,,away,main,,,,,,,
11,11,F,False,Ante Crnac,,,ante-crnac,A. Crnac,F,259,1090027,HR,Croatia,EUR,1071619200,25.0,16.0,2.0,2.0,,90.0,40.0,7.0,15.0,7.0,6.9,,,1.0,6.0,4.0,5.0,,,1.0,,,,2.0,3.0,,,1.0,1.0,,1.0,,1.0,,,,away,main,,,,,,,
99,99,F,False,Dilan Ortíz,,,dilan-ortiz,D. Ortíz,F,37,974559,CO,Colombia,EUR,953078400,13.0,6.0,2.0,1.0,2.0,60.0,25.0,6.6,13.0,6.6,6.5,,2.0,5.0,11.0,3.0,2.0,,3.0,,3.0,,2.0,1.0,1.0,,,1.0,,,,,,,,,away,main,,,,,,,
9,9,M,False,Arber Hoxha,,,arber-hoxha,A. Hoxha,F,111,890663,XK,Kosovo,EUR,907632000,23.0,18.0,1.0,,,89.0,56.0,5.6,20.0,5.6,5.5,1.0,1.0,,10.0,9.0,11.0,,1.0,1.0,,2.0,1.0,,3.0,4.0,1.0,2.0,,,,1.0,,,1.0,,away,main,,,,,,1.0,
8,8,M,True,Bautista Cascini,,,bautista-cascini,B. Cascini,M,46,830669,AR,Argentina,EUR,865382400,37.0,32.0,3.0,2.0,2.0,63.0,43.0,6.6,5.0,6.6,6.5,,,1.0,2.0,3.0,1.0,,,2.0,1.0,,,,1.0,,,,,,,,,,,,away,substitute,,,,,,,
45,45,F,True,Arb Manaj,,,arb-manaj,A. Manaj,F,79,1014718,XK,Kosovo,EUR,901152000,10.0,7.0,,,,63.0,13.0,6.4,4.0,6.4,6.3,,,3.0,5.0,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,away,substitute,,,,,,,1.0
17,17,M,True,Mihail Caimacov,Mihail,Caimacov,mihail-caimacov,M. Caimacov,M,55,884871,MD,Moldova,EUR,901065600,12.0,9.0,1.0,1.0,,30.0,18.0,6.2,6.0,6.2,6.2,,1.0,1.0,2.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,away,substitute,,,,,,,
7,7,F,True,Matej Šakota,Matej Sakota,,matej-sakota,M. Šakota,F,95,1139268,BA,Bosnia & Herzegovina,EUR,1092614400,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,,,,
12,12,G,True,Antun Marković,,,antun-markovic,A. Marković,G,40,255141,HR,Croatia,EUR,710208000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,,,,
2,2,D,True,Gabriel Eskinja,,,gabriel-eskinja,G. Eskinja,D,13,1063348,AT,Austria,EUR,1062115200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,,,,
18,18,D,True,Filip Krušelj,,,filip-kruselj,F. Krušelj,D,10,1484306,HR,Croatia,EUR,1112140800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,,,,
20,20,D,True,Filip Hlevnjak,,,filip-hlevnjak,F. Hlevnjak,D,32,880740,HR,Croatia,EUR,965433600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,,,,
21,21,M,True,Emanuel Mađarić,Emanuel Madjaric,,emanuel-madaric,E. Mađarić,M,7,1163483,BA,Bosnia & Herzegovina,EUR,1046217600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,,,,
23,23,D,True,Adriano Jagušić,,,adriano-jagusic,A. Jagušić,M,9,1495717,HR,Croatia,EUR,1125964800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,,,,
